time,code,name,start_date,end_date,status,rows,reason
2026-06-18 21:30:02,000530,冰山冷热,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:02,000538,云南白药,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:03,000539,粤电力A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:03,000531,穗恒运A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:03,000532,华金资本,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:03,000541,佛山照明,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:03,000543,皖能电力,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:03,000533,顺钠股份,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:03,000534,万泽股份,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:03,000544,中原环保,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:03,000536,华映科技,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:03,000545,金浦钛业,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:03,000537,绿发电力,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:03,000546,金圆股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:03,000538,云南白药,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:03,000547,航天发展,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:03,000548,湖南投资,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:03,000539,粤电力A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:03,000541,佛山照明,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:03,000550,江铃汽车,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:03,000543,皖能电力,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:04,000551,创元科技,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000544,中原环保,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:04,000552,甘肃能化,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000553,安道麦A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000545,金浦钛业,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:04,000554,泰山石油,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000546,金圆股份,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:04,000555,神州信息,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000547,航天发展,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:04,000557,西部创业,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000548,湖南投资,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:04,000550,江铃汽车,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:04,000558,天府文旅,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000551,创元科技,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:04,000559,万向钱潮,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000552,甘肃能化,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:04,000560,我爱我家,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000553,安道麦A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:04,000561,烽火电子,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000563,陕国投A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:04,000554,泰山石油,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:05,000564,供销大集,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:05,000555,神州信息,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:05,000557,西部创业,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:05,000565,渝三峡A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:05,000566,海南海药,2026-06-18,2026-06-18,started,0,
