rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
24,80.73288254880508,72.51361502516495,300072,海新能科,bottom_area,2025-11-24,4.57,2025-11-24,4.39,4.1002277904328155,5.466970387243741,31.29890453834116,False,-3.5865,4.6902,1,1,1,100.0,47.4308300395257,47.4308300395257,15.899772209567187,4.1002277904328155,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-3.59%; 状态bottom_area; 底部未确认
25,78.52869689030673,68.96504611153762,688337,普源精电,bottom_area,2025-11-24,36.95,2025-11-21,35.92,2.8674832962138117,3.674832962138085,28.159999999999997,False,1.0391,0.6981,3,6,3,50.0,38.886602295188766,54.46153846153845,17.132516703786187,2.8674832962138117,历史3/6次成功; 当前距低点2.87%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
26,76.6694372241145,66.23433437384277,002805,丰元股份,bottom_area,2025-11-24,17.62,2025-11-24,17.28,1.9675925925925917,7.349537037037034,27.547169811320753,False,-2.8666,8.6786,3,6,3,50.0,35.647556370719805,50.09389671361502,18.03240740740741,1.9675925925925917,历史3/6次成功; 当前距低点1.97%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
27,76.12005332692772,69.40921739130435,600815,厦工股份,bottom_area,2025-11-24,3.62,2025-11-24,3.45,4.927536231884055,8.405797101449277,29.591836734693878,False,-0.8219,7.1613,1,1,1,100.0,30.666666666666664,30.666666666666664,15.072463768115945,4.927536231884055,历史1/1次成功; 当前距低点4.93%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
28,75.23978140480604,64.23171135905021,002326,永太科技,bottom_area,2025-11-24,23.83,2025-11-24,23.52,1.3180272108843483,6.122448979591842,28.72727272727273,False,-5.3614,12.8885,2,4,2,50.0,27.133405375626396,29.837587006960554,18.681972789115655,1.3180272108843483,历史2/4次成功; 当前距低点1.32%; 最新日涨幅-5.36%; 状态bottom_area; 底部未确认
29,74.26971479432117,65.12950613651827,000620,盈新发展,bottom_area,2025-11-24,2.95,2025-11-24,2.87,2.7874564459930338,8.013937282229964,29.828850855745713,False,0.0,6.8472,4,10,4,40.0,38.95111200743213,58.4192439862543,17.212543554006967,2.7874564459930338,历史4/10次成功; 当前距低点2.79%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
30,74.1750765056686,66.28668448965188,001309,德明利,bottom_area,2025-11-24,218.11,2025-11-24,210.08,3.8223533891850727,5.664508758568154,31.34640522875817,False,-2.0655,9.6228,4,7,4,57.14285714285714,43.188595636679665,64.1432791728213,16.17764661081493,3.8223533891850727,历史4/7次成功; 当前距低点3.82%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
31,73.96133100054612,64.91225673823664,002664,信质集团,bottom_area,2025-11-24,22.51,2025-11-24,21.89,2.832343535861128,3.5175879396984904,30.727848101265824,False,1.2596,1.9621,1,2,1,50.0,52.526315789473685,52.526315789473685,17.167656464138872,2.832343535861128,历史1/2次成功; 当前距低点2.83%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
32,73.75179782743248,62.25720423175007,002451,摩恩电气,bottom_area,2025-11-24,10.02,2025-11-24,9.95,0.7035175879397014,6.231155778894483,28.571428571428577,False,-4.3893,13.7855,2,3,2,66.66666666666666,29.379342288096353,35.29411764705884,19.2964824120603,0.7035175879397014,历史2/3次成功; 当前距低点0.70%; 最新日涨幅-4.39%; 状态bottom_area; 底部未确认
33,73.27247422052832,64.05221855580706,002309,中利集团,bottom_area,2025-11-24,3.14,2025-11-21,3.06,2.6143790849673225,5.8823529411764754,29.49308755760368,False,2.6144,3.8005,3,8,3,37.5,36.45431650286319,55.97014925373133,17.38562091503268,2.6143790849673225,历史3/8次成功; 当前距低点2.61%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
34,72.61703609383929,64.27551325407165,688027,国盾量子,bottom_area,2025-11-24,437.98,2025-11-24,424.0,3.297169811320759,4.200471698113208,30.491803278688522,False,0.4541,3.7875,2,5,2,40.0,40.60785174130632,54.833310085088584,16.70283018867924,3.297169811320759,历史2/5次成功; 当前距低点3.30%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
35,72.15884814858049,62.149007932847525,000753,漳州发展,bottom_area,2025-11-24,7.91,2025-11-24,7.77,1.8018018018018092,5.534105534105531,31.360424028268557,False,0.0,5.8178,1,4,1,25.0,43.344709897610926,43.344709897610926,18.19819819819819,1.8018018018018092,历史1/4次成功; 当前距低点1.80%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
