rank,code,name,rank_score,probability_score,current_drawdown_pct,current_low_to_latest_pct,latest_turn,latest_pct_chg,current_stage,current_is_bottom_confirmed,latest_close,current_low_price,current_top_price,history_success_rate_pct,history_sample_count,history_success_count,reason
123,300349,金卡智能,70.67907435217926,61.51007478107356,32.07430340557275,2.3701002734731063,2.3680107243432573,1.5370705244122984,bottom_area,False,11.23,10.97,16.15,33.33333333333333,3,1,历史1/3次成功; 当前距低点2.37%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
124,002546,新联电子,70.65213611807297,61.77185185185186,27.19101123595505,2.623456790123456,1.8585375980021397,1.8376722817764255,bottom_area,False,6.65,6.48,8.9,33.33333333333333,3,1,历史1/3次成功; 当前距低点2.62%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
125,002283,天润工业,70.52869742294305,62.443114630982485,28.77358490566038,3.311258278145683,3.6267188524934992,2.519167579408532,bottom_area,True,9.36,9.06,12.72,50.0,2,1,历史1/2次成功; 当前距低点3.31%; 最新日涨幅2.52%; 状态bottom_area; 底部已确认
126,000753,漳州发展,70.52407793186619,62.61137991853902,29.148629148629148,3.462321792260691,1.989700068347874,3.042596348884397,bottom_area,False,5.08,4.91,6.93,40.0,5,2,历史2/5次成功; 当前距低点3.46%; 最新日涨幅3.04%; 状态bottom_area; 底部未确认
127,300369,绿盟科技,70.42055341011677,61.18060575945879,29.33168316831683,2.2767075306479843,2.1546041498667567,1.388888888888884,bottom_area,False,5.84,5.71,8.08,50.0,2,1,历史1/2次成功; 当前距低点2.28%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
128,301025,读客文化,70.25668125095038,62.74155963302752,27.212020033388978,3.784403669724771,1.7933925275875124,1.3437849944009097,bottom_area,False,9.05,8.72,11.98,50.0,2,1,历史1/2次成功; 当前距低点3.78%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
129,301382,蜂助手,70.25074361528846,60.025728231294615,31.928625664388765,1.3664249860568936,4.000643227215717,-0.054990376684072,bottom_area,False,36.35,35.86,52.68,33.33333333333333,3,1,历史1/3次成功; 当前距低点1.37%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
130,300080,易成新能,70.21597901949681,61.98310816411106,27.42857142857143,3.1496062992126013,0.9212538179687384,0.5115089514066584,bottom_area,True,3.93,3.81,5.25,50.0,2,1,历史1/2次成功; 当前距低点3.15%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
131,600250,南京商旅,70.10009910835555,60.68736495246328,27.27272727272727,2.08333333333333,2.6687114265947005,1.379310344827589,bottom_area,False,8.82,8.64,11.88,25.0,8,2,历史2/8次成功; 当前距低点2.08%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
132,000576,甘化科工,70.04239939250435,63.340865800865785,30.351758793969847,4.473304473304481,2.1937446018575013,2.549575070821541,bottom_area,False,7.24,6.93,9.95,40.0,5,2,历史2/5次成功; 当前距低点4.47%; 最新日涨幅2.55%; 状态bottom_area; 底部未确认
133,600199,金种子酒,69.73064043706981,61.42077136943973,29.787234042553195,3.030303030303033,2.1015760590009336,1.9490254872563728,bottom_area,False,6.8,6.6,9.4,40.0,5,2,历史2/5次成功; 当前距低点3.03%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
134,002123,梦网科技,69.68397947288763,61.20340173278615,28.05118110236221,2.872777017783857,2.063142144313935,1.7591339648173276,bottom_area,False,7.52,7.31,10.16,33.33333333333333,3,1,历史1/3次成功; 当前距低点2.87%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
135,300981,中红医疗,69.52121025899228,60.764890312031625,32.025316455696206,2.607076350093104,0.9010747030062322,0.7312614259597838,bottom_area,False,11.02,10.74,15.8,50.0,2,1,历史1/2次成功; 当前距低点2.61%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
136,002042,华孚时尚,69.38092050187853,60.56272197286281,29.28286852589641,2.5352112676056424,1.75613138887988,0.2754820936639257,bottom_area,False,3.64,3.55,5.02,33.33333333333333,3,1,历史1/3次成功; 当前距低点2.54%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
137,002121,科陆电子,69.35671557814204,60.92550847457628,32.8018223234624,2.8813559322033884,2.5515009495512864,2.360876897133224,bottom_area,False,6.07,5.9,8.78,25.0,4,1,历史1/4次成功; 当前距低点2.88%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
138,002518,科士达,69.29818915822983,60.275429217340346,32.23543763342482,2.3402340234023384,2.1418368850661884,-0.175592625109755,bottom_area,False,45.48,44.44,65.58,50.0,2,1,历史1/2次成功; 当前距低点2.34%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
139,300940,南极光,69.24778697045869,61.80634883833258,29.740791268758528,3.754045307443378,2.637805253675596,1.1356466876971671,bottom_area,True,16.03,15.45,21.99,50.0,2,1,历史1/2次成功; 当前距低点3.75%; 最新日涨幅1.14%; 状态bottom_area; 底部已确认
140,002724,海洋王,69.1406494629453,59.29946213062828,30.464480874316948,1.5717092337917498,1.5621149521195086,0.1937984496124034,bottom_area,False,5.17,5.09,7.32,25.0,4,1,历史1/4次成功; 当前距低点1.57%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
141,603320,迪贝电气,69.08321477048636,61.58751062978007,27.595419847328245,3.690036900369019,1.429469864635103,1.4963880288957787,bottom_area,False,19.67,18.97,26.2,40.0,5,2,历史2/5次成功; 当前距低点3.69%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
142,002703,浙江世宝,68.95184201474942,59.07315729151763,32.63950398582816,1.51216305062458,3.950341372238346,0.7832898172323688,bottom_area,False,15.44,15.21,22.58,25.0,4,1,历史1/4次成功; 当前距低点1.51%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
143,601566,九牧王,68.8645292774391,62.56907790692694,28.461538461538456,4.731182795698919,2.5711705281390227,-1.5166835187057637,bottom_area,False,9.74,9.3,13.0,66.66666666666666,3,2,历史2/3次成功; 当前距低点4.73%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
144,300779,惠城环保,68.78629567591538,58.91702298360285,32.70236612702366,1.4988897113249486,5.195681540463786,-27.762412748584232,bottom_area,False,54.85,54.04,80.3,50.0,2,1,历史1/2次成功; 当前距低点1.50%; 最新日涨幅-27.76%; 状态bottom_area; 底部未确认
145,002580,圣阳股份,68.71437051638627,60.86868219830304,29.589329589329587,3.339980059820548,10.360092595841415,1.023391812865504,bottom_area,False,20.73,20.06,28.49,40.0,5,2,历史2/5次成功; 当前距低点3.34%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
146,300753,爱朋医疗,68.70696092924766,61.07947524065814,32.1917808219178,3.535353535353532,3.027282728908422,1.888667992047699,bottom_area,False,20.5,19.8,29.2,40.0,5,2,历史2/5次成功; 当前距低点3.54%; 最新日涨幅1.89%; 状态bottom_area; 底部未确认
147,688122,西部超导,68.64882985751011,60.03958774106484,28.248511099079582,2.6410111299754737,2.734442194952671,1.3221601489757706,bottom_area,False,54.41,53.01,73.88,50.0,2,1,历史1/2次成功; 当前距低点2.64%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
148,002163,海南发展,68.07553149169294,59.19890292710814,31.406844106463883,2.3281596452328257,2.812087705458189,1.317233809001106,bottom_area,False,9.23,9.02,13.15,33.33333333333333,3,1,历史1/3次成功; 当前距低点2.33%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
149,002437,誉衡药业,67.97594561222378,60.33367953747675,31.13456464379948,3.4482758620689773,2.3798874859245807,1.5037593984962516,bottom_area,False,2.7,2.61,3.79,50.0,2,1,历史1/2次成功; 当前距低点3.45%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
