rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
79,73.36763058351828,72.04056749802828,000524,岭南控股,bottom_area,2024-07-04,7.98,2024-06-24,7.67,4.041720990873539,9.778357235984354,28.116213683223997,True,-4.5455,1.0251,2,2,2,100.0,18.31016858720398,21.550094517958406,5.9582790091264615,4.041720990873539,历史2/2次成功; 当前距低点4.04%; 最新日涨幅-4.55%; 状态bottom_area; 底部已确认
80,73.36160757118385,67.95184873949582,002035,华帝股份,bottom_area,2024-07-04,6.18,2024-07-04,6.12,0.9803921568627386,3.921568627450984,30.612244897959183,False,-1.4354,1.675,1,1,1,100.0,14.285714285714274,14.285714285714274,9.019607843137262,0.9803921568627386,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
81,73.18892044276046,67.69360470252265,605089,味知香,bottom_area,2024-07-04,21.2,2024-07-01,21.01,0.9043312708234065,5.568776772965245,28.170940170940167,False,-3.1521,0.3109,1,1,1,100.0,22.180000000000007,22.180000000000007,9.095668729176595,0.9043312708234065,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
82,73.10121954534648,69.84569964656588,600984,建设机械,confirmed_rebound,2024-07-04,2.36,2024-06-25,2.3,2.6086956521739157,11.304347826086968,28.57142857142858,True,-3.6735,0.7115,3,4,3,75.0,19.992073836141934,20.705882352941174,7.391304347826084,2.6086956521739157,历史3/4次成功; 当前距低点2.61%; 最新日涨幅-3.67%; 状态confirmed_rebound; 底部已确认
83,72.91732406206327,70.80961316842131,603336,宏辉果蔬,confirmed_rebound,2024-07-04,2.99,2024-06-24,2.89,3.4602076124567507,10.380622837370236,30.361445783132535,True,-4.7771,1.1584,2,2,2,100.0,14.778959810874708,15.780141843971643,6.53979238754325,3.4602076124567507,历史2/2次成功; 当前距低点3.46%; 最新日涨幅-4.78%; 状态confirmed_rebound; 底部已确认
84,72.67423367377245,71.88230992041198,000797,中国武夷,confirmed_rebound,2024-07-04,2.36,2024-06-24,2.26,4.424778761061951,11.061946902654867,28.25396825396826,True,-4.4534,1.5172,3,3,3,100.0,15.703255352866844,21.169916434540383,5.57522123893805,4.424778761061951,历史3/3次成功; 当前距低点4.42%; 最新日涨幅-4.45%; 状态confirmed_rebound; 底部已确认
85,72.65996028780506,67.53216016096928,000705,浙江震元,bottom_area,2024-07-04,6.98,2024-06-24,6.9,1.1594202898550736,6.666666666666665,29.01234567901235,False,-3.0556,2.127,2,3,2,66.66666666666666,23.48909545791496,34.04605263157895,8.840579710144928,1.1594202898550736,历史2/3次成功; 当前距低点1.16%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
86,72.62810061946814,67.15705725830294,603057,紫燕食品,bottom_area,2024-07-04,14.73,2024-07-04,14.6,0.8904109589041149,5.273972602739723,28.431372549019606,False,-3.9765,2.1984,1,1,1,100.0,19.124700239808163,19.124700239808163,9.109589041095886,0.8904109589041149,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
87,71.93205481642076,69.648863592687,002136,安纳达,bottom_area,2024-07-04,9.06,2024-06-24,8.77,3.306727480045621,7.525655644241736,27.818930041152267,True,-3.3084,0.6498,1,1,1,100.0,13.108614232209742,13.108614232209742,6.693272519954379,3.306727480045621,历史1/1次成功; 当前距低点3.31%; 最新日涨幅-3.31%; 状态bottom_area; 底部已确认
88,71.46095666672423,67.3356500435055,605169,洪通燃气,bottom_area,2024-07-04,7.59,2024-06-25,7.45,1.879194630872479,7.516778523489928,28.97998093422307,True,-3.6802,1.2716,2,3,2,66.66666666666666,22.06208137219406,26.09375,8.120805369127522,1.879194630872479,历史2/3次成功; 当前距低点1.88%; 最新日涨幅-3.68%; 状态bottom_area; 底部已确认
