rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
32,64.73712437357355,56.906502681109885,002373,千方科技,bottom_area,2026-04-09,9.52,13.46,2026-04-07,9.25,2.9189189189189144,6.05405405405406,31.27786032689451,29.271916790490348,False,-2.8571,1.3431,1,2,1,50.0,30.49267643142478,30.49267643142478,17.081081081081088,2.9189189189189144,历史1/2次成功; 当前距低点2.92%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
33,63.78482780448581,57.23418057769201,603017,中衡设计,bottom_area,2026-04-09,13.63,17.95,2026-04-07,13.1,4.045801526717566,7.251908396946573,27.019498607242337,24.066852367688014,True,-2.2939,9.5289,1,2,1,50.0,36.87423687423689,36.87423687423689,15.954198473282435,4.045801526717566,历史1/2次成功; 当前距低点4.05%; 最新日涨幅-2.29%; 状态bottom_area; 底部已确认
34,62.482175105922444,55.408721320346324,002605,姚记科技,bottom_area,2026-04-09,20.68,27.66,2026-03-23,20.0,3.399999999999999,6.150000000000002,27.69342010122921,25.234996384671003,False,-2.2684,1.4066,2,6,2,33.33333333333333,31.11498917748918,39.01785714285715,16.600000000000005,3.399999999999999,历史2/6次成功; 当前距低点3.40%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
35,61.2376975094838,55.34945736434111,600318,新力金融,bottom_area,2026-04-09,7.52,10.23,2026-04-03,7.2,4.444444444444437,7.08333333333333,29.61876832844575,26.49071358748779,True,-2.4643,2.5413,1,2,1,50.0,31.627906976744185,31.627906976744185,15.555555555555564,4.444444444444437,历史1/2次成功; 当前距低点4.44%; 最新日涨幅-2.46%; 状态bottom_area; 底部已确认
36,61.080461937719555,54.2598103546742,600982,宁波能源,bottom_area,2026-04-09,5.33,7.25,2026-04-07,5.15,3.4951456310679556,6.601941747572812,28.965517241379306,26.482758620689655,False,-0.7449,6.0794,1,2,1,50.0,23.3265720081136,23.3265720081136,16.504854368932044,3.4951456310679556,历史1/2次成功; 当前距低点3.50%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
37,60.81625549310541,50.75164837248194,300760,迈瑞医疗,bottom_area,2026-04-09,156.3,214.12,2026-04-09,156.18,0.0768344218209787,3.6688436419515877,27.059592751728,27.003549411544924,False,-4.0633,0.9818,1,3,1,33.33333333333333,32.06181462849697,32.06181462849697,19.923165578179024,0.0768344218209787,历史1/3次成功; 当前距低点0.08%; 最新日涨幅-4.06%; 状态bottom_area; 底部未确认
38,60.28901561854254,54.095327868852486,002093,国脉科技,bottom_area,2026-04-09,9.52,12.83,2026-03-23,9.15,4.043715846994527,6.448087431693987,28.68277474668745,25.79890880748247,False,-2.1583,0.8413,1,4,1,25.0,52.409638554216855,52.409638554216855,15.956284153005473,4.043715846994527,历史1/4次成功; 当前距低点4.04%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
39,59.45886339405822,53.96070506696478,001322,箭牌家居,bottom_area,2026-04-09,7.4,9.77,2026-04-07,7.07,4.6676096181046685,7.355021216407348,27.635619242579317,24.257932446264068,True,-1.8568,0.5087,1,2,1,50.0,26.897069872276486,26.897069872276486,15.332390381895333,4.6676096181046685,历史1/2次成功; 当前距低点4.67%; 最新日涨幅-1.86%; 状态bottom_area; 底部已确认
40,59.37545631984256,53.83183920917555,688114,华大智造,bottom_area,2026-04-09,49.66,69.85,2026-04-07,47.47,4.613440067410992,8.995154834632405,32.04008589835361,28.904795991410165,True,-4.0015,0.6254,2,5,2,40.0,24.08861592942264,27.745919717688572,15.386559932589009,4.613440067410992,历史2/5次成功; 当前距低点4.61%; 最新日涨幅-4.00%; 状态bottom_area; 底部已确认
41,57.94227287789977,52.229913125377905,300676,华大基因,bottom_area,2026-04-09,39.81,55.07,2026-03-23,38.17,4.296567985328793,10.400838354728842,30.68821499909206,27.710187034683127,True,-3.3972,1.246,1,2,1,50.0,23.258538343696497,23.258538343696497,15.70343201467121,4.296567985328793,历史1/2次成功; 当前距低点4.30%; 最新日涨幅-3.40%; 状态bottom_area; 底部已确认
42,56.9726517677516,51.756592726298145,300397,天和防务,bottom_area,2026-04-09,11.53,15.14,2026-04-03,11.01,4.722979109900087,6.448683015440516,27.27873183619551,23.844121532364603,False,-1.6212,2.2657,1,4,1,25.0,45.75260804769001,45.75260804769001,15.277020890099912,4.722979109900087,历史1/4次成功; 当前距低点4.72%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
43,52.174326736034736,47.45026500638572,002698,博实股份,bottom_area,2026-04-09,13.58,18.45,2026-03-30,12.96,4.783950617283944,5.787037037037036,29.756097560975604,26.395663956639563,False,-0.8035,0.6075,1,4,1,25.0,23.3477011494253,23.3477011494253,15.216049382716058,4.783950617283944,历史1/4次成功; 当前距低点4.78%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
44,51.31188871010087,46.822634585004266,600966,博汇纸业,bottom_area,2026-04-09,6.55,8.57,2026-04-03,6.24,4.967948717948712,6.891025641025636,27.18786464410735,23.570595099183205,False,-1.2066,0.7288,1,6,1,16.666666666666664,40.28436018957346,40.28436018957346,15.03205128205129,4.967948717948712,历史1/6次成功; 当前距低点4.97%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
