rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,84.32517968816138,74.328371120405,688055,龙腾光电,bottom_area,2022-09-26,4.16,2022-09-26,4.13,0.7263922518159867,3.6319612590799117,27.54385964912281,False,-2.8037,0.2162,1,1,1,100.0,45.45454545454546,45.45454545454546,14.273607748184014,0.7263922518159867,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
13,83.95408813024515,74.87479717235334,688171,纬德信息,bottom_area,2022-09-26,19.45,2022-09-26,19.19,1.3548723293381866,3.5435122459614368,29.13589364844903,False,-2.5063,2.0313,1,1,1,100.0,16.257559587335468,16.257559587335468,13.645127670661813,1.3548723293381866,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
14,83.7101669233717,73.4516545878984,300342,天银机电,bottom_area,2022-09-26,8.32,2022-09-26,8.28,0.48309178743962466,3.864734299516912,27.368421052631586,False,-2.4619,0.7105,2,2,2,100.0,21.09195625409008,26.68539325842696,14.516908212560375,0.48309178743962466,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
15,83.70053143750701,73.07688155922037,002516,旷达科技,bottom_area,2022-09-26,4.65,2022-09-26,4.64,0.2155172413793249,2.8017241379310325,29.59028831562975,False,-2.1053,0.761,1,1,1,100.0,32.46376811594203,32.46376811594203,14.784482758620673,0.2155172413793249,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
16,83.36615719883773,72.89591475392544,002138,顺络电子,bottom_area,2022-09-26,20.26,2022-09-26,20.2,0.2970297029703083,3.960396039603964,28.948294055575097,False,-2.9693,1.7727,1,1,1,100.0,32.49001331557922,32.49001331557922,14.70297029702969,0.2970297029703083,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
17,82.98073607427054,72.15716180371352,688199,久日新材,bottom_area,2022-09-26,33.72,2022-09-26,33.72,0.0,2.2835112692764032,28.920741989881954,False,-2.4588,0.7102,1,1,1,100.0,37.135278514588855,37.135278514588855,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
18,82.88892750101397,73.27406042518146,603315,福鞍股份,bottom_area,2022-09-26,19.46,2022-09-26,19.29,0.8812856402281064,3.5769828926905203,30.335861321776818,False,-2.7972,0.3786,1,1,1,100.0,41.68490153172865,41.68490153172865,14.118714359771895,0.8812856402281064,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
19,82.26811600868483,72.31674795443607,000591,太阳能,bottom_area,2022-09-26,6.94,2022-09-19,6.9,0.5797101449275368,4.927536231884055,27.672955974842754,False,-1.1396,1.0263,1,1,1,100.0,32.84132841328414,32.84132841328414,14.420289855072463,0.5797101449275368,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
20,81.95943698592217,71.49994578099884,002451,摩恩电气,bottom_area,2022-09-26,5.79,2022-09-26,5.78,0.17301038062283366,2.249134948096884,31.026252983293563,False,-2.1959,1.0133,1,1,1,100.0,23.464566929133863,23.464566929133863,14.826989619377166,0.17301038062283366,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
21,81.59969044505742,71.98555807162863,002283,天润工业,bottom_area,2022-09-26,5.23,2022-09-19,5.19,0.7707129094412337,5.394990366088619,27.816411682892905,False,-1.3208,0.3989,1,1,1,100.0,33.402061855670105,33.402061855670105,14.229287090558765,0.7707129094412337,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
