rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
22,78.24275380140764,74.79745984616478,603211,晋拓股份,bottom_area,2025-04-03,17.52,2025-03-31,17.07,2.6362038664323335,7.439953134153483,27.36170212765957,True,-0.961,10.4795,4,5,4,80.0,15.68819710554038,17.962003454231418,7.363796133567667,2.6362038664323335,历史4/5次成功; 当前距低点2.64%; 最新日涨幅-0.96%; 状态bottom_area; 底部已确认
23,77.27028981658859,76.39096930658474,600097,开创国际,bottom_area,2025-04-03,9.73,2025-03-31,9.32,4.399141630901289,5.150214592274683,27.751937984496124,False,0.9336,3.2171,2,2,2,100.0,22.586087231396153,30.552291421856637,5.600858369098711,4.399141630901289,历史2/2次成功; 当前距低点4.40%; 最新日涨幅0.93%; 状态bottom_area; 底部未确认
24,77.21229674966442,71.11152454885594,002406,远东传动,bottom_area,2025-04-03,7.39,2025-04-03,7.34,0.6811989100817415,3.9509536784741153,32.53676470588236,False,-3.0184,9.005,4,5,4,80.0,31.154075612055404,67.88321167883211,9.318801089918258,0.6811989100817415,历史4/5次成功; 当前距低点0.68%; 最新日涨幅-3.02%; 状态bottom_area; 底部未确认
25,76.96060656048148,74.09064479297405,002178,延华智能,bottom_area,2025-04-03,6.17,2025-03-31,5.99,3.005008347245404,4.674457429048403,27.305825242718445,False,-0.1618,1.6585,5,6,5,83.33333333333334,18.38027145892594,29.076086956521735,6.994991652754597,3.005008347245404,历史5/6次成功; 当前距低点3.01%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
26,76.89097145066049,73.92518102003491,603163,圣晖集成,bottom_area,2025-04-03,25.25,2025-03-31,24.53,2.9351814105177287,4.15817366490012,27.05917335712162,False,-0.1976,2.2578,1,1,1,100.0,30.52362707535122,30.52362707535122,7.064818589482272,2.9351814105177287,历史1/1次成功; 当前距低点2.94%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
27,75.34858186489329,68.84753297126872,601020,华钰矿业,bottom_area,2025-04-03,18.84,2025-04-03,18.79,0.26609898882384625,4.257583821181483,27.814060699193245,False,-3.4836,6.8072,3,4,3,75.0,24.727089601005904,26.324110671936758,9.733901011176155,0.26609898882384625,历史3/4次成功; 当前距低点0.27%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
28,74.05005414196236,67.87921629679884,002342,巨力索具,bottom_area,2025-04-03,4.62,2025-04-03,4.6,0.43478260869566226,7.608695652173925,32.74853801169591,False,-7.9681,16.4245,3,4,3,75.0,21.588820670026614,33.45454545454545,9.565217391304339,0.43478260869566226,历史3/4次成功; 当前距低点0.43%; 最新日涨幅-7.97%; 状态bottom_area; 底部未确认
29,73.75979627587199,67.97231433506043,002730,电光科技,bottom_area,2025-04-03,15.55,2025-03-31,15.44,0.7124352331606296,5.375647668393783,31.071428571428566,False,-2.6299,2.3994,2,3,2,66.66666666666666,66.31186981320792,113.1578947368421,9.28756476683937,0.7124352331606296,历史2/3次成功; 当前距低点0.71%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
30,73.24651975956797,67.60630908089153,605069,正和生态,bottom_area,2025-04-03,8.87,2025-04-03,8.8,0.7954545454545283,4.886363636363632,31.83578621223857,False,-4.315,19.6816,4,5,4,80.0,13.70938411036484,18.036809815950903,9.204545454545473,0.7954545454545283,历史4/5次成功; 当前距低点0.80%; 最新日涨幅-4.32%; 状态bottom_area; 底部未确认
31,72.80370545190115,72.15112836730513,300509,新美星,bottom_area,2025-04-03,7.85,2025-03-31,7.51,4.527296937416776,6.39147802929428,30.783410138248847,False,0.0,2.073,1,1,1,100.0,18.028846153846153,18.028846153846153,5.472703062583224,4.527296937416776,历史1/1次成功; 当前距低点4.53%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
32,72.10189450222884,65.54717682020804,603949,雪龙集团,bottom_area,2025-04-03,21.06,2025-04-03,21.06,0.0,5.4131054131054155,27.102803738317764,False,-10.0,10.6024,1,1,1,100.0,11.812778603268944,11.812778603268944,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
