rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
23,71.66371742193657,64.12098338595577,688302,海创药业,bottom_area,2026-03-13,41.4,54.67,2026-03-04,39.85,3.8895859473023764,10.238393977415303,27.108103164441193,24.272910188403152,True,-0.7194,0.8026,2,4,2,50.0,38.6518244398128,40.24920312952768,16.110414052697624,3.8895859473023764,历史2/4次成功; 当前距低点3.89%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
24,64.70463433999939,54.71725397539329,600415,小商品城,bottom_area,2026-03-13,13.85,19.01,2026-03-04,13.74,0.8005822416302724,4.512372634643371,27.722251446607054,27.143608627038407,False,-1.6335,0.6472,1,2,1,50.0,32.59452411994785,32.59452411994785,19.19941775836973,0.8005822416302724,历史1/2次成功; 当前距低点0.80%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
25,64.24946255678545,54.93574146528615,301459,丰茂股份,bottom_area,2026-03-13,39.0,54.99,2026-03-04,38.46,1.4040561622464875,5.564222568902758,30.06001091107474,29.078014184397166,False,-1.9115,3.6756,1,3,1,33.33333333333333,20.772345063843044,20.772345063843044,18.595943837753516,1.4040561622464875,历史1/3次成功; 当前距低点1.40%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
26,62.729727100428995,57.23324197201867,603121,华培动力,bottom_area,2026-03-13,19.68,26.45,2026-03-12,18.75,4.959999999999998,7.040000000000002,29.111531190926275,25.595463137996216,True,1.0786,4.2868,1,4,1,25.0,46.435709526982016,46.435709526982016,15.040000000000003,4.959999999999998,历史1/4次成功; 当前距低点4.96%; 最新日涨幅1.08%; 状态bottom_area; 底部已确认
27,62.65153340710908,55.05912084867728,688083,中望软件,bottom_area,2026-03-13,58.45,83.59,2026-03-09,56.8,2.9049295774647987,7.429577464788744,32.04928819236751,30.07536786696973,True,-0.764,0.7334,2,7,2,28.57142857142857,24.290723500060842,27.053669222343906,17.0950704225352,2.9049295774647987,历史2/7次成功; 当前距低点2.90%; 最新日涨幅-0.76%; 状态bottom_area; 底部已确认
28,62.10024642995935,54.96512877237399,603099,长白山,bottom_area,2026-03-13,38.24,52.2,2026-03-06,37.02,3.295515937331169,6.591031874662338,29.080459770114942,26.743295019157088,False,-0.4944,1.4056,1,2,1,50.0,24.671532846715323,24.671532846715323,16.704484062668833,3.295515937331169,历史1/2次成功; 当前距低点3.30%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
29,61.99020486678091,51.873568602093926,000681,视觉中国,bottom_area,2026-03-13,22.11,30.5,2026-03-13,22.06,0.22665457842248737,2.855847688123312,27.67213114754099,27.508196721311478,False,-3.0263,4.2419,2,6,2,33.33333333333333,23.263482298730437,25.590062111801227,19.773345421577517,0.22665457842248737,历史2/6次成功; 当前距低点0.23%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
30,60.28442296050321,53.04557853910795,300433,蓝思科技,bottom_area,2026-03-13,31.51,42.6,2026-03-09,30.6,2.973856209150327,8.790849673202606,28.169014084507044,26.03286384976526,True,-1.5928,0.7251,1,3,1,33.33333333333333,20.659340659340668,20.659340659340668,17.026143790849673,2.973856209150327,历史1/3次成功; 当前距低点2.97%; 最新日涨幅-1.59%; 状态bottom_area; 底部已确认
31,56.28818016283894,47.44193246273581,300703,创源股份,bottom_area,2026-03-13,21.13,29.07,2026-03-13,21.0,0.6190476190476143,4.571428571428576,27.76057791537668,27.313381492948057,False,-3.648,3.3187,1,3,1,33.33333333333333,20.914127423822727,20.914127423822727,19.380952380952387,0.6190476190476143,历史1/3次成功; 当前距低点0.62%; 最新日涨幅-3.65%; 状态bottom_area; 底部未确认
32,55.737509470145994,46.61110794080664,300612,宣亚国际,bottom_area,2026-03-13,15.71,22.05,2026-03-13,15.68,0.19132653061225216,2.359693877551027,28.888888888888893,28.75283446712018,False,-1.5664,3.6988,1,7,1,14.285714285714285,25.592417061611382,25.592417061611382,19.80867346938775,0.19132653061225216,历史1/7次成功; 当前距低点0.19%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
