rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
37,72.89125152775281,70.4819205695094,300730,科创信息,bottom_area,2025-11-26,13.72,2025-11-24,13.29,3.2355154251316893,8.803611738148998,31.84615384615385,True,-3.7193,5.2483,3,4,3,75.0,20.881159886073412,24.329896907216508,6.764484574868311,3.2355154251316893,历史3/4次成功; 当前距低点3.24%; 最新日涨幅-3.72%; 状态bottom_area; 底部已确认
38,72.2208089057944,68.49808679724832,002706,良信股份,bottom_area,2025-11-26,9.66,2025-11-24,9.45,2.222222222222231,4.550264550264567,27.083333333333343,False,-1.1259,2.2473,4,6,4,66.66666666666666,14.828423641120084,19.37406855439642,7.77777777777777,2.222222222222231,历史4/6次成功; 当前距低点2.22%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
39,72.1483488684906,67.64139355029042,688337,普源精电,bottom_area,2025-11-26,36.5,2025-11-21,35.92,1.6146993318485476,5.066815144766148,28.159999999999997,False,-1.8817,0.9428,3,6,3,50.0,38.886602295188766,54.46153846153845,8.385300668151453,1.6146993318485476,历史3/6次成功; 当前距低点1.61%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
40,70.91015838557236,69.96411624822693,603026,石大胜华,bottom_area,2025-11-26,81.35,2025-11-24,78.0,4.294871794871788,8.987179487179493,29.450072358900147,True,-1.5967,8.3839,3,4,3,75.0,20.86787064803547,31.14618918600542,5.705128205128212,4.294871794871788,历史3/4次成功; 当前距低点4.29%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
41,70.64408921299922,64.70065678719843,605333,沪光股份,bottom_area,2025-11-26,28.38,2025-11-24,28.27,0.38910505836575676,2.9006013441811116,29.112337011033105,False,-1.4583,0.6042,3,5,3,60.0,26.224818926195436,29.01840490797546,9.610894941634243,0.38910505836575676,历史3/5次成功; 当前距低点0.39%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
42,70.59848756542071,66.71071102865162,601279,英利汽车,bottom_area,2025-11-26,4.53,2025-11-25,4.44,2.0270270270270236,5.63063063063063,30.18867924528302,False,-1.3072,3.6743,2,3,2,66.66666666666666,19.492827868852462,28.125000000000007,7.972972972972977,2.0270270270270236,历史2/3次成功; 当前距低点2.03%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
43,69.9902218894367,68.10577953938038,600319,亚星化学,bottom_area,2025-11-26,8.71,2025-11-25,8.41,3.5671819262782485,4.518430439952425,29.0295358649789,False,0.6936,3.92,2,3,2,66.66666666666666,23.3993960463877,29.282868525896426,6.432818073721752,3.5671819262782485,历史2/3次成功; 当前距低点3.57%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
44,68.30207049547886,67.74195758564436,300258,精锻科技,bottom_area,2025-11-26,12.82,2025-11-21,12.26,4.567699836867868,6.117455138662317,29.418537708693155,False,-0.6202,1.448,1,1,1,100.0,17.29200652528549,17.29200652528549,5.432300163132133,4.567699836867868,历史1/1次成功; 当前距低点4.57%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
45,67.41219973576747,67.31921739130435,600815,厦工股份,confirmed_rebound,2025-11-26,3.62,2025-11-24,3.45,4.927536231884055,11.594202898550723,29.591836734693878,True,-3.2086,6.2711,1,1,1,100.0,30.666666666666664,30.666666666666664,5.072463768115946,4.927536231884055,历史1/1次成功; 当前距低点4.93%; 最新日涨幅-3.21%; 状态confirmed_rebound; 底部已确认
46,66.65690449096532,65.30158850316381,002309,中利集团,bottom_area,2025-11-26,3.18,2025-11-21,3.06,3.921568627450984,6.862745098039215,29.49308755760368,False,-2.1538,3.7058,5,8,5,62.5,27.5014245900648,55.97014925373133,6.078431372549017,3.921568627450984,历史5/8次成功; 当前距低点3.92%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
47,66.400025964868,65.16935994024534,300769,德方纳米,bottom_area,2025-11-26,46.6,2025-11-24,44.8,4.017857142857153,7.1428571428571495,27.107061503416862,True,-0.7243,9.202,5,8,5,62.5,18.77728078472927,41.300000000000004,5.982142857142848,4.017857142857153,历史5/8次成功; 当前距低点4.02%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
48,65.07973464202759,62.59923976628842,000753,漳州发展,bottom_area,2025-11-26,8.0,2025-11-24,7.77,2.9601029601029656,5.534105534105531,31.360424028268557,False,-1.599,4.1117,2,4,2,50.0,28.27029309313536,43.344709897610926,7.039897039897035,2.9601029601029656,历史2/4次成功; 当前距低点2.96%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
49,64.59105298999907,59.95147079521463,600104,上汽集团,bottom_area,2025-11-26,14.86,2025-11-21,14.7,1.0884353741496609,2.108843537414969,28.74454677653902,False,-0.4021,0.2732,1,2,1,50.0,24.425287356321842,24.425287356321842,8.911564625850339,1.0884353741496609,历史1/2次成功; 当前距低点1.09%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
50,63.855693694586925,60.91432735240956,000592,平潭发展,confirmed_rebound,2025-11-26,9.34,2025-11-26,9.11,2.524698133918775,11.635565312843035,28.154574132492115,False,-5.9416,25.1186,2,3,2,66.66666666666666,14.860066833751045,16.228070175438603,7.475301866081225,2.524698133918775,历史2/3次成功; 当前距低点2.52%; 最新日涨幅-5.94%; 状态confirmed_rebound; 底部未确认
51,62.88789736484593,59.15354746029165,601566,九牧王,bottom_area,2025-11-26,13.1,2025-11-26,12.87,1.7871017871017907,8.624708624708635,30.092341118957094,False,-8.3916,11.7656,1,2,1,50.0,38.914728682170555,38.914728682170555,8.212898212898208,1.7871017871017907,历史1/2次成功; 当前距低点1.79%; 最新日涨幅-8.39%; 状态bottom_area; 底部未确认
52,60.194844491433784,57.55027857829009,002017,东信和平,bottom_area,2025-11-26,21.37,2025-11-24,20.82,2.641690682036507,4.514889529298757,27.88361621059924,False,-0.8353,1.7991,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,7.358309317963493,2.641690682036507,历史1/3次成功; 当前距低点2.64%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
53,52.35572239911233,52.33268396729469,603059,倍加洁,bottom_area,2025-11-26,29.53,2025-11-24,28.13,4.976892996800577,8.602915037326705,27.275077559462257,True,-0.906,3.0509,1,2,1,50.0,21.935483870967733,21.935483870967733,5.023107003199423,4.976892996800577,历史1/2次成功; 当前距低点4.98%; 最新日涨幅-0.91%; 状态bottom_area; 底部已确认
54,52.034810155080535,50.95093669786358,603767,中马传动,bottom_area,2025-11-26,22.94,2025-11-21,22.08,3.894927536231898,5.9329710144927645,27.725040916530286,False,-0.6066,1.7467,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,6.105072463768103,3.894927536231898,历史1/3次成功; 当前距低点3.89%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
55,51.14163541215189,51.10770498560544,002250,联化科技,bottom_area,2025-11-26,12.05,2025-11-24,11.48,4.96515679442509,6.794425087108008,29.17951881554596,False,-0.4955,4.0307,1,2,1,50.0,24.399260628465807,24.399260628465807,5.034843205574911,4.96515679442509,历史1/2次成功; 当前距低点4.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
