rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
120,71.39773144976552,72.69773805977562,603188,亚邦股份,bottom_area,2024-01-24,3.4,2024-01-24,3.24,4.938271604938262,6.7901234567901145,27.191011235955052,False,1.1905,2.2207,1,1,1,100.0,26.005361930294914,26.005361930294914,3.0617283950617384,4.938271604938262,历史1/1次成功; 当前距低点4.94%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
121,71.3746100439751,72.30891074640286,000989,九芝堂,bottom_area,2024-01-24,8.73,2024-01-24,8.34,4.676258992805763,5.155875299760188,28.65697177074422,False,1.5116,1.6905,1,1,1,100.0,20.703125,20.703125,3.3237410071942377,4.676258992805763,历史1/1次成功; 当前距低点4.68%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
122,71.31987444207452,72.61345860082788,605158,华达新材,bottom_area,2024-01-24,7.23,2024-01-24,6.89,4.93468795355589,4.93468795355589,28.15432742440042,False,2.845,1.7809,1,1,1,100.0,25.5083179297597,25.5083179297597,3.0653120464441104,4.93468795355589,历史1/1次成功; 当前距低点4.93%; 最新日涨幅2.85%; 状态bottom_area; 底部未确认
123,71.22129936834523,72.52464073813195,002626,金达威,bottom_area,2024-01-24,13.8,2024-01-23,13.15,4.942965779467683,5.855513307984787,29.033998920669184,False,1.5453,0.4903,2,2,2,100.0,8.465605996334794,8.815592203898044,3.0570342205323167,4.942965779467683,历史2/2次成功; 当前距低点4.94%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
124,71.13444457348326,69.89031098134394,688352,颀中科技,bottom_area,2024-01-24,11.37,2024-01-24,11.03,3.082502266545783,4.986400725294658,29.204107830551994,False,-0.4378,3.5014,1,1,1,100.0,10.636645962732914,10.636645962732914,4.9174977334542165,3.082502266545783,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
125,71.11207470242967,71.26210017648543,603002,宏昌电子,bottom_area,2024-01-24,5.32,2024-01-24,5.11,4.109589041095889,4.892367906066536,27.82485875706214,False,0.5671,1.0261,1,1,1,100.0,8.128834355828225,8.128834355828225,3.8904109589041114,4.109589041095889,历史1/1次成功; 当前距低点4.11%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
126,71.04223732563733,71.60345358345359,605338,巴比食品,bottom_area,2024-01-24,17.76,2024-01-24,17.01,4.409171075837742,5.526161081716623,30.853658536585364,False,1.1966,0.8239,1,1,1,100.0,13.636363636363638,13.636363636363638,3.590828924162258,4.409171075837742,历史1/1次成功; 当前距低点4.41%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
127,71.02320922791353,71.29878883578768,301503,智迪科技,bottom_area,2024-01-24,28.77,2024-01-23,27.61,4.2013763129300985,5.324157913799344,28.285714285714285,False,1.589,15.2519,1,1,1,100.0,9.451219512195127,9.451219512195127,3.798623687069902,4.2013763129300985,历史1/1次成功; 当前距低点4.20%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
128,70.99246705086462,72.02531237773712,688229,博睿数据,bottom_area,2024-01-24,36.82,2024-01-24,35.15,4.751066856330019,7.766714082503567,27.64512144915603,False,-1.4981,2.2152,3,3,3,100.0,9.235187151449265,11.21206614573869,3.2489331436699813,4.751066856330019,历史3/3次成功; 当前距低点4.75%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
129,70.98049055683518,71.52410175134098,001324,长青科技,bottom_area,2024-01-24,20.42,2024-01-23,19.56,4.396728016359934,5.1635991820040985,27.014925373134336,False,1.34,5.0641,1,1,1,100.0,13.057213057213065,13.057213057213065,3.603271983640066,4.396728016359934,历史1/1次成功; 当前距低点4.40%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
130,70.88273618404288,70.36276217356587,001219,青岛食品,bottom_area,2024-01-24,18.62,2024-01-24,17.97,3.6171396772398565,4.897050639955496,27.48184019370461,False,-0.9047,9.911,4,5,4,80.0,13.063659342326517,16.264559068219636,4.382860322760144,3.6171396772398565,历史4/5次成功; 当前距低点3.62%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
