rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
35,60.04295540160066,53.8100657556936,000923,河钢资源,bottom_area,2024-07-12,16.36,2024-07-12,16.1,1.6149068322981242,7.4534161490683175,27.050294517444488,False,-4.9942,2.8359,1,3,1,33.33333333333333,27.519999999999996,27.519999999999996,13.385093167701875,1.6149068322981242,历史1/3次成功; 当前距低点1.61%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
36,59.05277261601327,53.69980203561013,688111,金山办公,bottom_area,2024-07-12,191.0,2024-07-10,186.53,2.3963973623545805,4.701656569988747,31.84375913475592,False,-0.1986,0.6237,1,4,1,25.0,27.68058076225045,27.68058076225045,12.60360263764542,2.3963973623545805,历史1/4次成功; 当前距低点2.40%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
37,58.9887726290063,54.351423478482275,002043,兔宝宝,bottom_area,2024-07-12,9.64,2024-07-11,9.35,3.101604278074876,3.957219251336909,28.076923076923077,False,1.367,1.4383,1,3,1,33.33333333333333,15.96638655462185,15.96638655462185,11.898395721925123,3.101604278074876,历史1/3次成功; 当前距低点3.10%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
38,58.798670599704025,55.36542326720897,600129,太极集团,bottom_area,2024-07-12,28.1,2024-07-09,26.95,4.267161410018561,7.569573283858995,30.2355682112348,True,-1.7483,1.3765,1,2,1,50.0,29.540598290598297,29.540598290598297,10.732838589981439,4.267161410018561,历史1/2次成功; 当前距低点4.27%; 最新日涨幅-1.75%; 状态bottom_area; 底部已确认
39,58.25758127576814,54.905490736144216,605580,恒盛能源,bottom_area,2024-07-12,8.46,2024-07-09,8.11,4.315659679408156,7.274969173859431,28.859649122807024,True,-1.5134,1.1214,1,2,1,50.0,27.66233766233766,27.66233766233766,10.684340320591843,4.315659679408156,历史1/2次成功; 当前距低点4.32%; 最新日涨幅-1.51%; 状态bottom_area; 底部已确认
40,57.964289892360206,53.99709508650518,000657,中钨高新,bottom_area,2024-07-12,8.99,2024-07-09,8.67,3.6908881199538675,7.6124567474048455,28.465346534653463,True,-2.3887,1.3848,1,2,1,50.0,15.120000000000006,15.120000000000006,11.309111880046133,3.6908881199538675,历史1/2次成功; 当前距低点3.69%; 最新日涨幅-2.39%; 状态bottom_area; 底部已确认
41,57.87586251502187,53.452299764928426,605123,派克新材,bottom_area,2024-07-12,48.6,2024-07-09,47.08,3.2285471537808053,5.947323704333059,31.649245063879206,False,-1.6393,0.649,1,2,1,50.0,15.71713589004656,15.71713589004656,11.771452846219194,3.2285471537808053,历史1/2次成功; 当前距低点3.23%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
42,53.91810568695226,50.94005107764954,600141,兴发集团,bottom_area,2024-07-12,18.79,2024-07-08,17.99,4.446914952751533,6.7259588660366925,27.547321788159486,False,-1.2612,0.6941,1,3,1,33.33333333333333,36.58969804618119,36.58969804618119,10.553085047248468,4.446914952751533,历史1/3次成功; 当前距低点4.45%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
43,53.54666627466005,50.21805368940648,000697,炼石航空,bottom_area,2024-07-12,5.65,2024-07-10,5.43,4.05156537753224,5.893186003683247,28.83355176933159,False,-1.0508,0.8247,1,3,1,33.33333333333333,27.861771058315338,27.861771058315338,10.94843462246776,4.05156537753224,历史1/3次成功; 当前距低点4.05%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
44,50.33837678204843,47.4735303776683,002555,三七互娱,bottom_area,2024-07-12,12.71,2024-07-09,12.18,4.351395730706085,6.403940886699516,30.28048082427017,False,-1.7774,1.6948,1,3,1,33.33333333333333,16.78160919540231,16.78160919540231,10.648604269293916,4.351395730706085,历史1/3次成功; 当前距低点4.35%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
