rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
38,74.01205780655364,67.5891668125746,600955,维远股份,bottom_area,2024-07-16,14.08,2024-07-09,13.72,2.6239067055393543,7.069970845481041,28.911917098445596,True,-1.676,0.2473,2,3,2,66.66666666666666,22.33874964805201,25.969084423305596,12.376093294460645,2.6239067055393543,历史2/3次成功; 当前距低点2.62%; 最新日涨幅-1.68%; 状态bottom_area; 底部已确认
39,73.02422283832523,64.0063754497484,002346,柘中股份,bottom_area,2024-07-16,7.08,2024-07-16,7.05,0.4255319148936206,3.2624113475177365,28.57142857142857,False,-2.3448,0.3603,2,3,2,66.66666666666666,25.160868543221483,34.89010989010989,14.574468085106378,0.4255319148936206,历史2/3次成功; 当前距低点0.43%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
40,72.34815347826091,68.22615652173916,600976,健民集团,bottom_area,2024-07-16,46.8,2024-07-10,44.85,4.347826086956512,6.778149386845037,32.859281437125745,False,-0.8475,0.8024,1,1,1,100.0,17.200000000000006,17.200000000000006,10.652173913043487,4.347826086956512,历史1/1次成功; 当前距低点4.35%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
41,71.95241332069094,63.239074878609756,603229,奥翔药业,bottom_area,2024-07-16,7.04,2024-07-16,7.0,0.571428571428572,1.4285714285714235,32.43243243243243,False,-0.2833,0.5183,2,4,2,50.0,42.26845172831669,43.052109181141425,14.428571428571427,0.571428571428572,历史2/4次成功; 当前距低点0.57%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
42,71.82339878569707,66.50593342958501,002317,众生药业,bottom_area,2024-07-16,11.05,2024-07-10,10.69,3.367633302151555,8.886810102899917,31.342324983943488,True,-1.1628,1.2221,2,4,2,50.0,45.076007303712714,58.31999999999999,11.632366697848445,3.367633302151555,历史2/4次成功; 当前距低点3.37%; 最新日涨幅-1.16%; 状态bottom_area; 底部已确认
43,71.02476973019758,63.04695336008026,002803,吉宏股份,bottom_area,2024-07-16,10.08,2024-07-10,9.97,1.1033099297893625,6.018054162487458,32.40677966101694,False,-0.3953,1.5286,1,2,1,50.0,41.25000000000001,41.25000000000001,13.896690070210639,1.1033099297893625,历史1/2次成功; 当前距低点1.10%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
44,70.46310853415036,63.8647755696831,605580,恒盛能源,bottom_area,2024-07-16,8.29,2024-07-09,8.11,2.219482120838468,7.274969173859431,28.859649122807024,True,0.0,1.0247,1,2,1,50.0,27.66233766233766,27.66233766233766,12.780517879161533,2.219482120838468,历史1/2次成功; 当前距低点2.22%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
45,69.489167296663,61.41230535967432,002044,美年健康,bottom_area,2024-07-16,3.49,2024-07-16,3.46,0.8670520231213945,2.3121387283237014,29.24335378323108,False,-1.1331,0.6894,2,3,2,66.66666666666666,16.62643712755071,18.108108108108105,14.132947976878604,0.8670520231213945,历史2/3次成功; 当前距低点0.87%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
46,68.94389420493611,62.279940564531266,600966,博汇纸业,bottom_area,2024-07-16,4.5,2024-07-10,4.41,2.040816326530609,8.616780045351472,28.640776699029118,True,-2.1739,0.6832,2,5,2,40.0,27.75807413452183,40.28436018957346,12.95918367346939,2.040816326530609,历史2/5次成功; 当前距低点2.04%; 最新日涨幅-2.17%; 状态bottom_area; 底部已确认
47,68.49791299106506,62.09909090909089,600058,五矿发展,bottom_area,2024-07-16,6.41,2024-07-09,6.27,2.232854864433821,5.263157894736844,28.91156462585035,False,-0.311,0.2206,1,2,1,50.0,99.54954954954954,99.54954954954954,12.767145135566176,2.232854864433821,历史1/2次成功; 当前距低点2.23%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
48,67.67472139605904,64.40068250557638,605337,李子园,bottom_area,2024-07-16,9.54,2024-07-09,9.1,4.8351648351648295,8.35164835164835,31.00833965125095,True,-0.3135,0.3254,2,3,2,66.66666666666666,32.30210571551354,37.98882681564246,10.16483516483517,4.8351648351648295,历史2/3次成功; 当前距低点4.84%; 最新日涨幅-0.31%; 状态bottom_area; 底部已确认
49,65.33819361823409,57.092343489843486,600129,太极集团,bottom_area,2024-07-16,27.02,2024-07-09,26.95,0.25974025974026077,7.569573283858995,30.2355682112348,True,-2.6306,1.6343,1,2,1,50.0,29.540598290598297,29.540598290598297,14.74025974025974,0.25974025974026077,历史1/2次成功; 当前距低点0.26%; 最新日涨幅-2.63%; 状态bottom_area; 底部已确认
50,65.19285658962558,61.42984630472983,000404,长虹华意,bottom_area,2024-07-16,5.33,2024-07-09,5.11,4.305283757338547,10.176125244618387,31.409395973154357,True,0.188,1.0567,1,2,1,50.0,40.139211136890964,40.139211136890964,10.694716242661453,4.305283757338547,历史1/2次成功; 当前距低点4.31%; 最新日涨幅0.19%; 状态bottom_area; 底部已确认
51,65.0593248193584,58.60873495092112,002366,融发核电,bottom_area,2024-07-16,3.23,2024-07-09,3.17,1.89274447949527,7.2555205047318605,30.634573304157552,True,-0.3086,0.5407,2,6,2,33.33333333333333,20.64977973568282,25.0,13.10725552050473,1.89274447949527,历史2/6次成功; 当前距低点1.89%; 最新日涨幅-0.31%; 状态bottom_area; 底部已确认
52,64.66252475990183,58.596948717030806,000697,炼石航空,bottom_area,2024-07-16,5.55,2024-07-10,5.43,2.2099447513812174,5.893186003683247,28.83355176933159,False,0.1805,0.9533,1,3,1,33.33333333333333,27.861771058315338,27.861771058315338,12.790055248618781,2.2099447513812174,历史1/3次成功; 当前距低点2.21%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
53,64.5309053351544,56.741159515246395,001336,楚环科技,bottom_area,2024-07-16,16.91,2024-07-16,16.81,0.5948839976204725,2.5580011897679937,29.547359597652978,False,-0.7046,6.3282,1,2,1,50.0,40.95427435387674,40.95427435387674,14.405116002379529,0.5948839976204725,历史1/2次成功; 当前距低点0.59%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
54,64.22908555273457,60.25513408650007,002860,星帅尔,bottom_area,2024-07-16,7.93,2024-07-09,7.62,4.068241469816268,8.398950131233592,28.984156570363467,True,0.1263,0.7715,1,2,1,50.0,30.917874396135282,30.917874396135282,10.931758530183732,4.068241469816268,历史1/2次成功; 当前距低点4.07%; 最新日涨幅0.13%; 状态bottom_area; 底部已确认
55,63.55165131456009,56.55975519668738,000923,河钢资源,bottom_area,2024-07-16,16.3,2024-07-12,16.1,1.242236024844716,7.4534161490683175,27.050294517444488,False,-0.7308,0.947,1,3,1,33.33333333333333,27.519999999999996,27.519999999999996,13.757763975155285,1.242236024844716,历史1/3次成功; 当前距低点1.24%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
56,63.2764874523196,56.84227427639827,605123,派克新材,bottom_area,2024-07-16,47.9,2024-07-09,47.08,1.7417162276975366,5.947323704333059,31.649245063879206,False,-0.2499,0.4547,1,2,1,50.0,15.71713589004656,15.71713589004656,13.258283772302462,1.7417162276975366,历史1/2次成功; 当前距低点1.74%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
57,62.03567413204153,57.91411930795848,000657,中钨高新,bottom_area,2024-07-16,9.0,2024-07-09,8.67,3.8062283737024227,7.6124567474048455,28.465346534653463,True,0.1112,0.7198,1,2,1,50.0,15.120000000000006,15.120000000000006,11.193771626297577,3.8062283737024227,历史1/2次成功; 当前距低点3.81%; 最新日涨幅0.11%; 状态bottom_area; 底部已确认
58,61.18168500949845,55.629322895326005,600141,兴发集团,bottom_area,2024-07-16,18.42,2024-07-08,17.99,2.390216787103965,6.7259588660366925,27.547321788159486,False,-1.8647,0.8991,1,3,1,33.33333333333333,36.58969804618119,36.58969804618119,12.609783212896033,2.390216787103965,历史1/3次成功; 当前距低点2.39%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
59,60.428741413882626,57.045637830392835,300569,天能重工,bottom_area,2024-07-16,4.03,2024-07-09,3.86,4.404145077720218,8.290155440414503,27.443609022556398,True,-0.4938,0.4835,1,2,1,50.0,40.25316455696202,40.25316455696202,10.595854922279782,4.404145077720218,历史1/2次成功; 当前距低点4.40%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
60,59.69215659340659,53.46813186813186,002531,天顺风能,bottom_area,2024-07-16,7.68,2024-07-16,7.56,1.587301587301589,1.8518518518518594,32.68032056990206,False,-0.2597,0.6904,1,3,1,33.33333333333333,15.128205128205142,15.128205128205142,13.41269841269841,1.587301587301589,历史1/3次成功; 当前距低点1.59%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
61,59.61297632169201,56.458798274483556,603060,国检集团,bottom_area,2024-07-16,5.71,2024-07-09,5.46,4.5787545787545785,9.157509157509157,31.835205992509362,True,0.0,0.1346,1,3,1,33.33333333333333,36.2098138747885,36.2098138747885,10.42124542124542,4.5787545787545785,历史1/3次成功; 当前距低点4.58%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
62,59.195943267583374,52.02424011103404,603128,华贸物流,bottom_area,2024-07-16,5.31,2024-07-16,5.28,0.568181818181806,2.0833333333333224,27.071823204419886,False,-0.9328,0.845,1,2,1,50.0,15.267175572519085,15.267175572519085,14.431818181818192,0.568181818181806,历史1/2次成功; 当前距低点0.57%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
63,58.24867347834886,52.60992615227911,002043,兔宝宝,bottom_area,2024-07-16,9.54,2024-07-11,9.35,2.032085561497321,5.026737967914445,28.076923076923077,False,-1.7508,1.0009,1,3,1,33.33333333333333,15.96638655462185,15.96638655462185,12.967914438502678,2.032085561497321,历史1/3次成功; 当前距低点2.03%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
64,57.34074214307836,53.338259441707734,002555,三七互娱,bottom_area,2024-07-16,12.62,2024-07-09,12.18,3.6124794745484365,6.403940886699516,30.28048082427017,False,1.0408,1.6505,1,3,1,33.33333333333333,16.78160919540231,16.78160919540231,11.387520525451563,3.6124794745484365,历史1/3次成功; 当前距低点3.61%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
65,56.4273426785869,53.74032636055897,002571,德力股份,bottom_area,2024-07-16,3.87,2024-07-05,3.69,4.878048780487809,11.111111111111104,28.488372093023255,True,-0.7692,1.9667,1,2,1,50.0,28.291814946619215,28.291814946619215,10.12195121951219,4.878048780487809,历史1/2次成功; 当前距低点4.88%; 最新日涨幅-0.77%; 状态bottom_area; 底部已确认
66,55.651461616073945,52.89797051849964,601966,玲珑轮胎,bottom_area,2024-07-16,17.78,2024-07-05,16.97,4.773129051266956,9.310548025928119,31.434343434343436,True,-1.9846,1.1391,1,2,1,50.0,22.476907287033857,22.476907287033857,10.226870948733044,4.773129051266956,历史1/2次成功; 当前距低点4.77%; 最新日涨幅-1.98%; 状态bottom_area; 底部已确认
67,55.19692771948708,52.26778209075091,000597,东北制药,bottom_area,2024-07-16,3.89,2024-07-09,3.72,4.569892473118277,7.258064516129033,29.00763358778626,True,-0.7653,0.4374,1,2,1,50.0,16.59751037344398,16.59751037344398,10.430107526881722,4.569892473118277,历史1/2次成功; 当前距低点4.57%; 最新日涨幅-0.77%; 状态bottom_area; 底部已确认
68,54.382388213992655,50.66168577226131,002145,钛能化学,bottom_area,2024-07-16,3.37,2024-07-01,3.25,3.6923076923076956,8.307692307692308,31.72268907563025,True,-1.7493,0.7739,1,3,1,33.33333333333333,16.649537512846855,16.649537512846855,11.307692307692305,3.6923076923076956,历史1/3次成功; 当前距低点3.69%; 最新日涨幅-1.75%; 状态bottom_area; 底部已确认
69,53.931859702597535,50.81034356725147,000705,浙江震元,bottom_area,2024-07-16,7.04,2024-07-09,6.75,4.296296296296297,6.518518518518525,30.555555555555557,False,-0.4243,1.2018,1,3,1,33.33333333333333,34.04605263157895,34.04605263157895,10.703703703703702,4.296296296296297,历史1/3次成功; 当前距低点4.30%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
