rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
22,81.30715840305113,75.0347244094488,600135,乐凯胶片,bottom_area,2022-09-29,6.4,2022-09-29,6.35,0.7874015748031609,4.5669291338582685,27.262313860252014,False,-1.2346,0.7034,1,1,1,100.0,56.981132075471706,56.981132075471706,9.21259842519684,0.7874015748031609,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
23,81.25250627551941,74.50373725099023,601778,晶科科技,bottom_area,2022-09-29,4.46,2022-09-29,4.44,0.4504504504504408,2.477477477477464,28.271405492730207,False,-0.6682,0.7722,2,2,2,100.0,26.348195043103452,42.344827586206904,9.54954954954956,0.4504504504504408,历史2/2次成功; 当前距低点0.45%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
24,80.8885057005278,73.96817071072105,600215,派斯林,bottom_area,2022-09-29,6.52,2022-09-29,6.5,0.30769230769230116,2.7692307692307647,31.57894736842105,False,-0.761,0.7647,2,2,2,100.0,21.718866517524237,23.993288590604024,9.6923076923077,0.30769230769230116,历史2/2次成功; 当前距低点0.31%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
25,80.88482292300327,74.48602358175206,002157,正邦科技,bottom_area,2022-09-29,4.47,2022-09-29,4.44,0.6756756756756612,4.504504504504489,28.846153846153843,False,-1.1062,1.6032,3,3,3,100.0,12.347118937056795,13.751169317118809,9.324324324324339,0.6756756756756612,历史3/3次成功; 当前距低点0.68%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
26,80.68131012356383,74.71375759963158,002173,创新医疗,confirmed_rebound,2022-09-29,6.26,2022-09-28,6.2,0.9677419354838646,10.645161290322584,27.2300469483568,False,0.9677,5.4716,2,2,2,100.0,21.560264583520393,24.903474903474905,9.032258064516135,0.9677419354838646,历史2/2次成功; 当前距低点0.97%; 最新日涨幅0.97%; 状态confirmed_rebound; 底部未确认
27,80.66419288990508,73.94084598698484,300446,航天智造,bottom_area,2022-09-29,9.26,2022-09-29,9.22,0.43383947939261547,7.4837310195227715,29.076923076923073,False,-5.2201,3.8489,1,1,1,100.0,51.92697768762679,51.92697768762679,9.566160520607385,0.43383947939261547,历史1/1次成功; 当前距低点0.43%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
28,80.46395412367417,76.30836599937109,002225,濮耐股份,bottom_area,2022-09-29,4.15,2022-09-29,4.06,2.216748768472925,4.187192118226622,28.646748681898078,False,0.0,1.4926,1,1,1,100.0,12.056737588652476,12.056737588652476,7.783251231527076,2.216748768472925,历史1/1次成功; 当前距低点2.22%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
29,80.41626026290791,76.02066490906655,000688,国城矿业,bottom_area,2022-09-29,16.43,2022-09-29,16.1,2.049689440993778,5.217391304347824,32.88870362651103,False,-0.1216,0.6323,1,1,1,100.0,30.935251798561143,30.935251798561143,7.950310559006223,2.049689440993778,历史1/1次成功; 当前距低点2.05%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
30,80.40833869494716,73.30368532275628,000591,太阳能,bottom_area,2022-09-29,6.82,2022-09-29,6.81,0.14684287812042107,1.7621145374449354,28.61635220125786,False,-0.2924,0.8494,1,1,1,100.0,32.84132841328414,32.84132841328414,9.85315712187958,0.14684287812042107,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
31,80.03304346230124,73.62134818021302,002343,慈文传媒,bottom_area,2022-09-29,4.88,2022-09-29,4.85,0.618556701030933,5.154639175257732,30.615164520743924,False,-2.4,1.9082,1,1,1,100.0,40.33149171270718,40.33149171270718,9.381443298969067,0.618556701030933,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
