rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
25,82.39266135362895,77.50099586283528,300417,南华仪器,confirmed_rebound,2025-04-07,9.11,2025-04-07,8.95,1.7877094972067056,18.21229050279331,30.834621329211746,False,-18.5152,5.5067,3,3,3,100.0,22.779427507884694,25.514403292181065,8.212290502793296,1.7877094972067056,历史3/3次成功; 当前距低点1.79%; 最新日涨幅-18.52%; 状态confirmed_rebound; 底部未确认
26,82.30914413732098,74.8264946702918,688005,容百科技,confirmed_rebound,2025-04-07,18.08,2025-04-07,18.08,0.0,18.086283185840728,28.95874263261297,False,-20.0,4.5899,5,5,5,100.0,21.916638012321442,38.76758854924795,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
27,82.24001434761395,76.55820487274704,601921,浙版传媒,bottom_area,2025-04-07,7.33,2025-04-07,7.24,1.2430939226519317,6.0773480662983355,29.57198443579766,False,-7.5662,1.6482,1,1,1,100.0,34.15300546448087,34.15300546448087,8.756906077348068,1.2430939226519317,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-7.57%; 状态bottom_area; 底部未确认
28,81.94267741445066,78.41389535824497,300724,捷佳伟创,confirmed_rebound,2025-04-07,50.02,2025-04-07,48.71,2.6893861630055476,17.0190925887908,28.018324220481748,False,-17.1854,4.8211,7,7,7,100.0,22.07363338654623,32.51221498371336,7.310613836994453,2.6893861630055476,历史7/7次成功; 当前距低点2.69%; 最新日涨幅-17.19%; 状态confirmed_rebound; 底部未确认
29,81.88290379802926,74.43900345275387,688079,美迪凯,confirmed_rebound,2025-04-07,7.54,2025-04-07,7.54,0.0,16.047745358090186,29.268292682926827,False,-17.8649,1.6106,5,5,5,100.0,19.833351896526157,30.064655172413808,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-17.86%; 状态confirmed_rebound; 底部未确认
30,81.53563918660785,74.12330835146167,300486,东杰智能,confirmed_rebound,2025-04-07,5.36,2025-04-07,5.36,0.0,17.53731343283581,30.92783505154639,False,-20.0,4.5946,4,4,4,100.0,18.1360664057079,21.839080459770123,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
31,81.33207620387736,73.93825109443397,301499,维科精密,confirmed_rebound,2025-04-07,20.18,2025-04-07,20.18,0.0,18.334985133795833,27.799642218246866,False,-19.9841,9.3345,4,4,4,100.0,17.141134916311575,21.950454687989964,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-19.98%; 状态confirmed_rebound; 底部未确认
32,81.27796590665147,74.0099253348462,688038,中科通达,confirmed_rebound,2025-04-07,11.69,2025-04-07,11.68,0.08561643835616256,19.60616438356165,28.56269113149848,False,-19.9315,4.0345,3,3,3,100.0,22.98457427042072,44.92753623188406,9.914383561643838,0.08561643835616256,历史3/3次成功; 当前距低点0.09%; 最新日涨幅-19.93%; 状态confirmed_rebound; 底部未确认
33,81.17091026785714,73.79173660714285,301381,赛维时代,confirmed_rebound,2025-04-07,17.76,2025-04-07,17.76,0.0,17.511261261261257,27.716727716727714,False,-20.0,3.358,2,2,2,100.0,49.686755952380956,66.46875000000001,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
34,81.1099201085523,73.73629100777481,688225,亚信安全,confirmed_rebound,2025-04-07,18.4,2025-04-07,18.4,0.0,18.750000000000018,29.878048780487802,False,-20.0,2.0062,4,4,4,100.0,16.05532799878933,21.557788944723633,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
35,81.08603179235872,73.71457435668974,300620,光库科技,confirmed_rebound,2025-04-07,35.44,2025-04-07,35.44,0.0,16.337471783295708,28.05521721477873,False,-20.0,3.5351,7,7,7,100.0,15.938571810159868,22.444343480236245,10.0,0.0,历史7/7次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
36,81.07162282128701,73.7014752920791,300563,神宇股份,confirmed_rebound,2025-04-07,31.06,2025-04-07,31.06,0.0,15.550547327752742,27.05495537811179,False,-19.9897,6.5862,4,4,4,100.0,15.86814673160799,20.477137176938378,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-19.99%; 状态confirmed_rebound; 底部未确认
37,81.04609690104428,73.67826991004024,688259,创耀科技,confirmed_rebound,2025-04-07,34.99,2025-04-07,34.99,0.0,13.80394398399542,27.55693581780537,False,-20.0046,5.9799,6,6,6,100.0,15.743386613119558,22.000256114739393,10.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
38,81.0151463083323,73.65013300757482,002358,森源电气,bottom_area,2025-04-07,5.0,2025-04-07,5.0,0.0,4.0000000000000036,31.318681318681318,False,-10.0719,2.6394,2,2,2,100.0,38.710392513843175,42.73127753303966,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.07%; 状态bottom_area; 底部未确认
39,80.93915241779857,74.71611278528418,300464,星徽股份,confirmed_rebound,2025-04-07,3.77,2025-04-07,3.74,0.8021390374331497,17.379679144385012,28.761904761904756,False,-19.2719,3.6235,4,4,4,100.0,18.897794573289044,23.68421052631579,9.19786096256685,0.8021390374331497,历史4/4次成功; 当前距低点0.80%; 最新日涨幅-19.27%; 状态confirmed_rebound; 底部未确认
40,80.90978027758133,76.46217940388897,300532,今天国际,confirmed_rebound,2025-04-07,10.04,2025-04-07,9.84,2.0325203252032447,18.191056910569113,32.74094326725906,False,-18.241,4.8949,2,2,2,100.0,36.86196637286212,57.57884028484233,7.967479674796755,2.0325203252032447,历史2/2次成功; 当前距低点2.03%; 最新日涨幅-18.24%; 状态confirmed_rebound; 底部未确认
41,80.824047468119,73.47640678919909,605080,浙江自然,bottom_area,2025-04-07,24.8,2025-04-07,24.8,0.0,0.0,28.899082568807344,False,-9.9819,0.1872,3,3,3,100.0,21.1097139204252,32.53424657534248,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
42,80.74996319229447,73.40905744754042,600255,鑫科材料,bottom_area,2025-04-07,3.03,2025-04-07,3.03,0.0,3.960396039603964,27.51196172248804,False,-10.089,3.1044,3,3,3,100.0,20.747620685701175,35.55555555555555,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.09%; 状态bottom_area; 底部未确认
43,80.7372689415812,73.39751721961927,002119,康强电子,bottom_area,2025-04-07,14.45,2025-04-07,14.45,0.0,2.7681660899654004,28.287841191067,False,-10.0249,3.0249,3,3,3,100.0,20.68557644956599,34.84698914116485,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
44,80.69517789379496,75.67702239789196,300355,蒙草生态,confirmed_rebound,2025-04-07,3.74,2025-04-07,3.68,1.630434782608697,18.206521739130423,32.723948811700176,False,-18.3406,6.9839,2,2,2,100.0,27.711901624945106,33.201581027668,8.369565217391303,1.630434782608697,历史2/2次成功; 当前距低点1.63%; 最新日涨幅-18.34%; 状态confirmed_rebound; 底部未确认
45,80.57466137362171,73.5809959560965,688280,精进电动,confirmed_rebound,2025-04-07,4.24,2025-04-07,4.23,0.23640661938533772,18.203309692671382,31.55339805825242,False,-19.8488,3.3692,3,3,3,100.0,22.526898109113223,32.37518910741301,9.763593380614664,0.23640661938533772,历史3/3次成功; 当前距低点0.24%; 最新日涨幅-19.85%; 状态confirmed_rebound; 底部未确认
46,80.51129527493501,73.19208661357727,601156,东航物流,bottom_area,2025-04-07,12.5,2025-04-07,12.5,0.0,4.0,30.632630410654826,False,-10.0072,2.7695,3,3,3,100.0,19.581110825684274,35.44877606527652,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
47,80.37184257108086,73.06531142825533,300449,汉邦高科,confirmed_rebound,2025-04-07,6.05,2025-04-07,6.05,0.0,16.198347107438025,30.61926605504588,False,-19.9735,10.4977,2,2,2,100.0,45.78124423793193,71.7557251908397,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-19.97%; 状态confirmed_rebound; 底部未确认
