rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
28,65.27083598646897,55.04913170465091,600415,小商品城,bottom_area,2026-03-04,13.83,19.01,2026-03-04,13.74,0.6550218340611343,2.6928675400291064,27.722251446607054,27.248816412414524,False,-1.8453,1.0595,1,2,1,50.0,32.59452411994785,32.59452411994785,19.344978165938866,0.6550218340611343,历史1/2次成功; 当前距低点0.66%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
29,64.54951013421889,55.11358857917072,301459,丰茂股份,bottom_area,2026-03-04,38.97,54.99,2026-03-04,38.46,1.3260530421216796,3.2241289651586116,30.06001091107474,29.13256955810148,False,-0.7134,4.4031,1,3,1,33.33333333333333,20.772345063843044,20.772345063843044,18.67394695787832,1.3260530421216796,历史1/3次成功; 当前距低点1.33%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
30,64.17949242179854,53.96121280179674,603099,长白山,bottom_area,2026-03-04,37.23,52.2,2026-03-04,37.05,0.4858299595141693,2.510121457489878,29.022988505747136,28.67816091954024,False,-1.299,1.503,1,2,1,50.0,24.671532846715323,24.671532846715323,19.51417004048583,0.4858299595141693,历史1/2次成功; 当前距低点0.49%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
31,63.98187598260382,54.05015922500853,603949,雪龙集团,bottom_area,2026-03-04,17.6,24.1,2026-03-04,17.47,0.744132799084159,1.8889524899828383,27.51037344398341,26.970954356846473,False,-1.0124,1.3858,1,2,1,50.0,28.31603229527105,28.31603229527105,19.25586720091584,0.744132799084159,历史1/2次成功; 当前距低点0.74%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
32,63.94662870592037,53.94971117805007,000516,国际医学,bottom_area,2026-03-04,4.49,6.19,2026-03-04,4.46,0.6726457399103195,1.5695067264574054,27.94830371567044,27.463651050080777,False,-0.6637,1.1762,1,2,1,50.0,26.89969604863221,26.89969604863221,19.32735426008968,0.6726457399103195,历史1/2次成功; 当前距低点0.67%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
33,63.90204260366634,53.71094852320447,301392,汇成真空,bottom_area,2026-03-04,102.92,151.3,2026-03-04,102.44,0.46856696602889886,3.7680593518156966,32.293456708526115,31.976206212822213,False,-1.0004,3.5235,1,3,1,33.33333333333333,42.55885952912378,42.55885952912378,19.5314330339711,0.46856696602889886,历史1/3次成功; 当前距低点0.47%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
34,62.66825452889028,52.99463134657836,603598,引力传媒,bottom_area,2026-03-04,21.42,31.6,2026-03-04,21.25,0.800000000000008,3.058823529411758,32.75316455696203,32.21518987341772,False,-0.5109,4.6113,1,2,1,50.0,23.325974981604134,23.325974981604134,19.199999999999992,0.800000000000008,历史1/2次成功; 当前距低点0.80%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
35,61.1860422149764,52.60099661379512,000995,皇台酒业,bottom_area,2026-03-04,14.95,21.2,2026-03-04,14.7,1.7006802721088436,3.8775510204081653,30.660377358490564,29.4811320754717,False,-3.2362,11.5766,2,8,2,25.0,23.45993351722187,24.697644812221508,18.29931972789116,1.7006802721088436,历史2/8次成功; 当前距低点1.70%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
36,60.95973892053724,51.31261722260433,688083,中望软件,bottom_area,2026-03-04,58.7,83.59,2026-03-04,58.38,0.5481329222336421,3.4600890715998562,30.159109941380546,29.77628902978825,False,-1.675,1.2806,2,7,2,28.57142857142857,24.290723500060842,27.053669222343906,19.45186707776636,0.5481329222336421,历史2/7次成功; 当前距低点0.55%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
37,55.7951320754717,46.495943396226416,001209,洪兴股份,bottom_area,2026-03-04,23.71,34.99,2026-03-04,23.71,0.0,1.2231126107127759,32.23778222349243,32.23778222349243,False,-9.9848,10.0997,1,4,1,25.0,21.88679245283018,21.88679245283018,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
38,54.88996863207341,46.39827102900973,300378,鼎捷数智,bottom_area,2026-03-04,42.75,60.5,2026-03-04,42.42,0.7779349363507739,4.738330975954733,29.88429752066115,29.338842975206614,False,-2.3973,4.7057,1,6,1,16.666666666666664,26.480086114101198,26.480086114101198,19.222065063649225,0.7779349363507739,历史1/6次成功; 当前距低点0.78%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
