rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
35,71.7903182768363,65.16391788784404,000829,天音控股,bottom_area,2025-01-13,10.07,2025-01-13,9.62,4.677754677754689,4.989604989604994,30.691642651296842,False,0.9018,2.4809,2,4,2,50.0,40.640852436154454,46.4765100671141,15.322245322245312,4.677754677754689,历史2/4次成功; 当前距低点4.68%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
36,71.50181371866584,63.7595791121861,002410,广联达,bottom_area,2025-01-13,10.64,2025-01-13,10.26,3.7037037037037113,4.093567251461987,27.130681818181817,False,2.6037,1.7264,2,5,2,40.0,42.81733094962667,45.94594594594595,16.29629629629629,3.7037037037037113,历史2/5次成功; 当前距低点3.70%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
37,71.20922204037097,60.90262411347517,688121,卓然股份,bottom_area,2025-01-13,10.01,2025-01-13,9.87,1.4184397163120626,2.5329280648429586,28.890489913544677,False,0.1,0.7384,1,6,1,16.666666666666664,55.206611570247944,55.206611570247944,18.58156028368794,1.4184397163120626,历史1/6次成功; 当前距低点1.42%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
38,70.12202109753186,61.22429943200633,002810,山东赫达,bottom_area,2025-01-13,11.67,2025-01-13,11.38,2.5483304042179187,2.987697715289981,27.144686299615866,False,0.6903,0.8433,1,3,1,33.33333333333333,46.13526570048308,46.13526570048308,17.451669595782082,2.5483304042179187,历史1/3次成功; 当前距低点2.55%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
39,69.87904670420748,61.51879958158221,300434,金石亚药,bottom_area,2025-01-13,8.58,2025-01-13,8.33,3.0012004801920766,6.242496998799515,27.439024390243905,False,-4.9834,7.0471,2,4,2,50.0,33.18030471193622,39.62264150943396,16.998799519807925,3.0012004801920766,历史2/4次成功; 当前距低点3.00%; 最新日涨幅-4.98%; 状态bottom_area; 底部未确认
40,69.78464009845517,61.055906761448156,000629,钒钛股份,bottom_area,2025-01-13,2.7,2025-01-13,2.63,2.6615969581749157,3.041825095057037,27.348066298342545,False,1.5038,0.6879,1,2,1,50.0,27.173913043478265,27.173913043478265,17.338403041825085,2.6615969581749157,历史1/2次成功; 当前距低点2.66%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
41,69.74442237119925,60.518605394160055,002140,东华科技,bottom_area,2025-01-13,8.79,2025-01-13,8.6,2.20930232558139,3.372093023255825,27.54844144903117,False,-0.678,0.6546,1,2,1,50.0,41.21405750798722,41.21405750798722,17.79069767441861,2.20930232558139,历史1/2次成功; 当前距低点2.21%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
42,69.44846902262627,61.998029335011715,300768,迪普科技,bottom_area,2025-01-13,16.26,2025-01-06,15.67,3.765156349712837,6.892150606253988,31.51223776223776,False,0.9938,0.827,1,2,1,50.0,45.76659038901602,45.76659038901602,16.234843650287164,3.765156349712837,历史1/2次成功; 当前距低点3.77%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
43,69.11233488281972,61.96278299839007,301548,崇德科技,bottom_area,2025-01-13,38.48,2025-01-13,37.0,3.9999999999999916,5.324324324324321,28.969091956229608,False,-0.9014,2.3725,2,4,2,50.0,37.59560751822604,54.89098408956984,16.000000000000007,3.9999999999999916,历史2/4次成功; 当前距低点4.00%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
44,68.88518543414818,61.75913176854665,603222,济民健康,bottom_area,2025-01-13,5.98,2025-01-13,5.75,4.000000000000008,4.173913043478264,30.471584038694072,False,0.3356,1.2384,3,8,3,37.5,41.11092348681001,68.46504559270518,15.999999999999993,4.000000000000008,历史3/8次成功; 当前距低点4.00%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
45,68.15014654680468,60.41895529049008,603232,格尔软件,bottom_area,2025-01-13,11.91,2025-01-06,11.52,3.385416666666672,6.33680555555556,29.32515337423314,False,0.2525,1.9293,2,6,2,33.33333333333333,35.39984923202562,48.01488833746897,16.61458333333333,3.385416666666672,历史2/6次成功; 当前距低点3.39%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
46,67.96196384289259,59.70851851851853,002419,天虹股份,bottom_area,2025-01-13,4.63,2025-01-13,4.5,2.8888888888888866,3.333333333333341,29.687500000000007,False,0.0,1.6368,1,2,1,50.0,22.71604938271605,22.71604938271605,17.111111111111114,2.8888888888888866,历史1/2次成功; 当前距低点2.89%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
47,67.52800407042095,60.927522469552756,002495,佳隆股份,bottom_area,2025-01-13,2.16,2025-01-13,2.07,4.347826086956537,5.797101449275368,32.57328990228013,False,0.0,6.2446,2,5,2,40.0,35.48691369792286,38.07339449541283,15.652173913043466,4.347826086956537,历史2/5次成功; 当前距低点4.35%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
48,67.28118924937256,60.49577627448175,002457,青龙管业,bottom_area,2025-01-13,10.77,2025-01-13,10.34,4.158607350096709,4.352030947775622,28.68965517241379,False,0.2793,2.2295,1,2,1,50.0,42.51290877796902,42.51290877796902,15.841392649903291,4.158607350096709,历史1/2次成功; 当前距低点4.16%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
49,67.04582707412783,60.037598367292965,605186,健麾信息,bottom_area,2025-01-13,18.23,2025-01-13,17.54,3.9338654503990953,4.275940706955531,32.460531382364266,False,1.5599,1.2799,1,2,1,50.0,37.29468599033817,37.29468599033817,16.066134549600903,3.9338654503990953,历史1/2次成功; 当前距低点3.93%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
50,66.74814078741879,58.19158478931141,000503,国新健康,bottom_area,2025-01-13,9.97,2025-01-08,9.73,2.4665981500513894,6.269270298047271,32.89655172413793,False,-1.4822,1.6119,1,2,1,50.0,31.85714285714286,31.85714285714286,17.533401849948614,2.4665981500513894,历史1/2次成功; 当前距低点2.47%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
51,66.60934142862148,59.41178471414767,600939,重庆建工,bottom_area,2025-01-13,2.79,2025-01-13,2.69,3.7174721189591113,4.0892193308550135,29.21052631578947,False,0.722,0.479,1,2,1,50.0,31.277533039647576,31.277533039647576,16.282527881040888,3.7174721189591113,历史1/2次成功; 当前距低点3.72%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
52,66.50716470683224,60.43774479142724,002455,百川股份,bottom_area,2025-01-13,7.07,2025-01-06,6.75,4.740740740740745,7.4074074074074066,27.57510729613734,True,0.4261,1.7567,2,5,2,40.0,28.476525162989986,35.42600896860987,15.259259259259256,4.740740740740745,历史2/5次成功; 当前距低点4.74%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
53,66.37070272135898,59.566954274418514,600992,贵绳股份,bottom_area,2025-01-13,13.08,2025-01-13,12.57,4.057279236276848,4.21638822593476,27.717078780908565,False,-0.9091,1.8187,2,5,2,40.0,47.083607167364136,61.79906542056074,15.942720763723154,4.057279236276848,历史2/5次成功; 当前距低点4.06%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
54,65.69432381373147,59.305993627664286,600185,珠免集团,bottom_area,2025-01-13,5.96,2025-01-13,5.71,4.378283712784588,4.5534150612959685,27.53807106598985,False,0.5059,1.5915,1,2,1,50.0,38.80903490759753,38.80903490759753,15.621716287215412,4.378283712784588,历史1/2次成功; 当前距低点4.38%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
55,65.39294965586484,57.193891751896885,603155,新亚强,bottom_area,2025-01-13,12.04,2025-01-13,11.73,2.6427962489343453,3.4953111679454403,27.770935960591125,False,0.0831,0.6739,1,3,1,33.33333333333333,25.624375624375624,25.624375624375624,17.357203751065654,2.6427962489343453,历史1/3次成功; 当前距低点2.64%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
