rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,87.43130325233894,82.82719975426167,000572,海马汽车,bottom_area,2023-08-28,4.26,2023-08-25,4.21,1.1876484560570029,6.650831353919245,31.096563011456634,False,0.4717,3.1939,2,2,2,100.0,17.82278620468623,22.92191435768261,6.812351543942998,1.1876484560570029,历史2/2次成功; 当前距低点1.19%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
13,87.36124639258814,83.62922127969821,002272,川润股份,bottom_area,2023-08-28,5.88,2023-08-25,5.78,1.7301038062283676,5.536332179930785,29.42612942612942,False,1.0309,2.3856,2,2,2,100.0,28.784182569348804,48.337595907928375,6.269896193771632,1.7301038062283676,历史2/2次成功; 当前距低点1.73%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
14,87.17866184332738,83.99795243489218,300474,景嘉微,confirmed_rebound,2023-08-28,68.62,2023-08-25,67.23,2.067529376766325,9.83192027368734,29.350567465321557,True,1.1796,2.406,2,2,2,100.0,35.92429792429792,59.857142857142854,5.932470623233675,2.067529376766325,历史2/2次成功; 当前距低点2.07%; 最新日涨幅1.18%; 状态confirmed_rebound; 底部已确认
15,87.11068755146947,83.62143095615802,600338,西藏珠峰,bottom_area,2023-08-28,14.13,2023-08-25,13.87,1.874549387166558,6.200432588320124,28.320413436692515,False,1.2178,1.7667,2,2,2,100.0,30.512922359665453,31.213191990577155,6.1254506128334425,1.874549387166558,历史2/2次成功; 当前距低点1.87%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
16,87.04246119375085,82.18413338403865,000028,国药一致,bottom_area,2023-08-28,31.87,2023-08-25,31.55,1.0142630744849455,5.229793977813002,28.539071347678362,False,0.5363,0.8098,2,2,2,100.0,12.240070934754426,14.150943396226415,6.985736925515054,1.0142630744849455,历史2/2次成功; 当前距低点1.01%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
17,86.46433601444282,82.74419279136991,600148,长春一东,bottom_area,2023-08-28,14.84,2023-08-25,14.59,1.7135023989033584,5.620287868403018,27.340637450199196,False,1.4354,1.4424,1,1,1,100.0,40.489130434782616,40.489130434782616,6.286497601096642,1.7135023989033584,历史1/1次成功; 当前距低点1.71%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
18,86.4258244717613,85.33447204022642,000411,英特集团,bottom_area,2023-08-28,11.76,2023-08-24,11.38,3.3391915641476184,7.029876977152889,27.974683544303797,True,0.5128,5.1395,3,3,3,100.0,31.816283905822544,47.98426745329401,4.660808435852381,3.3391915641476184,历史3/3次成功; 当前距低点3.34%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
19,86.31303263315557,81.36656591525696,605111,新洁能,bottom_area,2023-08-28,33.57,2023-08-25,33.26,0.9320505111244807,7.27600721587493,27.616974972796527,True,0.209,2.5983,3,3,3,100.0,20.815274626993325,36.800373134328346,7.067949488875519,0.9320505111244807,历史3/3次成功; 当前距低点0.93%; 最新日涨幅0.21%; 状态bottom_area; 底部已确认
20,86.30860473677018,83.56768578397651,002838,道恩股份,bottom_area,2023-08-28,13.22,2023-08-25,12.92,2.3219814241486123,6.5789473684210495,29.629629629629626,False,1.6141,1.4902,3,3,3,100.0,19.04195393029752,24.95606326889279,5.678018575851388,2.3219814241486123,历史3/3次成功; 当前距低点2.32%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
21,85.55695057172902,81.93422443334295,688148,芳源股份,confirmed_rebound,2023-08-28,9.3,2023-08-23,9.14,1.7505470459518613,9.299781181619252,27.3449920508744,True,0.432,1.2798,2,2,2,100.0,20.943396226415096,26.66666666666668,6.249452954048139,1.7505470459518613,历史2/2次成功; 当前距低点1.75%; 最新日涨幅0.43%; 状态confirmed_rebound; 底部已确认
