rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,79.65369480970567,74.0292641736335,688261,东微半导,bottom_area,2024-09-02,29.72,2024-08-29,29.38,1.157249829816201,8.509189925119129,30.37914691943129,True,-5.5308,1.8555,1,1,1,100.0,10.31071927749703,10.31071927749703,8.8427501701838,1.157249829816201,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-5.53%; 状态bottom_area; 底部已确认
13,79.34029416806051,74.37947788944302,000708,中信特钢,bottom_area,2024-09-02,11.35,2024-08-30,11.17,1.6114592658907763,4.834377797672345,31.472392638036812,False,-1.5611,0.1746,1,1,1,100.0,16.739811912225715,16.739811912225715,8.388540734109224,1.6114592658907763,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
14,79.14308277066733,72.33326854772618,603132,金徽股份,bottom_area,2024-09-02,10.76,2024-09-02,10.73,0.27958993476234256,3.2618825722273965,28.418945963975982,False,-3.2374,2.1471,2,2,2,100.0,22.799643005292072,33.20754716981132,9.720410065237658,0.27958993476234256,历史2/2次成功; 当前距低点0.28%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
15,78.99086230737103,75.23839463523674,002674,兴业科技,bottom_area,2024-09-02,7.96,2024-08-21,7.77,2.4453024453024503,6.30630630630631,31.72231985940247,False,-1.3631,0.689,1,1,1,100.0,31.578947368421055,31.578947368421055,7.554697554697551,2.4453024453024503,历史1/1次成功; 当前距低点2.45%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
16,78.47714291921065,72.38580881862451,002110,三钢闽光,bottom_area,2024-09-02,2.65,2024-08-29,2.63,0.7604562737642593,3.802281368821296,30.0531914893617,False,-1.8519,0.3181,2,2,2,100.0,18.761554423693642,22.90322580645161,9.239543726235741,0.7604562737642593,历史2/2次成功; 当前距低点0.76%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
17,78.1404850486307,76.83666681438334,002545,东方铁塔,bottom_area,2024-09-02,6.07,2024-07-25,5.83,4.116638078902233,7.375643224699823,29.247572815533985,True,-1.461,0.8095,3,3,3,100.0,18.132266850969987,28.468653648509758,5.883361921097768,4.116638078902233,历史3/3次成功; 当前距低点4.12%; 最新日涨幅-1.46%; 状态bottom_area; 底部已确认
18,78.05705938271964,74.46153964197748,603291,联合水务,bottom_area,2024-09-02,9.34,2024-08-28,9.11,2.524698133918775,5.92755214050495,29.65250965250965,False,-2.5052,0.9863,2,2,2,100.0,11.708878426410102,12.102772143340088,7.475301866081225,2.524698133918775,历史2/2次成功; 当前距低点2.52%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
19,78.03693554804059,76.3659090909091,000957,中通客车,bottom_area,2024-09-02,9.14,2024-08-29,8.8,3.8636363636363615,7.159090909090897,31.25,True,-1.6146,3.4096,3,4,3,75.0,132.3344468028054,354.54545454545456,6.136363636363639,3.8636363636363615,历史3/4次成功; 当前距低点3.86%; 最新日涨幅-1.61%; 状态bottom_area; 底部已确认
20,77.28699532633522,73.32119485016291,002230,科大讯飞,bottom_area,2024-09-02,33.39,2024-08-28,32.66,2.235150030618506,6.399265156154328,28.093350946719518,False,-2.9078,0.9186,1,1,1,100.0,18.69535978480161,18.69535978480161,7.764849969381495,2.235150030618506,历史1/1次成功; 当前距低点2.24%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
21,76.93649943384888,76.15119028404467,300653,正海生物,bottom_area,2024-09-02,19.2,2024-08-28,18.38,4.461371055495105,7.83460282916214,27.466456195737965,True,-1.0819,1.3723,3,3,3,100.0,18.672668228889858,29.647513278609367,5.538628944504896,4.461371055495105,历史3/3次成功; 当前距低点4.46%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
22,76.7098898779463,74.910531385373,002715,登云股份,bottom_area,2024-09-02,9.95,2024-08-23,9.59,3.753910323253383,7.4035453597497485,31.45103645461044,True,-2.2593,1.3666,1,1,1,100.0,36.66369313113291,36.66369313113291,6.246089676746617,3.753910323253383,历史1/1次成功; 当前距低点3.75%; 最新日涨幅-2.26%; 状态bottom_area; 底部已确认
23,76.70047638124633,74.26108605445746,002682,龙洲股份,bottom_area,2024-09-02,3.44,2024-08-28,3.33,3.3033033033032995,6.606606606606599,30.76923076923076,False,-1.1494,2.1736,2,2,2,100.0,20.175363365532185,26.929674099485425,6.6966966966967005,3.3033033033032995,历史2/2次成功; 当前距低点3.30%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
24,76.3983732042573,70.23158677812633,600262,北方股份,bottom_area,2024-09-02,15.5,2024-08-29,15.41,0.5840363400389348,6.55418559377029,31.48065807025344,False,-3.9653,2.5972,2,2,2,100.0,15.232202330188693,17.269624573378834,9.415963659961065,0.5840363400389348,历史2/2次成功; 当前距低点0.58%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
25,76.38328394557716,72.67625543404222,001286,陕西能源,bottom_area,2024-09-02,9.43,2024-08-29,9.21,2.3887079261671973,4.125950054288805,27.07838479809976,False,-0.4224,1.6883,1,1,1,100.0,17.110266159695826,17.110266159695826,7.611292073832804,2.3887079261671973,历史1/1次成功; 当前距低点2.39%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
26,76.36999100840703,73.21357851673457,600183,生益科技,bottom_area,2024-09-02,17.35,2024-08-29,16.88,2.784360189573474,7.2274881516587826,29.519832985386223,True,-1.5882,0.9216,3,4,3,75.0,19.822149187968265,25.158227848101262,7.215639810426526,2.784360189573474,历史3/4次成功; 当前距低点2.78%; 最新日涨幅-1.59%; 状态bottom_area; 底部已确认
