rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
39,76.97533643845551,76.17690470994488,688116,天奈科技,bottom_area,2023-05-10,52.36,2023-05-10,50.61,3.4578146611341634,5.8091286307053895,29.374825565168848,False,2.5661,1.6515,2,2,2,100.0,9.896355577047169,11.226578491576134,4.542185338865837,3.4578146611341634,历史2/2次成功; 当前距低点3.46%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
40,76.89537493445997,74.80094837982487,002758,浙农股份,bottom_area,2023-05-10,12.4,2023-04-25,12.09,2.5641025641025683,5.789909015715462,28.249258160237396,False,-0.161,1.0572,2,2,2,100.0,14.016678634294234,19.064430714916153,5.435897435897432,2.5641025641025683,历史2/2次成功; 当前距低点2.56%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
41,76.80651324922052,78.080416397539,300432,富临精工,bottom_area,2023-05-10,10.15,2023-04-26,9.68,4.855371900826453,7.334710743801661,32.54355400696864,True,3.4659,1.7083,3,3,3,100.0,11.40142113668444,13.323239969719907,3.144628099173547,4.855371900826453,历史3/3次成功; 当前距低点4.86%; 最新日涨幅3.47%; 状态bottom_area; 底部已确认
42,76.52608895328599,73.22865814780026,688298,东方生物,bottom_area,2023-05-10,54.72,2023-05-10,53.8,1.7100371747211927,2.9368029739777053,30.741503604531424,False,1.1086,0.8436,4,6,4,66.66666666666666,11.510087309128625,15.470039788586028,6.289962825278808,1.7100371747211927,历史4/6次成功; 当前距低点1.71%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
43,75.51244941507478,75.29880096228331,001266,宏英智能,confirmed_rebound,2023-05-10,24.53,2023-04-25,23.62,3.852667231160034,8.044030482641823,28.6404833836858,True,1.8265,1.8759,2,2,2,100.0,11.03700134047409,13.763753373468953,4.147332768839966,3.852667231160034,历史2/2次成功; 当前距低点3.85%; 最新日涨幅1.83%; 状态confirmed_rebound; 底部已确认
44,75.01205467554526,74.36186642393261,301367,瑞迈特,bottom_area,2023-05-10,217.76,2023-05-10,210.3,3.5473133618639943,6.405135520684735,29.642020742723307,False,1.5198,4.0651,1,1,1,100.0,17.901832736465128,17.901832736465128,4.452686638136006,3.5473133618639943,历史1/1次成功; 当前距低点3.55%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
45,74.61174086951661,73.13228318666005,300499,高澜股份,bottom_area,2023-05-10,17.4,2023-05-10,16.9,2.9585798816568047,4.733727810650892,31.66194904973717,False,-1.6949,18.2381,2,2,2,100.0,9.880888800201893,10.396039603960403,5.041420118343195,2.9585798816568047,历史2/2次成功; 当前距低点2.96%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
46,74.57331306574119,73.9707873794504,688229,博睿数据,confirmed_rebound,2023-05-10,55.0,2023-05-09,53.1,3.5781544256120497,8.079096045197739,31.92307692307692,False,2.2875,2.5243,2,2,2,100.0,9.725696074440098,11.21206614573869,4.42184557438795,3.5781544256120497,历史2/2次成功; 当前距低点3.58%; 最新日涨幅2.29%; 状态confirmed_rebound; 底部未确认
47,73.79131982860117,71.18025035979468,300727,润禾材料,bottom_area,2023-05-10,27.37,2023-05-10,26.8,2.1268656716417924,2.4999999999999933,27.918235610543302,False,0.4404,1.6107,2,3,2,66.66666666666666,22.273319486404827,26.812499999999993,5.873134328358208,2.1268656716417924,历史2/3次成功; 当前距低点2.13%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
48,73.37849655134683,74.25111999311127,688227,品高股份,confirmed_rebound,2023-05-10,24.71,2023-05-04,23.62,4.614733276883996,12.066045723962734,29.132913291329128,True,0.081,2.7177,1,1,1,100.0,31.412429378531087,31.412429378531087,3.3852667231160045,4.614733276883996,历史1/1次成功; 当前距低点4.61%; 最新日涨幅0.08%; 状态confirmed_rebound; 底部已确认
49,73.29376732857817,68.99572782621394,001201,东瑞股份,bottom_area,2023-05-10,24.67,2023-05-05,24.46,0.8585445625511072,2.207686017988549,28.01648028251912,False,-0.6444,0.8748,1,1,1,100.0,18.4043517679057,18.4043517679057,7.141455437448893,0.8585445625511072,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
