rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
23,81.73076117932125,77.45471659919029,600201,生物股份,bottom_area,2024-06-07,7.97,2024-06-06,7.8,2.179487179487179,4.230769230769243,28.767123287671232,False,0.3778,1.7295,1,1,1,100.0,17.76315789473684,17.76315789473684,7.820512820512822,2.179487179487179,历史1/1次成功; 当前距低点2.18%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
24,81.4024147360004,76.09928702944417,301517,陕西华达,bottom_area,2024-06-07,57.5,2024-06-07,56.67,1.4646197282512763,6.829010058231864,31.62403474903474,False,-3.9746,28.3565,1,1,1,100.0,34.40118284869394,34.40118284869394,8.535380271748725,1.4646197282512763,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
25,81.33637977803166,75.768156982396,688205,德科立,bottom_area,2024-06-07,29.31,2024-06-07,28.94,1.2785072563925275,3.9391845196959125,32.509328358208954,False,-0.0682,1.798,1,1,1,100.0,20.12448132780082,20.12448132780082,8.721492743607474,1.2785072563925275,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
26,81.31333843128034,80.2957291900598,300745,欣锐科技,confirmed_rebound,2024-06-07,15.15,2024-06-06,14.52,4.338842975206617,13.154269972451793,32.96398891966759,False,3.0612,6.99,5,5,5,100.0,19.72199555661768,36.150000000000006,5.661157024793384,4.338842975206617,历史5/5次成功; 当前距低点4.34%; 最新日涨幅3.06%; 状态confirmed_rebound; 底部未确认
27,80.41707138154122,78.18471267410189,688329,艾隆科技,bottom_area,2024-06-07,14.99,2024-06-06,14.48,3.5220994475138108,6.767955801104975,29.674599320058277,False,2.8826,1.5776,2,2,2,100.0,21.479029109856874,21.72890326374596,6.47790055248619,3.5220994475138108,历史2/2次成功; 当前距低点3.52%; 最新日涨幅2.88%; 状态bottom_area; 底部未确认
28,79.89816638823926,76.18197260273975,301389,隆扬电子,bottom_area,2024-06-07,15.17,2024-06-07,14.8,2.4999999999999947,4.932432432432423,27.093596059113302,False,0.2644,15.6282,1,1,1,100.0,14.849315068493155,14.849315068493155,7.500000000000007,2.4999999999999947,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
29,79.72962205635693,75.63774409701047,002490,山东墨龙,bottom_area,2024-06-07,1.83,2024-06-07,1.79,2.2346368715083815,8.379888268156419,30.888030888030883,False,-2.6596,3.3227,2,2,2,100.0,14.47696862392244,14.885496183206094,7.765363128491619,2.2346368715083815,历史2/2次成功; 当前距低点2.23%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
30,79.40559767081409,73.63725554520244,300363,博腾股份,bottom_area,2024-06-07,13.57,2024-06-06,13.43,1.0424422933730497,6.55249441548772,27.601078167115904,False,0.593,1.1024,2,4,2,50.0,41.63453749512357,46.29503738953092,8.95755770662695,1.0424422933730497,历史2/4次成功; 当前距低点1.04%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
31,79.34656634556465,76.99555697236273,301419,阿莱德,bottom_area,2024-06-07,23.58,2024-06-06,22.8,3.4210526315789367,7.675438596491229,27.15654952076677,False,2.611,2.9404,2,2,2,100.0,13.847080496573705,16.103127641589175,6.578947368421065,3.4210526315789367,历史2/2次成功; 当前距低点3.42%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
32,78.95080943790173,76.56012761592686,688357,建龙微纳,bottom_area,2024-06-07,26.26,2024-06-06,25.4,3.385826771653555,5.0787401574803255,32.012847965738764,False,2.94,0.4686,4,5,4,80.0,21.074261587618047,31.65083135391925,6.614173228346446,3.385826771653555,历史4/5次成功; 当前距低点3.39%; 最新日涨幅2.94%; 状态bottom_area; 底部未确认
33,78.55888453641923,77.34312307009994,002562,兄弟科技,bottom_area,2024-06-07,2.99,2024-06-06,2.87,4.181184668989551,8.710801393728222,28.428927680798,False,2.0478,1.3798,2,2,2,100.0,25.033462986000675,33.466135458167344,5.81881533101045,4.181184668989551,历史2/2次成功; 当前距低点4.18%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
34,78.15009748635504,72.7958439748544,300364,中文在线,bottom_area,2024-06-07,19.85,2024-06-07,19.6,1.2755102040816324,3.9285714285714266,27.299703264094955,False,-0.5511,4.8448,5,7,5,71.42857142857143,16.012327712076576,20.7773851590106,8.724489795918368,1.2755102040816324,历史5/7次成功; 当前距低点1.28%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
