rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
66,58.5326460040984,55.786885245901665,300446,航天智造,bottom_area,2024-01-29,13.44,2024-01-24,12.81,4.918032786885238,12.02185792349726,28.555493586168428,True,-4.4097,3.4791,1,2,1,50.0,51.92697768762679,51.92697768762679,10.081967213114762,4.918032786885238,历史1/2次成功; 当前距低点4.92%; 最新日涨幅-4.41%; 状态bottom_area; 底部已确认
67,57.850174358517755,53.61566396155416,002655,共达电声,bottom_area,2024-01-29,9.99,2024-01-24,9.66,3.4161490683229823,9.316770186335408,30.20231213872832,True,-3.4783,1.7975,1,2,1,50.0,19.91657977059437,19.91657977059437,11.583850931677016,3.4161490683229823,历史1/2次成功; 当前距低点3.42%; 最新日涨幅-3.48%; 状态bottom_area; 底部已确认
68,57.74483536542026,53.30899106456004,603033,三维股份,bottom_area,2024-01-29,13.52,2024-01-24,13.1,3.206106870229007,10.30534351145038,30.76109936575054,True,-2.029,0.1635,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,11.793893129770993,3.206106870229007,历史1/3次成功; 当前距低点3.21%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
69,57.59966094213039,53.79806346826585,002617,露笑科技,bottom_area,2024-01-29,5.42,2024-01-23,5.22,3.8314176245210767,7.662835249042153,28.395061728395067,True,-2.518,0.8319,1,4,1,25.0,36.60589060308556,36.60589060308556,11.168582375478922,3.8314176245210767,历史1/4次成功; 当前距低点3.83%; 最新日涨幅-2.52%; 状态bottom_area; 底部已确认
70,57.49489844741724,54.079359925788495,000837,秦川机床,bottom_area,2024-01-29,8.17,2024-01-24,7.84,4.209183673469389,9.056122448979604,28.073394495412845,True,-2.6222,1.6591,1,2,1,50.0,21.915584415584412,21.915584415584412,10.790816326530612,4.209183673469389,历史1/2次成功; 当前距低点4.21%; 最新日涨幅-2.62%; 状态bottom_area; 底部已确认
71,57.483388888888896,49.985555555555564,603217,元利科技,bottom_area,2024-01-29,15.78,2024-01-29,15.78,0.0,10.89987325728771,31.450912250217204,False,-9.9829,4.4502,1,2,1,50.0,19.81481481481482,19.81481481481482,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
72,57.45723279648609,49.96281112737921,605268,王力安防,bottom_area,2024-01-29,9.32,2024-01-29,9.32,0.0,7.29613733905579,28.197226502311246,False,-9.0732,23.7678,1,2,1,50.0,19.692532942898985,19.692532942898985,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.07%; 状态bottom_area; 底部未确认
73,57.45323069410149,50.897827201271326,603099,长白山,bottom_area,2024-01-29,28.39,2024-01-29,28.11,0.9960868018498795,11.704019921736034,30.506798516687272,False,-8.3602,13.3915,1,2,1,50.0,24.671532846715323,24.671532846715323,14.00391319815012,0.9960868018498795,历史1/2次成功; 当前距低点1.00%; 最新日涨幅-8.36%; 状态bottom_area; 底部未确认
74,57.40155908534063,53.67247727272727,688070,纵横股份,bottom_area,2024-01-29,28.57,2024-01-23,27.5,3.890909090909092,12.47272727272727,30.90452261306532,True,-3.1525,1.2971,1,2,1,50.0,26.04166666666665,26.04166666666665,11.109090909090908,3.890909090909092,历史1/2次成功; 当前距低点3.89%; 最新日涨幅-3.15%; 状态bottom_area; 底部已确认
75,57.29947260466388,53.58040437589524,300639,凯普生物,bottom_area,2024-01-29,7.47,2024-01-24,7.19,3.894297635604998,9.596662030598045,28.670634920634917,True,-2.7344,0.8778,1,2,1,50.0,15.373134328358212,15.373134328358212,11.105702364395,3.894297635604998,历史1/2次成功; 当前距低点3.89%; 最新日涨幅-2.73%; 状态bottom_area; 底部已确认
76,57.194227421694485,53.74119324936291,688196,卓越新能,bottom_area,2024-01-29,30.59,2024-01-24,29.37,4.153898535921003,7.933265236636017,31.31431244153414,True,-2.7345,0.3803,1,2,1,50.0,19.41979522184301,19.41979522184301,10.846101464078997,4.153898535921003,历史1/2次成功; 当前距低点4.15%; 最新日涨幅-2.73%; 状态bottom_area; 底部已确认
77,56.65261618078163,49.31806012730458,603032,德新科技,bottom_area,2024-01-29,16.79,2024-01-29,16.78,0.059594755661489925,8.700834326579244,29.495798319327726,False,-8.1007,4.8363,1,4,1,25.0,25.53191489361702,25.53191489361702,14.940405244338509,0.059594755661489925,历史1/4次成功; 当前距低点0.06%; 最新日涨幅-8.10%; 状态bottom_area; 底部未确认
78,56.45615702346876,51.94636448247961,300400,劲拓股份,bottom_area,2024-01-29,12.25,2024-01-24,11.89,3.0277544154751843,10.344827586206886,27.851941747572813,True,-4.7434,1.2195,1,4,1,25.0,27.014218009478668,27.014218009478668,11.972245584524815,3.0277544154751843,历史1/4次成功; 当前距低点3.03%; 最新日涨幅-4.74%; 状态bottom_area; 底部已确认
79,56.116984481976,49.59625868476583,300458,全志科技,bottom_area,2024-01-29,17.41,2024-01-24,17.26,0.8690614136732246,8.111239860950164,29.32022932022932,True,-2.5196,2.0024,1,4,1,25.0,17.541498429789147,17.541498429789147,14.130938586326774,0.8690614136732246,历史1/4次成功; 当前距低点0.87%; 最新日涨幅-2.52%; 状态bottom_area; 底部已确认
80,55.64373076923079,52.13466666666668,300365,恒华科技,bottom_area,2024-01-29,5.72,2024-01-23,5.5,3.999999999999995,10.727272727272725,28.84864165588616,True,-4.1876,1.8128,1,2,1,50.0,19.111111111111114,19.111111111111114,11.000000000000004,3.999999999999995,历史1/2次成功; 当前距低点4.00%; 最新日涨幅-4.19%; 状态bottom_area; 底部已确认
81,55.34136552205976,51.814284601441976,603192,汇得科技,bottom_area,2024-01-29,17.32,2024-01-24,16.66,3.9615846338535423,9.903961584633846,29.31692829868477,True,-3.2402,1.4432,1,2,1,50.0,16.917728852838945,16.917728852838945,11.038415366146456,3.9615846338535423,历史1/2次成功; 当前距低点3.96%; 最新日涨幅-3.24%; 状态bottom_area; 底部已确认
82,55.22986122817728,50.595276075185815,688049,炬芯科技,bottom_area,2024-01-29,27.98,2024-01-24,27.22,2.792064658339462,9.478324761205004,29.26195426195426,True,-3.1834,1.7086,1,3,1,33.33333333333333,15.472312703583075,15.472312703583075,12.207935341660537,2.792064658339462,历史1/3次成功; 当前距低点2.79%; 最新日涨幅-3.18%; 状态bottom_area; 底部已确认
83,53.52371818181819,46.542363636363646,603160,汇顶科技,bottom_area,2024-01-29,54.8,2024-01-29,54.8,0.0,5.43795620437957,31.500000000000007,False,-4.4797,0.7667,1,3,1,33.33333333333333,20.747474747474755,20.747474747474755,15.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
84,50.87617025572005,44.24014804845222,300769,德方纳米,bottom_area,2024-01-29,44.71,2024-01-29,44.71,0.0,6.844106463878331,28.60108591504311,False,-5.3356,4.5456,1,5,1,20.0,20.592193808882907,20.592193808882907,15.0,0.0,历史1/5次成功; 当前距低点0.00%; 最新日涨幅-5.34%; 状态bottom_area; 底部未确认
