rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
32,77.8833564880815,76.22347564313081,002795,永和智控,bottom_area,2023-04-27,10.47,2023-04-25,10.08,3.869047619047625,8.432539682539678,28.763250883392228,True,-1.7824,2.2365,2,2,2,100.0,28.467226959996715,31.302270011947446,6.130952380952376,3.869047619047625,历史2/2次成功; 当前距低点3.87%; 最新日涨幅-1.78%; 状态bottom_area; 底部已确认
33,77.75195613970081,71.97172682876558,300582,英飞特,bottom_area,2023-04-27,12.8,2023-04-27,12.68,0.9463722397476418,3.4700315457413216,32.40938166311301,False,-1.9157,4.5411,1,1,1,100.0,35.48094373865699,35.48094373865699,9.053627760252358,0.9463722397476418,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
34,77.70641873980269,75.24349357474351,002553,南方精工,bottom_area,2023-04-27,9.99,2023-04-26,9.67,3.3092037228541913,5.687693898655644,28.844738778513612,False,-1.2846,1.9106,2,2,2,100.0,25.52945195081221,32.14285714285715,6.690796277145809,3.3092037228541913,历史2/2次成功; 当前距低点3.31%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
35,77.62522173200055,74.70209622744824,000059,华锦股份,bottom_area,2023-04-27,6.9,2023-04-25,6.7,2.9850746268656745,4.626865671641785,29.916317991631804,False,-1.2876,0.5875,2,2,2,100.0,18.645518154311638,25.41603630862328,7.014925373134326,2.9850746268656745,历史2/2次成功; 当前距低点2.99%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
36,77.59930117262083,73.45502205292702,603186,华正新材,bottom_area,2023-04-27,28.43,2023-04-27,27.84,2.1192528735632177,6.71695402298851,30.935251798561154,False,-0.5596,3.86,1,1,1,100.0,17.994186046511643,17.994186046511643,7.880747126436782,2.1192528735632177,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
37,77.58460507896635,73.18349254213558,002261,拓维信息,bottom_area,2023-04-27,11.59,2023-04-27,11.37,1.9349164467898035,8.355321020228681,28.490566037735853,False,-7.0569,13.478,1,1,1,100.0,24.489795918367328,24.489795918367328,8.065083553210197,1.9349164467898035,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-7.06%; 状态bottom_area; 底部未确认
38,77.24365671240338,73.62531841426636,002385,大北农,bottom_area,2023-04-27,7.02,2023-04-25,6.85,2.4817518248175174,4.817518248175183,30.73811931243681,False,-0.9873,1.2535,1,1,1,100.0,23.353293413173663,23.353293413173663,7.5182481751824835,2.4817518248175174,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
39,77.20052872376647,70.67337031855007,300353,东土科技,bottom_area,2023-04-27,10.99,2023-04-27,10.95,0.36529680365297645,3.744292237442924,29.354838709677423,False,-0.7227,3.4969,1,1,1,100.0,21.377672209026137,21.377672209026137,9.634703196347024,0.36529680365297645,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
40,75.87644365627192,70.87922334476251,002222,福晶科技,confirmed_rebound,2023-04-27,25.63,2023-04-27,25.27,1.4246141669964363,10.011871784724976,29.13628715647784,False,-5.7721,12.9545,3,4,3,75.0,20.227654008141812,25.783972125435533,8.575385833003564,1.4246141669964363,历史3/4次成功; 当前距低点1.42%; 最新日涨幅-5.77%; 状态confirmed_rebound; 底部未确认
41,75.7826787160335,75.39220118004125,300665,飞鹿股份,bottom_area,2023-04-27,7.53,2023-04-24,7.19,4.728789986091792,5.28511821974965,30.329457364341085,False,0.534,2.1918,2,2,2,100.0,21.25721692650826,22.6044226044226,5.271210013908209,4.728789986091792,历史2/2次成功; 当前距低点4.73%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
42,75.6809547699395,70.00213026943062,002077,大港股份,bottom_area,2023-04-27,13.35,2023-04-27,13.23,0.907029478458044,4.610733182161749,28.05872756933116,False,-2.4836,2.7569,1,1,1,100.0,24.40944881889765,24.40944881889765,9.092970521541957,0.907029478458044,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
43,75.40458724202628,68.54962476547843,002564,天沃科技,bottom_area,2023-04-27,4.17,2023-04-27,4.17,0.0,0.0,29.32203389830509,False,-9.9352,0.6459,1,1,1,100.0,27.954971857410886,27.954971857410886,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.94%; 状态bottom_area; 底部未确认
