rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
38,75.67353339115324,75.83102253452715,002599,盛通股份,bottom_area,2025-04-02,9.63,2025-03-31,9.25,4.108108108108117,6.162162162162165,31.53219837157661,False,0.8377,3.9634,2,2,2,100.0,16.008113016202447,22.107969151670947,3.8918918918918832,4.108108108108117,历史2/2次成功; 当前距低点4.11%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
39,75.55709920596632,73.23595950578303,002123,梦网科技,bottom_area,2025-04-02,14.64,2025-03-31,14.3,2.3776223776223766,4.055944055944057,30.141670737664867,False,0.5495,2.7981,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,5.622377622377623,2.3776223776223766,历史2/3次成功; 当前距低点2.38%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
40,75.25608375029233,73.81554769828065,300183,东软载波,bottom_area,2025-04-02,18.57,2025-03-31,18.03,2.995008319467549,4.326123128119787,28.67879746835443,False,2.0891,3.2273,1,1,1,100.0,8.194444444444441,8.194444444444441,5.004991680532451,2.995008319467549,历史1/1次成功; 当前距低点3.00%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
41,74.96346131738153,73.84694963844431,301389,隆扬电子,bottom_area,2025-04-02,21.8,2025-03-31,21.12,3.2196969696969684,6.250000000000002,31.428571428571427,False,-0.5021,3.747,2,2,2,100.0,16.92397166319034,18.998628257887525,4.780303030303032,3.2196969696969684,历史2/2次成功; 当前距低点3.22%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
42,74.71900715718185,73.23452357127758,600693,东百集团,confirmed_rebound,2025-04-02,5.92,2025-03-31,5.75,2.9565217391304333,10.956521739130434,28.571428571428577,False,-1.3333,3.5529,2,2,2,100.0,20.620393206962166,30.632090761750412,5.043478260869567,2.9565217391304333,历史2/2次成功; 当前距低点2.96%; 最新日涨幅-1.33%; 状态confirmed_rebound; 底部未确认
43,74.68691398432325,73.4604439633696,603163,圣晖集成,bottom_area,2025-04-02,25.3,2025-03-31,24.53,3.139013452914796,4.15817366490012,27.05917335712162,False,-0.1579,2.4971,1,1,1,100.0,30.52362707535122,30.52362707535122,4.860986547085204,3.139013452914796,历史1/1次成功; 当前距低点3.14%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
44,74.48345546628529,72.76756213846332,601789,宁波建工,bottom_area,2025-04-02,5.53,2025-03-31,5.38,2.7881040892193374,7.063197026022302,27.882037533512065,True,-0.8961,3.8925,1,1,1,100.0,13.303437967115093,13.303437967115093,5.2118959107806635,2.7881040892193374,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-0.90%; 状态bottom_area; 底部已确认
45,74.40006553550502,73.66120089048728,000890,法尔胜,bottom_area,2025-04-02,3.27,2025-03-31,3.16,3.4810126582278436,5.379746835443036,27.853881278538807,False,0.0,2.393,3,4,3,75.0,17.488762103477214,32.954545454545446,4.518987341772156,3.4810126582278436,历史3/4次成功; 当前距低点3.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
46,74.23267172109476,75.4273452967086,300671,富满微,confirmed_rebound,2025-04-02,27.78,2025-03-31,26.5,4.830188679245287,14.943396226415098,30.023765513599148,False,0.036,2.0498,3,3,3,100.0,16.23750260961202,20.266753415744958,3.169811320754713,4.830188679245287,历史3/3次成功; 当前距低点4.83%; 最新日涨幅0.04%; 状态confirmed_rebound; 底部未确认
47,74.22115344610067,73.45380590093106,301428,世纪恒通,confirmed_rebound,2025-04-02,40.97,2025-03-31,39.6,3.4595959595959527,8.005050505050509,27.999999999999996,True,-0.4616,3.8208,2,2,2,100.0,18.7724983269346,26.206896551724135,4.540404040404048,3.4595959595959527,历史2/2次成功; 当前距低点3.46%; 最新日涨幅-0.46%; 状态confirmed_rebound; 底部已确认
48,74.20576012994694,74.45964636687155,002335,科华数据,bottom_area,2025-04-02,43.64,2025-03-31,41.89,4.1776080210074,6.922893291955116,27.53848815083896,False,0.5762,4.7562,2,2,2,100.0,9.487057283701205,10.596026490066222,3.822391978992601,4.1776080210074,历史2/2次成功; 当前距低点4.18%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
49,72.49373757511405,72.23644310638177,300721,怡达股份,confirmed_rebound,2025-04-02,14.15,2025-03-31,13.63,3.8151137197358733,9.170946441672779,31.5075376884422,True,-2.2115,13.3743,6,7,6,85.71428571428571,14.204544325389381,22.270742358078603,4.184886280264126,3.8151137197358733,历史6/7次成功; 当前距低点3.82%; 最新日涨幅-2.21%; 状态confirmed_rebound; 底部已确认
50,72.14900833461088,71.99241271119674,301608,博实结,bottom_area,2025-04-02,83.12,2025-03-31,80.01,3.8870141232345947,5.236845394325706,29.506607929515415,False,0.3259,6.2669,1,1,1,100.0,9.326908129954921,9.326908129954921,4.112985876765405,3.8870141232345947,历史1/1次成功; 当前距低点3.89%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
51,71.42318322505156,72.15112836730513,300509,新美星,bottom_area,2025-04-02,7.85,2025-03-31,7.51,4.527296937416776,6.39147802929428,30.783410138248847,False,0.7702,2.0485,1,1,1,100.0,18.028846153846153,18.028846153846153,3.472703062583224,4.527296937416776,历史1/1次成功; 当前距低点4.53%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
52,68.8035545860722,68.21109252528119,600960,渤海汽车,bottom_area,2025-04-02,3.5,2025-03-31,3.38,3.550295857988169,5.917159763313615,30.737704918032787,False,1.7442,2.8339,2,4,2,50.0,43.20304882523773,69.9604743083004,4.449704142011831,3.550295857988169,历史2/4次成功; 当前距低点3.55%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
53,54.15580632406185,55.117468126593685,300451,创业慧康,confirmed_rebound,2025-04-02,6.19,2025-03-31,5.9,4.915254237288136,8.3050847457627,27.60736196319018,True,0.1618,3.6911,1,2,1,50.0,23.89380530973452,23.89380530973452,3.084745762711864,4.915254237288136,历史1/2次成功; 当前距低点4.92%; 最新日涨幅0.16%; 状态confirmed_rebound; 底部已确认
54,52.91612320998409,52.594554780326106,000779,甘咨询,confirmed_rebound,2025-04-02,9.29,2025-03-31,8.96,3.683035714285695,10.491071428571422,31.81126331811263,True,-1.065,3.7362,1,2,1,50.0,17.69825918762089,17.69825918762089,4.316964285714305,3.683035714285695,历史1/2次成功; 当前距低点3.68%; 最新日涨幅-1.06%; 状态confirmed_rebound; 底部已确认
