rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
22,79.40380104004333,69.8429786568362,601216,君正集团,bottom_area,2025-01-13,4.92,2025-01-13,4.89,0.6134969325153425,2.249488752556244,32.45856353591161,False,-1.2048,0.8081,1,1,1,100.0,19.955654101995574,19.955654101995574,14.386503067484657,0.6134969325153425,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
23,79.31247986921478,72.00382131471376,600325,华发股份,bottom_area,2025-01-13,5.32,2025-01-13,5.2,2.3076923076923097,2.8846153846153744,29.539295392953925,False,0.3774,0.8727,2,3,2,66.66666666666666,28.917704890244938,32.553606237816766,12.692307692307688,2.3076923076923097,历史2/3次成功; 当前距低点2.31%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
24,79.12066667637325,71.87906559569174,605266,健之佳,bottom_area,2025-01-13,20.08,2025-01-13,19.62,2.344546381243615,3.211009174311921,31.35059482155353,False,-0.5941,1.436,4,6,4,66.66666666666666,34.50518644226089,55.413271245634455,12.655453618756384,2.344546381243615,历史4/6次成功; 当前距低点2.34%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
25,79.09594331084264,75.50067316034979,300559,佳发教育,bottom_area,2025-01-13,10.5,2025-01-13,10.0,5.0,5.299999999999994,28.315412186379923,False,0.6711,0.9738,2,2,2,100.0,25.164909464246165,29.09783989834816,10.0,5.0,历史2/2次成功; 当前距低点5.00%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
26,78.33196917706475,72.07813131313131,000839,国安股份,bottom_area,2025-01-13,2.72,2025-01-13,2.64,3.030303030303033,3.4090909090909034,30.526315789473678,False,-0.7299,0.8742,1,1,1,100.0,21.75925925925925,21.75925925925925,11.969696969696967,3.030303030303033,历史1/1次成功; 当前距低点3.03%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
27,78.16688858105108,73.10336184432384,603103,横店影视,bottom_area,2025-01-13,12.25,2025-01-13,11.79,3.9016115351993292,4.74978795589483,27.356746765249547,False,-0.6488,0.638,1,1,1,100.0,37.951807228915676,37.951807228915676,11.09838846480067,3.9016115351993292,历史1/1次成功; 当前距低点3.90%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
28,78.13980372412038,71.18027482890552,002047,宝鹰股份,bottom_area,2025-01-13,2.47,2025-01-13,2.41,2.4896265560165993,4.979253112033181,28.27380952380952,False,-3.1373,1.9165,1,1,1,100.0,20.51948051948051,20.51948051948051,12.510373443983399,2.4896265560165993,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
29,77.25848092916321,71.68174792804483,000155,川能动力,bottom_area,2025-01-13,10.72,2025-01-13,10.36,3.4749034749034866,3.4749034749034866,28.05555555555556,False,0.9416,0.9002,2,3,2,66.66666666666666,41.493877334183324,45.280898876404486,11.525096525096512,3.4749034749034866,历史2/3次成功; 当前距低点3.47%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
30,77.01795102672894,72.77745151826473,000036,华联控股,bottom_area,2025-01-13,3.75,2025-01-13,3.59,4.456824512534823,5.013927576601676,31.09404990403071,False,0.8065,0.8113,1,1,1,100.0,20.532319391634985,20.532319391634985,10.543175487465177,4.456824512534823,历史1/1次成功; 当前距低点4.46%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
31,76.95608387405026,72.54331103678932,600117,西宁特钢,bottom_area,2025-01-13,2.17,2025-01-13,2.08,4.3269230769230695,5.288461538461532,27.526132404181187,False,1.8779,0.2898,1,1,1,100.0,17.681159420289838,17.681159420289838,10.67307692307693,4.3269230769230695,历史1/1次成功; 当前距低点4.33%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
