rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
36,66.81616358454558,59.28662636841913,300056,中创环保,bottom_area,2025-12-18,8.74,2025-12-17,8.45,3.4319526627219052,6.9822485207100575,29.34782608695653,False,0.8074,6.953,1,2,1,50.0,27.10472279260781,27.10472279260781,16.568047337278095,3.4319526627219052,历史1/2次成功; 当前距低点3.43%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
37,66.6137359633817,57.50045612474315,603353,和顺石油,bottom_area,2025-12-18,26.5,2025-12-17,26.0,1.9230769230769231,4.500000000000007,31.57894736842105,False,-0.6747,3.5696,2,6,2,33.33333333333333,24.256656860350496,27.079174983366617,18.07692307692308,1.9230769230769231,历史2/6次成功; 当前距低点1.92%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
38,66.23700928703855,56.70601105629489,002129,TCL中环,bottom_area,2025-12-18,8.27,2025-12-16,8.15,1.4723926380368002,3.067484662576687,29.253472222222214,False,-1.1947,1.3028,1,3,1,33.33333333333333,31.12759643916912,31.12759643916912,18.5276073619632,1.4723926380368002,历史1/3次成功; 当前距低点1.47%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
39,65.64996081809069,56.36430317898815,600383,金地集团,bottom_area,2025-12-18,3.12,2025-12-15,3.07,1.6286644951140152,3.583061889250825,32.675438596491226,False,-0.6369,1.2783,1,4,1,25.0,32.594936708860764,32.594936708860764,18.371335504885984,1.6286644951140152,历史1/4次成功; 当前距低点1.63%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
40,64.78196637574642,57.67755627009645,000819,岳阳兴长,bottom_area,2025-12-18,15.75,2025-12-17,15.2,3.618421052631584,5.0657894736842195,27.028324531925108,False,0.5747,1.5591,1,2,1,50.0,20.739549839228296,20.739549839228296,16.381578947368418,3.618421052631584,历史1/2次成功; 当前距低点3.62%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
41,64.38254932296356,57.28545701793575,300609,汇纳科技,bottom_area,2025-12-18,36.71,2025-12-17,35.44,3.583521444695269,5.361173814898437,28.20097244732577,False,0.0,2.8955,1,5,1,20.0,49.87035436473638,49.87035436473638,16.41647855530473,3.583521444695269,历史1/5次成功; 当前距低点3.58%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
42,63.67158265582855,55.29833342985657,000701,厦门信达,bottom_area,2025-12-18,6.34,2025-12-17,6.2,2.2580645161290267,4.5161290322580685,28.32369942196532,False,0.158,5.5053,1,6,1,16.666666666666664,30.161579892280066,30.161579892280066,17.741935483870975,2.2580645161290267,历史1/6次成功; 当前距低点2.26%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
43,63.609486443881806,53.08874371165513,002632,道明光学,bottom_area,2025-12-18,12.04,2025-12-18,12.03,0.08312551953449532,2.4937655860349186,27.223230490018157,False,-3.2932,6.1504,1,2,1,50.0,25.259515570934255,25.259515570934255,19.916874480465506,0.08312551953449532,历史1/2次成功; 当前距低点0.08%; 最新日涨幅-3.29%; 状态bottom_area; 底部未确认
44,63.512905450998346,56.7695903730294,603032,德新科技,bottom_area,2025-12-18,18.42,2025-12-16,17.74,3.833145434047369,6.8207440811724975,28.869286287089025,False,-2.1254,2.9521,2,5,2,40.0,29.296569691706477,33.061224489795926,16.166854565952633,3.833145434047369,历史2/5次成功; 当前距低点3.83%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
45,60.807485407195315,53.83884671765495,603197,保隆科技,bottom_area,2025-12-18,35.23,2025-11-21,34.1,3.3137829912023324,6.334310850439873,27.431368376250266,False,-0.7046,1.4134,2,6,2,33.33333333333333,21.617949485284576,23.07435811937312,16.68621700879767,3.3137829912023324,历史2/6次成功; 当前距低点3.31%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
46,60.33538991961274,53.59028452395054,603767,中马传动,bottom_area,2025-12-18,22.85,2025-11-21,22.08,3.487318840579724,9.601449275362324,27.725040916530286,True,-0.9536,1.9252,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,16.51268115942028,3.487318840579724,历史1/3次成功; 当前距低点3.49%; 最新日涨幅-0.95%; 状态bottom_area; 底部已确认
47,59.64044227117575,51.409352786110375,002459,晶澳科技,bottom_area,2025-12-18,11.03,2025-12-16,10.83,1.84672206832871,3.8781163434903037,29.215686274509807,False,-1.1649,0.8103,1,6,1,16.666666666666664,26.683937823834192,26.683937823834192,18.15327793167129,1.84672206832871,历史1/6次成功; 当前距低点1.85%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
48,58.69154677786665,52.25281168831166,002605,姚记科技,bottom_area,2025-12-18,23.21,2025-12-17,22.4,3.6160714285714386,4.776785714285716,27.71861890932559,False,1.709,1.629,1,5,1,20.0,23.2121212121212,23.2121212121212,16.383928571428562,3.6160714285714386,历史1/5次成功; 当前距低点3.62%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
49,58.0259969031269,49.1040634399781,002163,海南发展,bottom_area,2025-12-18,13.22,2025-12-18,13.11,0.8390541571319696,10.60259344012205,30.708245243128975,False,-5.6388,13.6688,1,3,1,33.33333333333333,32.54716981132074,32.54716981132074,19.16094584286803,0.8390541571319696,历史1/3次成功; 当前距低点0.84%; 最新日涨幅-5.64%; 状态bottom_area; 底部未确认
