rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
13,82.98662445933614,77.61194699314424,300762,上海瀚讯,bottom_area,2023-05-11,11.61,2023-05-10,11.44,1.4860139860139854,3.1468531468531578,27.50316856780735,False,-1.2755,0.9504,1,1,1,100.0,32.580961727183514,32.580961727183514,8.513986013986015,1.4860139860139854,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
14,82.77452507007163,75.4089068825911,000935,四川双马,bottom_area,2023-05-11,18.07,2023-05-11,18.05,0.11080332409972062,2.216066481994452,32.949479940564636,False,-1.6866,0.4111,1,1,1,100.0,43.71794871794874,43.71794871794874,9.88919667590028,0.11080332409972062,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
15,82.46060761531487,80.6458935392736,002245,蔚蓝锂芯,bottom_area,2023-05-11,11.11,2023-04-26,10.7,3.831775700934581,8.317757009345799,29.512516469038214,False,1.184,1.7487,3,3,3,100.0,21.840549125830286,25.653923541247494,6.16822429906542,3.831775700934581,历史3/3次成功; 当前距低点3.83%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
16,80.89278461232108,74.46076520546745,688010,福光股份,bottom_area,2023-05-11,23.13,2023-05-10,22.98,0.6527415143603071,3.829416884247167,30.907997594708352,False,-1.4906,1.0394,2,2,2,100.0,28.59685945273632,42.08955223880597,9.347258485639694,0.6527415143603071,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
17,80.5928836108304,78.15218827415357,002079,苏州固锝,bottom_area,2023-05-11,12.52,2023-05-10,12.11,3.3856317093311326,4.128819157720892,28.512396694214885,False,0.9677,1.5788,2,2,2,100.0,19.631336405529957,22.488479262672804,6.6143682906688674,3.3856317093311326,历史2/2次成功; 当前距低点3.39%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
18,80.5304979389167,76.40358876476168,000059,华锦股份,bottom_area,2023-05-11,6.85,2023-04-25,6.7,2.2388059701492455,5.970149253731335,29.916317991631804,False,-1.1544,0.7109,2,2,2,100.0,18.645518154311638,25.41603630862328,7.7611940298507545,2.2388059701492455,历史2/2次成功; 当前距低点2.24%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
19,80.51081150937085,77.77643924700355,300661,圣邦股份,bottom_area,2023-05-11,123.39,2023-04-25,119.58,3.186151530356249,6.790433182806494,30.20079383609619,False,0.3987,0.4884,1,1,1,100.0,31.832606108687024,31.832606108687024,6.813848469643752,3.186151530356249,历史1/1次成功; 当前距低点3.19%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
20,80.08281881058748,74.68056908224504,688289,圣湘生物,confirmed_rebound,2023-05-11,18.22,2023-04-26,17.98,1.334816462736365,12.45828698553948,27.058823529411757,False,-1.032,1.0063,1,1,1,100.0,25.182530200451346,25.182530200451346,8.665183537263635,1.334816462736365,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-1.03%; 状态confirmed_rebound; 底部未确认
21,79.73819813038075,73.4047964826407,300454,深信服,bottom_area,2023-05-11,114.8,2023-05-10,114.05,0.657606313020605,5.164401578255152,31.910447761194032,False,-0.2173,0.9051,2,2,2,100.0,22.979241270579003,29.49391262831224,9.342393686979396,0.657606313020605,历史2/2次成功; 当前距低点0.66%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
22,79.70839753019268,73.01978520537989,688048,长光华芯,bottom_area,2023-05-11,85.0,2023-05-10,84.66,0.4016064257028153,3.543586109142452,28.857142857142858,False,-1.3234,1.1447,2,2,2,100.0,17.771225032162963,19.48504983388705,9.598393574297186,0.4016064257028153,历史2/2次成功; 当前距低点0.40%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
23,79.46084351242291,76.31564208885426,001309,德明利,bottom_area,2023-05-11,64.3,2023-05-10,62.5,2.8799999999999955,4.783999999999992,27.325581395348834,False,1.5477,6.0296,1,1,1,100.0,20.226032735775533,20.226032735775533,7.120000000000005,2.8799999999999955,历史1/1次成功; 当前距低点2.88%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
24,78.54825047436974,75.86163164626349,300353,东土科技,bottom_area,2023-05-11,10.73,2023-05-10,10.4,3.173076923076924,4.038461538461537,32.90322580645161,False,1.6098,2.5106,1,1,1,100.0,21.377672209026137,21.377672209026137,6.8269230769230775,3.173076923076924,历史1/1次成功; 当前距低点3.17%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
25,78.31490845598526,73.71891538637928,600114,东睦股份,bottom_area,2023-05-11,7.25,2023-05-10,7.12,1.825842696629212,3.089887640449435,27.04918032786885,False,-0.1377,0.9154,1,1,1,100.0,15.816326530612232,15.816326530612232,8.174157303370787,1.825842696629212,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
26,76.75120051855549,74.99029481045572,688182,灿勤科技,bottom_area,2023-05-11,17.29,2023-05-11,16.66,3.781512605042011,6.842737094837939,28.772979905942712,False,2.4289,3.4118,1,1,1,100.0,24.15130940834142,24.15130940834142,6.2184873949579895,3.781512605042011,历史1/1次成功; 当前距低点3.78%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
27,76.32303135998914,73.78174543501615,603363,傲农生物,bottom_area,2023-05-11,9.61,2023-04-25,9.31,3.222341568206218,9.559613319011802,29.576399394856278,True,-0.2077,1.1653,1,1,1,100.0,24.078947368421055,24.078947368421055,6.777658431793782,3.222341568206218,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-0.21%; 状态bottom_area; 底部已确认
28,76.05202382390922,74.16498572556642,002383,合众思壮,bottom_area,2023-05-11,6.76,2023-04-28,6.52,3.680981595092028,5.828220858895718,28.50877192982456,False,0.7452,0.9072,1,1,1,100.0,18.48184818481848,18.48184818481848,6.319018404907972,3.680981595092028,历史1/1次成功; 当前距低点3.68%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
