rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
37,60.53369659361948,51.286513269927916,603155,新亚强,bottom_area,2023-08-25,22.34,2023-08-25,22.14,0.9033423667569977,4.245709123757893,27.147087857847975,False,-3.29,0.9319,1,2,1,50.0,25.624375624375624,25.624375624375624,19.096657633243,0.9033423667569977,历史1/2次成功; 当前距低点0.90%; 最新日涨幅-3.29%; 状态bottom_area; 底部未确认
38,60.50110253528162,51.02904458598725,002425,凯撒文化,bottom_area,2023-08-25,4.59,2023-08-25,4.56,0.6578947368421107,4.166666666666676,27.04000000000001,False,-3.5714,1.9451,1,2,1,50.0,21.231422505307858,21.231422505307858,19.34210526315789,0.6578947368421107,历史1/2次成功; 当前距低点0.66%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
39,58.241549210682756,48.96517342914257,302132,中航成飞,bottom_area,2023-08-25,41.7,2023-08-25,41.5,0.4819277108433803,4.048192771084336,32.02293202293202,False,-3.7174,2.2108,1,4,1,25.0,28.81165919282512,28.81165919282512,19.51807228915662,0.4819277108433803,历史1/4次成功; 当前距低点0.48%; 最新日涨幅-3.72%; 状态bottom_area; 底部未确认
40,58.03988722616568,48.76008770294862,002845,同兴达,bottom_area,2023-08-25,13.63,2023-08-25,13.57,0.44215180545320926,5.084745762711861,29.322916666666664,False,-3.7429,3.2249,1,3,1,33.33333333333333,25.83258325832584,25.83258325832584,19.557848194546793,0.44215180545320926,历史1/3次成功; 当前距低点0.44%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
41,57.50698020859015,48.29653634345355,688173,希荻微,bottom_area,2023-08-25,16.57,2023-08-25,16.5,0.4242424242424259,4.060606060606071,31.25,False,-3.9977,1.5059,1,3,1,33.33333333333333,23.120837297811605,23.120837297811605,19.575757575757574,0.4242424242424259,历史1/3次成功; 当前距低点0.42%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
42,57.328806388918444,48.26340191430645,603005,晶方科技,bottom_area,2023-08-25,18.08,2023-08-25,17.98,0.5561735261401438,3.503893214682975,30.256012412723045,False,-3.8298,2.3892,1,3,1,33.33333333333333,24.55991516436903,24.55991516436903,19.443826473859858,0.5561735261401438,历史1/3次成功; 当前距低点0.56%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
43,57.21891118716624,48.199181344854324,688117,圣诺生物,bottom_area,2023-08-25,23.94,2023-08-25,23.8,0.5882352941176494,4.411764705882356,32.13572854291417,False,-4.5074,7.9114,1,3,1,33.33333333333333,24.6076585059636,24.6076585059636,19.41176470588235,0.5882352941176494,历史1/3次成功; 当前距低点0.59%; 最新日涨幅-4.51%; 状态bottom_area; 底部未确认
44,56.971200002259884,47.76914398168717,300521,爱司凯,bottom_area,2023-08-25,11.95,2023-08-25,11.91,0.3358522250209836,4.785894206549121,29.5266272189349,False,-3.2389,1.3389,1,4,1,25.0,20.590790616854918,20.590790616854918,19.664147774979018,0.3358522250209836,历史1/4次成功; 当前距低点0.34%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
45,56.96070353271964,47.97376326498109,001266,宏英智能,bottom_area,2023-08-25,24.31,2023-08-25,24.17,0.5792304509722673,4.261481175010333,31.37421919363997,False,-3.4551,3.7516,1,3,1,33.33333333333333,23.285351397121083,23.285351397121083,19.42076954902773,0.5792304509722673,历史1/3次成功; 当前距低点0.58%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
46,56.88953838529126,48.01692580722975,002838,道恩股份,bottom_area,2023-08-25,13.01,2023-08-25,12.92,0.696594427244581,4.643962848297211,29.629629629629626,False,-3.7722,1.3789,1,3,1,33.33333333333333,24.95606326889279,24.95606326889279,19.30340557275542,0.696594427244581,历史1/3次成功; 当前距低点0.70%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
