rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
24,70.36287423828729,60.96002768091855,603313,梦百合,bottom_area,2026-05-25,5.77,8.27,2026-05-22,5.65,2.1238938053097205,6.017699115044245,31.680773881499384,30.22974607013301,False,-1.0292,1.3468,2,5,2,40.0,30.87368579045548,36.22250970245794,17.87610619469028,2.1238938053097205,历史2/5次成功; 当前距低点2.12%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
25,70.19979310344827,58.4998275862069,600636,退市国化,bottom_area,2026-05-25,4.51,6.3,2026-04-29,4.51,0.0,2.660753880266078,28.41269841269841,28.41269841269841,False,0.0,0.0,1,2,1,50.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
26,69.80793501106858,59.824649681528655,002320,海峡股份,bottom_area,2026-05-25,7.97,11.0,2026-05-22,7.85,1.528662420382167,3.439490445859867,28.636363636363637,27.545454545454547,False,0.5044,0.7627,1,3,1,33.33333333333333,26.111111111111097,26.111111111111097,18.471337579617835,1.528662420382167,历史1/3次成功; 当前距低点1.53%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
27,69.25706528579684,59.97513866416667,688543,国科军工,bottom_area,2026-05-25,47.66,66.3,2026-05-25,46.68,2.099400171379599,2.763496143958867,29.59276018099547,28.114630467571644,False,0.4849,3.0115,1,3,1,33.33333333333333,33.916331836445266,33.916331836445266,17.9005998286204,2.099400171379599,历史1/3次成功; 当前距低点2.10%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
28,69.17765494570452,58.173421516064685,300072,海新能科,bottom_area,2026-05-25,4.06,5.92,2026-05-25,4.04,0.4950495049504845,2.970297029702973,31.756756756756754,31.418918918918926,False,-1.6949,1.2227,1,2,1,50.0,47.4308300395257,47.4308300395257,19.504950495049517,0.4950495049504845,历史1/2次成功; 当前距低点0.50%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
29,69.17606129424288,59.9541120049343,603113,金能科技,bottom_area,2026-05-25,5.24,7.5,2026-05-22,5.13,2.1442495126705716,4.873294346978558,31.6,30.13333333333333,False,-0.5693,0.8284,2,5,2,40.0,25.71505856894199,31.03448275862069,17.85575048732943,2.1442495126705716,历史2/5次成功; 当前距低点2.14%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
30,68.60181912960304,58.60456910569104,600815,厦工股份,bottom_area,2026-05-25,3.74,5.11,2026-05-25,3.69,1.3550135501355085,10.29810298102982,27.788649706457928,26.810176125244617,False,-3.856,4.391,1,2,1,50.0,30.666666666666664,30.666666666666664,18.644986449864493,1.3550135501355085,历史1/2次成功; 当前距低点1.36%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
31,66.66952644226973,56.46279112374635,002676,顺威股份,bottom_area,2026-05-25,5.72,8.23,2026-05-25,5.67,0.8818342151675453,3.5273368606701974,31.105710814094778,30.498177399756994,False,-2.2222,1.8975,2,5,2,40.0,31.308457711442777,39.33333333333333,19.118165784832456,0.8818342151675453,历史2/5次成功; 当前距低点0.88%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
32,66.12808616511728,59.154645804355034,000978,桂林旅游,bottom_area,2026-05-25,6.43,8.66,2026-05-18,6.19,3.877221324717275,6.623586429725351,28.52193995381062,25.750577367205548,False,1.4196,1.9931,1,2,1,50.0,31.85328185328186,31.85328185328186,16.122778675282724,3.877221324717275,历史1/2次成功; 当前距低点3.88%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
33,65.94181158574249,58.026110907087755,002379,宏桥控股,bottom_area,2026-05-25,20.76,29.92,2026-05-20,20.16,2.9761904761904834,7.4900793650793736,32.62032085561498,30.614973262032088,True,-0.8596,2.105,1,2,1,50.0,28.020565552699235,28.020565552699235,17.02380952380952,2.9761904761904834,历史1/2次成功; 当前距低点2.98%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
34,65.4016562570163,56.33181384181382,600158,中体产业,bottom_area,2026-05-25,10.72,14.89,2026-05-25,10.53,1.80436847103515,9.591642924976258,29.281396910678314,28.005372733378103,False,-8.1405,12.0257,1,2,1,50.0,23.955773955773946,23.955773955773946,18.19563152896485,1.80436847103515,历史1/2次成功; 当前距低点1.80%; 最新日涨幅-8.14%; 状态bottom_area; 底部未确认
35,64.88375903829917,55.847347887119426,002629,仁智股份,bottom_area,2026-05-25,5.76,8.04,2026-05-25,5.66,1.7667844522968137,9.187279151943455,29.601990049751237,28.358208955223873,False,-7.0968,15.2421,1,2,1,50.0,20.890410958904106,20.890410958904106,18.23321554770319,1.7667844522968137,历史1/2次成功; 当前距低点1.77%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
36,63.48913724949313,54.81675936250685,603017,中衡设计,bottom_area,2026-05-25,13.16,17.8,2026-05-25,12.91,1.9364833462432223,7.591014717273435,27.471910112359556,26.06741573033708,False,-4.7067,4.8603,1,3,1,33.33333333333333,36.87423687423689,36.87423687423689,18.06351665375678,1.9364833462432223,历史1/3次成功; 当前距低点1.94%; 最新日涨幅-4.71%; 状态bottom_area; 底部未确认
37,62.993936738537236,55.70984126984128,000889,中嘉博创,bottom_area,2026-05-25,4.13,5.85,2026-05-22,4.0,3.2499999999999973,7.250000000000001,31.623931623931618,29.401709401709397,True,-2.3641,8.8764,2,7,2,28.57142857142857,32.019115890083626,34.408602150537625,16.750000000000004,3.2499999999999973,历史2/7次成功; 当前距低点3.25%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
38,61.49018705612679,54.95715522835598,688377,迪威尔,bottom_area,2026-05-25,32.0,44.95,2026-05-25,30.82,3.828682673588578,11.291369240752749,31.434927697441605,28.80978865406007,False,-4.5631,2.1071,1,2,1,50.0,41.37931034482759,41.37931034482759,16.171317326411422,3.828682673588578,历史1/2次成功; 当前距低点3.83%; 最新日涨幅-4.56%; 状态bottom_area; 底部未确认
