rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
25,75.57580145847032,71.86564822984572,603938,三孚股份,bottom_area,2025-11-27,18.14,2025-11-21,17.31,4.794916233391114,8.08781051415368,27.45180217937972,False,2.1972,3.4406,1,1,1,100.0,19.774501300954046,19.774501300954046,10.205083766608885,4.794916233391114,历史1/1次成功; 当前距低点4.79%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
26,72.26658670698986,64.13147079521464,600104,上汽集团,bottom_area,2025-11-27,14.86,2025-11-21,14.7,1.0884353741496609,2.1768707482993217,28.74454677653902,False,0.0,0.2592,1,2,1,50.0,24.425287356321842,24.425287356321842,13.911564625850339,1.0884353741496609,历史1/2次成功; 当前距低点1.09%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
27,71.73222932159545,62.8973178264597,688337,普源精电,bottom_area,2025-11-27,36.08,2025-11-21,35.92,0.4454342984409705,5.066815144766148,28.159999999999997,False,-1.1507,1.0625,3,6,3,50.0,38.886602295188766,54.46153846153845,14.55456570155903,0.4454342984409705,历史3/6次成功; 当前距低点0.45%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
28,70.04359051699053,65.12869882098666,002326,永太科技,bottom_area,2025-11-27,24.23,2025-11-25,23.39,3.591278324070115,6.113723813595552,29.12121212121212,False,1.5082,12.8503,2,4,2,50.0,27.133405375626396,29.837587006960554,11.408721675929884,3.591278324070115,历史2/4次成功; 当前距低点3.59%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
29,69.74322515906563,64.20257721488944,002338,奥普光电,bottom_area,2025-11-27,50.29,2025-11-21,48.8,3.0532786885245944,5.389344262295088,30.632551528073915,False,-0.6126,1.0822,2,3,2,66.66666666666666,18.588096548703483,20.995288574793882,11.946721311475406,3.0532786885245944,历史2/3次成功; 当前距低点3.05%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
30,68.91821352948813,60.16847427287376,603366,日出东方,bottom_area,2025-11-27,9.39,2025-11-27,9.37,0.21344717182498774,2.454642475987198,30.07462686567165,False,-1.5723,4.3577,2,4,2,50.0,21.371687229219,25.15964240102172,14.786552828175012,0.21344717182498774,历史2/4次成功; 当前距低点0.21%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
31,68.22397925555391,59.32519935265559,000798,中水渔业,bottom_area,2025-11-27,12.11,2025-11-27,12.11,0.0,4.046242774566476,27.048192771084345,False,-9.9628,23.0068,2,3,2,66.66666666666666,17.250175731123207,17.3015873015873,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态bottom_area; 底部未确认
32,67.70546978929352,60.60143018389488,002374,中锐股份,bottom_area,2025-11-27,3.28,2025-11-24,3.23,1.5479876160990658,8.668730650154794,30.237580993520517,True,-5.4755,8.1887,2,5,2,40.0,22.907752411831932,24.873096446700508,13.452012383900932,1.5479876160990658,历史2/5次成功; 当前距低点1.55%; 最新日涨幅-5.48%; 状态bottom_area; 底部已确认
33,67.65606010151534,62.5309008250332,002309,中利集团,bottom_area,2025-11-27,3.16,2025-11-21,3.06,3.2679738562091534,6.862745098039215,29.49308755760368,False,-0.6289,2.7849,4,8,4,50.0,31.676780737581,55.97014925373133,11.732026143790847,3.2679738562091534,历史4/8次成功; 当前距低点3.27%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
34,66.94201819581555,59.95950048030741,002017,东信和平,bottom_area,2025-11-27,21.15,2025-11-24,20.82,1.5850144092218938,4.514889529298757,27.88361621059924,False,-1.0295,1.5808,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,13.414985590778105,1.5850144092218938,历史1/3次成功; 当前距低点1.59%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
35,64.74549767868437,59.132920411377754,601566,九牧王,bottom_area,2025-11-27,12.88,2025-11-27,12.55,2.6294820717131477,4.1434262948207135,31.830526887561106,False,-1.6794,9.3317,1,2,1,50.0,38.914728682170555,38.914728682170555,12.370517928286851,2.6294820717131477,历史1/2次成功; 当前距低点2.63%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
36,64.52393434582625,56.7842121731283,002213,大为股份,bottom_area,2025-11-27,26.68,2025-11-27,26.51,0.6412674462466923,5.997736703130893,27.64737991266375,False,-3.4033,22.8573,2,4,2,50.0,18.636031992315928,20.248254460822338,14.358732553753306,0.6412674462466923,历史2/4次成功; 当前距低点0.64%; 最新日涨幅-3.40%; 状态bottom_area; 底部未确认
37,63.789182745567935,58.92830895161247,002136,安纳达,bottom_area,2025-11-27,12.42,2025-11-24,12.03,3.2418952618453916,6.733167082294268,30.381944444444454,False,1.4706,5.3631,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,11.758104738154609,3.2418952618453916,历史1/3次成功; 当前距低点3.24%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
38,62.21623565761311,58.23770297414632,603127,昭衍新药,bottom_area,2025-11-27,27.9,2025-11-21,26.84,3.9493293591654197,8.792846497764529,29.33122696155871,True,-1.4483,2.0922,1,2,1,50.0,41.08695652173912,41.08695652173912,11.05067064083458,3.9493293591654197,历史1/2次成功; 当前距低点3.95%; 最新日涨幅-1.45%; 状态bottom_area; 底部已确认
39,60.44859573596804,53.199934573774144,000753,漳州发展,bottom_area,2025-11-27,7.82,2025-11-24,7.77,0.6435006435006526,5.534105534105531,31.360424028268557,False,-2.25,4.4088,1,4,1,25.0,43.344709897610926,43.344709897610926,14.356499356499347,0.6435006435006526,历史1/4次成功; 当前距低点0.64%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
40,60.32121589789877,53.43560449044986,000661,长春高新,bottom_area,2025-11-27,99.66,2025-11-24,98.68,0.9931090393190005,2.452371301175504,30.394300627777387,False,0.1004,0.9846,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,14.006890960680998,0.9931090393190005,历史1/3次成功; 当前距低点0.99%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
