rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
34,86.93096136289999,78.68929327751786,600203,福日电子,bottom_area,2022-10-11,5.7,2022-10-10,5.58,2.1505376344086042,3.5842293906810068,29.6343001261034,False,1.4235,0.9597,1,1,1,100.0,24.045801526717554,24.045801526717554,12.849462365591396,2.1505376344086042,历史1/1次成功; 当前距低点2.15%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
35,86.32404246631276,77.82709677419355,002079,苏州固锝,bottom_area,2022-10-11,11.06,2022-10-11,10.85,1.93548387096775,2.580645161290333,28.193249503639972,False,0.4541,2.3468,1,1,1,100.0,16.774193548387107,16.774193548387107,13.06451612903225,1.93548387096775,历史1/1次成功; 当前距低点1.94%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
36,86.05047347035858,77.8723223381299,688048,长光华芯,bottom_area,2022-10-11,97.51,2022-10-11,95.47,2.136796899549603,5.300094270451453,27.663282315502347,False,1.4778,3.5462,1,1,1,100.0,19.48504983388705,19.48504983388705,12.863203100450397,2.136796899549603,历史1/1次成功; 当前距低点2.14%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
37,85.83539587494396,77.38654806414348,002724,海洋王,bottom_area,2022-10-11,9.48,2022-10-11,9.3,1.9354838709677389,3.2258064516128915,30.906389301634473,False,-0.3155,0.3894,2,2,2,100.0,20.212103709408286,25.204081632653047,13.064516129032262,1.9354838709677389,历史2/2次成功; 当前距低点1.94%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
38,85.72058231736122,77.45232415017969,002394,联发股份,bottom_area,2022-10-11,6.96,2022-10-11,6.82,2.0527859237536608,2.346041055718477,27.36954206602769,False,1.31,2.645,1,1,1,100.0,16.197183098591555,16.197183098591555,12.947214076246338,2.0527859237536608,历史1/1次成功; 当前距低点2.05%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
39,85.67363720988335,78.1130436924015,000902,新洋丰,bottom_area,2022-10-11,12.93,2022-10-11,12.61,2.537668517049963,2.696272799365582,27.528735632183903,False,1.5711,0.4978,1,1,1,100.0,25.693160813308673,25.693160813308673,12.462331482950036,2.537668517049963,历史1/1次成功; 当前距低点2.54%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
40,84.81792656241244,77.00318405311452,603192,汇得科技,bottom_area,2022-10-11,18.17,2022-10-11,17.76,2.308558558558559,2.9842342342342203,32.95583238958096,False,0.5534,0.4077,1,1,1,100.0,16.917728852838945,16.917728852838945,12.69144144144144,2.308558558558559,历史1/1次成功; 当前距低点2.31%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
41,84.49950146241653,75.11597839277788,300576,容大感光,bottom_area,2022-10-11,18.86,2022-10-11,18.64,1.1802575107296076,2.306866952789698,28.637059724349157,False,-0.1059,0.7772,1,1,1,100.0,15.413793103448272,15.413793103448272,13.819742489270393,1.1802575107296076,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
42,84.45005821549879,76.80428835489835,603333,尚纬股份,bottom_area,2022-10-11,5.54,2022-10-10,5.41,2.4029574861367817,4.0665434380776295,28.62796833773087,False,1.2797,1.1046,1,1,1,100.0,17.005545286506468,17.005545286506468,12.597042513863219,2.4029574861367817,历史1/1次成功; 当前距低点2.40%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
43,84.29299922929113,75.65448818007631,688117,圣诺生物,bottom_area,2022-10-11,21.01,2022-10-10,20.66,1.6940948693126883,10.358180058083255,28.462603878116337,False,-2.551,0.5819,1,1,1,100.0,24.6076585059636,24.6076585059636,13.305905130687313,1.6940948693126883,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
