rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
27,79.39061814957185,73.79256174158921,002386,天原股份,bottom_area,2024-07-18,3.77,2024-07-09,3.64,3.5714285714285685,9.340659340659336,27.920792079207917,True,-0.5277,0.3938,3,4,3,75.0,32.58289722820615,48.85290148448042,11.42857142857143,3.5714285714285685,历史3/4次成功; 当前距低点3.57%; 最新日涨幅-0.53%; 状态bottom_area; 底部已确认
28,77.95564717217721,69.44254230465852,002346,柘中股份,bottom_area,2024-07-18,7.06,2024-07-18,6.97,1.291248206599711,1.8651362984218063,29.381965552178315,False,-0.5634,0.2949,2,3,2,66.66666666666666,25.160868543221483,34.89010989010989,13.708751793400289,1.291248206599711,历史2/3次成功; 当前距低点1.29%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
29,77.89806693731559,70.35309701586937,002044,美年健康,bottom_area,2024-07-18,3.52,2024-07-17,3.45,2.028985507246372,3.1884057971014457,29.447852760736186,False,0.0,0.6588,2,3,2,66.66666666666666,16.62643712755071,18.108108108108105,12.971014492753627,2.028985507246372,历史2/3次成功; 当前距低点2.03%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
30,77.7041824975236,69.35197070180523,603113,金能科技,bottom_area,2024-07-18,5.09,2024-07-18,5.02,1.3944223107569778,2.7888446215139555,30.662983425414374,False,-1.3566,0.6573,3,5,3,60.0,23.71641704479105,31.03448275862069,13.60557768924302,1.3944223107569778,历史3/5次成功; 当前距低点1.39%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
31,77.42220210868686,72.7375658975167,002557,洽洽食品,bottom_area,2024-07-18,27.63,2024-07-09,26.53,4.1462495288352725,4.937806257067466,31.001300390117038,False,0.1813,1.0041,1,1,1,100.0,16.510832383124292,16.510832383124292,10.853750471164728,4.1462495288352725,历史1/1次成功; 当前距低点4.15%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
32,76.00554380116918,68.75243211869706,600955,维远股份,bottom_area,2024-07-18,14.01,2024-07-09,13.72,2.113702623906699,7.069970845481041,28.911917098445596,True,-0.3556,0.1796,2,3,2,66.66666666666666,22.33874964805201,25.969084423305596,12.8862973760933,2.113702623906699,历史2/3次成功; 当前距低点2.11%; 最新日涨幅-0.36%; 状态bottom_area; 底部已确认
33,72.9056339013095,69.4429968005688,002191,劲嘉股份,bottom_area,2024-07-18,3.65,2024-07-09,3.48,4.885057471264366,8.62068965517241,27.348643006263053,True,-0.2732,0.6126,1,1,1,100.0,21.134020618556693,21.134020618556693,10.114942528735634,4.885057471264366,历史1/1次成功; 当前距低点4.89%; 最新日涨幅-0.27%; 状态bottom_area; 底部已确认
34,72.58344713721547,69.01032377428307,300568,星源材质,bottom_area,2024-07-18,7.88,2024-07-09,7.52,4.787234042553196,8.909574468085106,27.6923076923077,True,-0.5051,1.4329,1,1,1,100.0,17.608695652173925,17.608695652173925,10.212765957446804,4.787234042553196,历史1/1次成功; 当前距低点4.79%; 最新日涨幅-0.51%; 状态bottom_area; 底部已确认
35,72.58278783031074,67.65124532618793,603229,奥翔药业,bottom_area,2024-07-18,7.25,2024-07-17,6.99,3.7195994277539306,4.864091559370527,32.52895752895753,False,1.683,1.1008,2,4,2,50.0,42.26845172831669,43.052109181141425,11.28040057224607,3.7195994277539306,历史2/4次成功; 当前距低点3.72%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
36,72.5140447326194,67.74668539033648,601515,衢州东峰,bottom_area,2024-07-18,2.97,2024-07-18,2.86,3.8461538461538574,4.195804195804199,31.90476190476191,False,0.3378,0.6145,2,3,2,66.66666666666666,24.888438133874246,34.48275862068966,11.153846153846143,3.8461538461538574,历史2/3次成功; 当前距低点3.85%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
37,69.45192124490656,64.09727272727272,600058,五矿发展,bottom_area,2024-07-18,6.47,2024-07-09,6.27,3.189792663476877,5.263157894736844,28.91156462585035,False,0.3101,0.3456,1,2,1,50.0,99.54954954954954,99.54954954954954,11.810207336523122,3.189792663476877,历史1/2次成功; 当前距低点3.19%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
38,68.60591584925146,62.66114093959734,002833,弘亚数控,bottom_area,2024-07-18,16.38,2024-07-18,15.96,2.6315789473684092,3.132832080200501,28.940338379341053,False,1.1111,0.9643,1,2,1,50.0,35.43624161073825,35.43624161073825,12.36842105263159,2.6315789473684092,历史1/2次成功; 当前距低点2.63%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
39,68.48092376366104,64.90178140667527,605337,李子园,bottom_area,2024-07-18,9.52,2024-07-09,9.1,4.615384615384615,8.35164835164835,31.00833965125095,True,-0.5225,0.3006,2,3,2,66.66666666666666,32.30210571551354,37.98882681564246,10.384615384615383,4.615384615384615,历史2/3次成功; 当前距低点4.62%; 最新日涨幅-0.52%; 状态bottom_area; 底部已确认
40,67.60555143190726,60.9161600270659,600141,兴发集团,bottom_area,2024-07-18,18.19,2024-07-18,17.85,1.904761904761904,2.240896358543409,28.11115585984695,False,0.4417,0.6131,1,3,1,33.33333333333333,36.58969804618119,36.58969804618119,13.095238095238097,1.904761904761904,历史1/3次成功; 当前距低点1.90%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
41,67.50509730538921,62.07365269461078,600186,莲花控股,bottom_area,2024-07-18,3.44,2024-06-24,3.34,2.994011976047907,8.083832335329342,27.074235807860266,True,-0.2899,1.3491,1,2,1,50.0,53.49544072948328,53.49544072948328,12.005988023952092,2.994011976047907,历史1/2次成功; 当前距低点2.99%; 最新日涨幅-0.29%; 状态bottom_area; 底部已确认
42,65.71922043532723,59.65825511714114,603128,华贸物流,bottom_area,2024-07-18,5.33,2024-07-18,5.21,2.303262955854129,2.6871401151631416,28.038674033149174,False,0.7561,1.0713,1,2,1,50.0,15.267175572519085,15.267175572519085,12.69673704414587,2.303262955854129,历史1/2次成功; 当前距低点2.30%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
43,64.69876735449735,57.86242857142857,600287,苏豪时尚,bottom_area,2024-07-18,2.7,2024-07-16,2.66,1.5037593984962419,6.766917293233071,29.066666666666663,False,-3.2258,5.0932,1,2,1,50.0,28.499999999999993,28.499999999999993,13.496240601503755,1.5037593984962419,历史1/2次成功; 当前距低点1.50%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
44,61.17378495537181,55.098546839826845,000923,河钢资源,bottom_area,2024-07-18,15.69,2024-07-18,15.4,1.8831168831168774,2.9220779220779174,30.222020842772995,False,-1.2587,1.6212,1,3,1,33.33333333333333,27.519999999999996,27.519999999999996,13.116883116883121,1.8831168831168774,历史1/3次成功; 当前距低点1.88%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
45,59.72645316572247,55.508043012844176,000697,炼石航空,bottom_area,2024-07-18,5.52,2024-07-18,5.33,3.5647279549718482,3.752345215759853,30.144167758846656,False,1.4706,1.0165,1,3,1,33.33333333333333,27.861771058315338,27.861771058315338,11.435272045028151,3.5647279549718482,历史1/3次成功; 当前距低点3.56%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
46,59.487340297104055,55.96409466153,600293,三峡新材,bottom_area,2024-07-18,2.47,2024-07-09,2.37,4.2194092827004255,8.438818565400833,27.300613496932506,True,-1.2,0.4226,1,2,1,50.0,32.17391304347827,32.17391304347827,10.780590717299573,4.2194092827004255,历史1/2次成功; 当前距低点4.22%; 最新日涨幅-1.20%; 状态bottom_area; 底部已确认
47,59.41264233299598,55.66589912280704,000705,浙江震元,bottom_area,2024-07-18,7.02,2024-07-09,6.75,3.999999999999994,6.518518518518525,30.555555555555557,False,0.7174,1.6228,1,3,1,33.33333333333333,34.04605263157895,34.04605263157895,11.000000000000005,3.999999999999994,历史1/3次成功; 当前距低点4.00%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
48,58.534436523160544,55.16246119228613,605123,派克新材,bottom_area,2024-07-18,49.11,2024-07-09,47.08,4.311809685641464,5.947323704333059,31.649245063879206,False,2.3125,0.9254,1,2,1,50.0,15.71713589004656,15.71713589004656,10.688190314358536,4.311809685641464,历史1/2次成功; 当前距低点4.31%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
49,58.39138379735037,54.366710362395644,603060,国检集团,bottom_area,2024-07-18,5.66,2024-07-09,5.46,3.663003663003666,9.157509157509157,31.835205992509362,True,-0.3521,0.1445,1,3,1,33.33333333333333,36.2098138747885,36.2098138747885,11.336996336996332,3.663003663003666,历史1/3次成功; 当前距低点3.66%; 最新日涨幅-0.35%; 状态bottom_area; 底部已确认
50,54.213747227322095,50.93757757030923,603320,迪贝电气,bottom_area,2024-07-18,13.55,2024-07-18,13.01,4.150653343581867,6.072252113758654,28.516483516483515,False,-4.2403,7.6809,1,2,1,50.0,23.71541501976285,23.71541501976285,10.849346656418133,4.150653343581867,历史1/2次成功; 当前距低点4.15%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
