rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
51,67.25098765432098,67.25098765432098,002310,东方新能,confirmed_rebound,2024-02-07,1.3,2024-02-06,1.25,4.0000000000000036,14.399999999999997,32.795698924731184,True,-5.7971,2.2585,1,1,1,100.0,18.93004115226337,18.93004115226337,3.9999999999999964,4.0000000000000036,历史1/1次成功; 当前距低点4.00%; 最新日涨幅-5.80%; 状态confirmed_rebound; 底部已确认
52,67.23441025727924,67.43271706384706,603266,天龙股份,confirmed_rebound,2024-02-07,16.05,2024-02-07,15.41,4.153147306943547,13.562621674237507,32.44191144234984,False,-4.0072,6.2282,2,2,2,100.0,14.31125227784056,18.549511854951188,3.8468526930564533,4.153147306943547,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-4.01%; 状态confirmed_rebound; 底部未确认
53,66.68758324478713,66.47486368100792,002062,宏润建设,confirmed_rebound,2024-02-07,3.25,2024-02-06,3.13,3.833865814696489,12.460063897763582,30.289532293986642,True,-3.5608,1.9252,1,1,1,100.0,12.720848056537099,12.720848056537099,4.166134185303512,3.833865814696489,历史1/1次成功; 当前距低点3.83%; 最新日涨幅-3.56%; 状态confirmed_rebound; 底部已确认
54,66.59018967567215,67.06979491303913,002083,孚日股份,confirmed_rebound,2024-02-07,3.58,2024-02-06,3.43,4.373177842565594,11.953352769679292,29.4238683127572,True,-2.981,3.6802,1,1,1,100.0,12.315270935960593,12.315270935960593,3.626822157434406,4.373177842565594,历史1/1次成功; 当前距低点4.37%; 最新日涨幅-2.98%; 状态confirmed_rebound; 底部已确认
55,65.50372045909124,66.63427172726762,002732,燕塘乳业,confirmed_rebound,2024-02-07,15.23,2024-02-06,14.52,4.889807162534441,10.6060606060606,27.290936404606907,True,-3.4854,3.836,2,2,2,100.0,9.855011063688924,11.258629845990448,3.110192837465559,4.889807162534441,历史2/2次成功; 当前距低点4.89%; 最新日涨幅-3.49%; 状态confirmed_rebound; 底部已确认
56,64.50622809622814,65.57981267437229,000407,胜利股份,confirmed_rebound,2024-02-07,2.59,2024-02-06,2.47,4.858299595141687,13.765182186234812,31.197771587743723,True,-5.1282,2.9746,1,1,1,100.0,20.466321243523332,20.466321243523332,3.1417004048583137,4.858299595141687,历史1/1次成功; 当前距低点4.86%; 最新日涨幅-5.13%; 状态confirmed_rebound; 底部已确认
57,64.45178141780954,65.49977786362759,601121,宝地矿业,confirmed_rebound,2024-02-07,5.2,2024-02-06,4.96,4.8387096774193585,9.475806451612899,27.591240875912405,True,-1.3283,4.3822,1,1,1,100.0,9.580838323353301,9.580838323353301,3.1612903225806415,4.8387096774193585,历史1/1次成功; 当前距低点4.84%; 最新日涨幅-1.33%; 状态confirmed_rebound; 底部已确认
58,62.55327250519006,63.667452931491155,002470,金正大,confirmed_rebound,2024-02-07,1.28,2024-02-06,1.22,4.9180327868852505,12.295081967213125,27.38095238095238,True,-3.7594,1.0738,1,1,1,100.0,10.91703056768559,10.91703056768559,3.0819672131147495,4.9180327868852505,历史1/1次成功; 当前距低点4.92%; 最新日涨幅-3.76%; 状态confirmed_rebound; 底部已确认
59,62.465237478184164,63.59656131349411,603231,索宝蛋白,confirmed_rebound,2024-02-07,15.74,2024-02-06,15.0,4.9333333333333345,11.733333333333345,30.491195551436512,True,-3.9658,12.8841,1,1,1,100.0,10.723447922011289,10.723447922011289,3.0666666666666655,4.9333333333333345,历史1/1次成功; 当前距低点4.93%; 最新日涨幅-3.97%; 状态confirmed_rebound; 底部已确认
60,57.99600000000001,53.7,002021,中捷资源,confirmed_rebound,2024-02-07,1.55,2024-02-07,1.55,0.0,10.322580645161285,30.180180180180184,False,-4.908,5.1312,1,2,1,50.0,50.76923076923077,50.76923076923077,8.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.91%; 状态confirmed_rebound; 底部未确认
61,55.634591245180665,53.55845925044618,603059,倍加洁,confirmed_rebound,2024-02-07,17.15,2024-02-07,16.81,2.022605591909577,8.268887566924455,32.54414125200643,False,-6.3865,2.1691,1,2,1,50.0,21.935483870967733,21.935483870967733,5.977394408090424,2.022605591909577,历史1/2次成功; 当前距低点2.02%; 最新日涨幅-6.39%; 状态confirmed_rebound; 底部未确认
62,55.34262209454169,55.54571428571431,300698,万马科技,confirmed_rebound,2024-02-07,21.88,2024-02-06,21.0,4.190476190476185,14.190476190476192,32.69230769230769,True,-4.7453,2.1478,1,2,1,50.0,63.86182462356068,63.86182462356068,3.8095238095238146,4.190476190476185,历史1/2次成功; 当前距低点4.19%; 最新日涨幅-4.75%; 状态confirmed_rebound; 底部已确认
63,54.923338570719636,54.797774554306265,603313,梦百合,confirmed_rebound,2024-02-07,8.03,2024-02-07,7.73,3.8809831824061956,11.642949547218633,32.19298245614035,False,-6.5192,2.4638,2,4,2,50.0,18.0452484418946,25.52486187845302,4.1190168175938044,3.8809831824061956,历史2/4次成功; 当前距低点3.88%; 最新日涨幅-6.52%; 状态confirmed_rebound; 底部未确认
64,51.42059214977655,49.83510465047196,600960,渤海汽车,confirmed_rebound,2024-02-07,2.59,2024-02-06,2.53,2.371541501976287,13.833992094861664,32.53333333333334,True,-5.1282,2.2526,1,3,1,33.33333333333333,16.445623342175058,16.445623342175058,5.628458498023713,2.371541501976287,历史1/3次成功; 当前距低点2.37%; 最新日涨幅-5.13%; 状态confirmed_rebound; 底部已确认
65,50.67775047407786,50.09449067652953,002238,天威视讯,confirmed_rebound,2024-02-07,8.52,2024-02-06,8.24,3.3980582524271767,15.169902912621358,30.228619813717188,True,-4.9107,4.8058,1,2,1,50.0,10.978835978835992,10.978835978835992,4.601941747572823,3.3980582524271767,历史1/2次成功; 当前距低点3.40%; 最新日涨幅-4.91%; 状态confirmed_rebound; 底部已确认
