rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
45,74.39753369047727,70.61244087982391,688331,荣昌生物,bottom_area,2025-01-07,27.61,2025-01-06,27.0,2.259259259259257,7.74074074074074,32.27990970654627,False,0.4731,2.2969,2,3,2,66.66666666666666,20.843469485313637,26.761565836298917,7.740740740740744,2.259259259259257,历史2/3次成功; 当前距低点2.26%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
46,74.31130586974305,71.86861996522747,002277,友阿股份,confirmed_rebound,2025-01-07,5.09,2025-01-06,4.93,3.245436105476676,10.750507099391486,31.527777777777782,False,3.2454,8.4995,1,1,1,100.0,11.011904761904766,11.011904761904766,6.754563894523324,3.245436105476676,历史1/1次成功; 当前距低点3.25%; 最新日涨幅3.25%; 状态confirmed_rebound; 底部未确认
47,74.30984878173707,72.95533146430348,603058,永吉股份,bottom_area,2025-01-07,8.51,2025-01-06,8.18,4.034229828850857,4.7677261613692,32.508250825082506,False,1.1891,1.4849,1,1,1,100.0,16.308470290771165,16.308470290771165,5.965770171149144,4.034229828850857,历史1/1次成功; 当前距低点4.03%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
48,74.21633712477112,73.73068590027827,300616,尚品宅配,bottom_area,2025-01-07,11.69,2025-01-06,11.17,4.655326768128913,5.192479856759177,32.261976955730745,False,2.1853,2.3542,2,2,2,100.0,11.423822212968835,11.61116111611162,5.344673231871087,4.655326768128913,历史2/2次成功; 当前距低点4.66%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
49,74.1017315570755,72.42939675928938,002614,奥佳华,bottom_area,2025-01-07,6.28,2025-01-06,6.05,3.801652892561991,4.132231404958678,30.459770114942526,False,1.6181,2.1482,1,1,1,100.0,10.62992125984252,10.62992125984252,6.19834710743801,3.801652892561991,历史1/1次成功; 当前距低点3.80%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
50,73.72535968386512,71.96506317455935,688107,安路科技,bottom_area,2025-01-07,26.41,2025-01-06,25.46,3.7313432835820866,4.791830322073837,29.47368421052632,False,3.4875,0.825,4,6,4,66.66666666666666,29.49386663688085,67.95615731785945,6.268656716417914,3.7313432835820866,历史4/6次成功; 当前距低点3.73%; 最新日涨幅3.49%; 状态bottom_area; 底部未确认
51,73.19417391620324,66.5401581056393,600322,津投城开,bottom_area,2025-01-07,2.38,2025-01-07,2.38,0.0,7.14285714285714,27.65957446808511,False,-9.8485,10.5708,3,4,3,75.0,21.318054331394194,35.828877005347586,10.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-9.85%; 状态bottom_area; 底部未确认
52,72.93379183838951,72.73052748210762,002861,瀛通通讯,bottom_area,2025-01-07,11.45,2025-01-07,10.92,4.853479853479847,5.952380952380955,28.62745098039216,False,2.3235,12.3491,4,5,4,80.0,18.47559972065419,30.546075085324233,5.146520146520154,4.853479853479847,历史4/5次成功; 当前距低点4.85%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
53,72.45192520339761,71.45049309544568,300409,道氏技术,bottom_area,2025-01-07,12.7,2025-01-06,12.18,4.269293924466335,4.679802955665028,27.672209026128268,False,1.7628,3.0186,4,6,4,66.66666666666666,33.321594497646515,50.03460207612457,5.730706075533665,4.269293924466335,历史4/6次成功; 当前距低点4.27%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
54,69.7152300614624,67.84106497330492,300418,昆仑万维,bottom_area,2025-01-07,36.56,2025-01-06,35.3,3.5694050991501567,3.626062322946179,32.825880114176975,False,2.87,2.7851,2,3,2,66.66666666666666,22.00345125107852,32.568306010928964,6.430594900849844,3.5694050991501567,历史2/3次成功; 当前距低点3.57%; 最新日涨幅2.87%; 状态bottom_area; 底部未确认
55,69.12690665211295,68.83037149736046,603232,格尔软件,bottom_area,2025-01-07,12.07,2025-01-06,11.52,4.7743055555555625,4.7743055555555625,29.32515337423314,False,2.4618,2.5488,4,6,4,66.66666666666666,25.4253843944112,48.01488833746897,5.225694444444438,4.7743055555555625,历史4/6次成功; 当前距低点4.77%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
56,68.26573994537983,66.1475449791151,688202,美迪西,bottom_area,2025-01-07,28.73,2025-01-06,27.8,3.345323741007193,3.884892086330929,31.86274509803921,False,0.1743,1.1398,4,7,4,57.14285714285714,14.119955269032591,23.795418261555337,6.654676258992807,3.345323741007193,历史4/7次成功; 当前距低点3.35%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
57,68.06494577039277,65.17060422960726,000420,吉林化纤,bottom_area,2025-01-07,3.4,2025-01-06,3.31,2.7190332326283944,3.021148036253779,28.96995708154507,False,0.8902,1.3671,1,2,1,50.0,53.9249146757679,53.9249146757679,7.2809667673716065,2.7190332326283944,历史1/2次成功; 当前距低点2.72%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
58,67.18912329312487,66.13515667243873,002312,川发龙蟒,bottom_area,2025-01-07,13.24,2025-01-06,12.71,4.169944925255699,6.766325727773402,30.126443100604728,False,1.5337,3.836,3,5,3,60.0,17.97113495710594,21.638330757341585,5.830055074744302,4.169944925255699,历史3/5次成功; 当前距低点4.17%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
59,67.07028100399998,66.90596310209416,001287,中电港,bottom_area,2025-01-07,18.73,2025-01-06,17.86,4.871220604703253,4.927211646136613,29.988239905919258,False,3.4807,2.3414,2,3,2,66.66666666666666,32.93376029113394,42.36351071181756,5.128779395296747,4.871220604703253,历史2/3次成功; 当前距低点4.87%; 最新日涨幅3.48%; 状态bottom_area; 底部未确认
60,66.35456717433424,65.95241828236857,601020,华钰矿业,bottom_area,2025-01-07,12.3,2025-01-06,11.75,4.6808510638297935,5.106382978723401,27.018633540372676,False,3.1014,2.4677,2,3,2,66.66666666666666,25.473613124913108,26.324110671936758,5.319148936170207,4.6808510638297935,历史2/3次成功; 当前距低点4.68%; 最新日涨幅3.10%; 状态bottom_area; 底部未确认
61,66.25851978459066,66.04966708235396,000058,深赛格,bottom_area,2025-01-07,7.59,2025-01-06,7.24,4.834254143646404,4.834254143646404,29.227761485826004,False,2.8455,1.1022,2,3,2,66.66666666666666,27.87688098495213,34.82352941176472,5.165745856353597,4.834254143646404,历史2/3次成功; 当前距低点4.83%; 最新日涨幅2.85%; 状态bottom_area; 底部未确认
62,66.00705013947295,65.42787704173062,600171,上海贝岭,bottom_area,2025-01-07,35.02,2025-01-06,33.5,4.53731343283583,5.91044776119402,29.429113124078366,False,4.0713,8.4995,2,3,2,66.66666666666666,20.89400538671861,31.741821396993807,5.4626865671641704,4.53731343283583,历史2/3次成功; 当前距低点4.54%; 最新日涨幅4.07%; 状态bottom_area; 底部未确认
63,65.97315958541243,62.629124107604326,300363,博腾股份,bottom_area,2025-01-07,15.32,2025-01-07,14.98,2.2696929238985306,5.006675567423231,28.700618752974776,False,-1.3522,2.0888,2,5,2,40.0,41.63453749512357,46.29503738953092,7.73030707610147,2.2696929238985306,历史2/5次成功; 当前距低点2.27%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
64,64.05332907701377,61.48778331148975,000503,国新健康,bottom_area,2025-01-07,10.09,2025-01-06,9.81,2.85423037716615,3.4658511722731893,32.34482758620689,False,1.3052,1.4328,1,2,1,50.0,31.85714285714286,31.85714285714286,7.14576962283385,2.85423037716615,历史1/2次成功; 当前距低点2.85%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
65,63.18826070192226,60.176332577071925,002624,完美世界,bottom_area,2025-01-07,9.67,2025-01-06,9.44,2.4364406779661065,3.1779661016949228,30.741012472487167,False,0.9395,1.3408,1,2,1,50.0,19.685039370078737,19.685039370078737,7.563559322033894,2.4364406779661065,历史1/2次成功; 当前距低点2.44%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
66,62.09110635892617,61.75452953916294,002183,怡亚通,bottom_area,2025-01-07,4.22,2025-01-06,4.03,4.7146401985111535,4.7146401985111535,27.90697674418604,False,2.1792,1.13,2,4,2,50.0,22.76295264391594,31.948881789137378,5.285359801488847,4.7146401985111535,历史2/4次成功; 当前距低点4.71%; 最新日涨幅2.18%; 状态bottom_area; 底部未确认
67,59.584737544415546,58.11129938466225,300451,创业慧康,bottom_area,2025-01-07,4.22,2025-01-06,4.07,3.6855036855036722,3.6855036855036722,31.249999999999993,False,1.4423,2.3039,1,2,1,50.0,23.89380530973452,23.89380530973452,6.314496314496329,3.6855036855036722,历史1/2次成功; 当前距低点3.69%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
68,59.18500060618309,57.03897959183675,600300,维维股份,bottom_area,2025-01-07,3.03,2025-01-06,2.94,3.0612244897959133,4.761904761904766,30.331753554502367,False,0.6645,2.4555,1,2,1,50.0,10.47619047619048,10.47619047619048,6.938775510204087,3.0612244897959133,历史1/2次成功; 当前距低点3.06%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
69,58.05288485805796,57.82159846420116,000833,粤桂股份,bottom_area,2025-01-07,10.5,2025-01-06,10.02,4.790419161676651,5.089820359281435,31.60409556313994,False,2.7397,7.2296,1,2,1,50.0,35.88039867109634,35.88039867109634,5.20958083832335,4.790419161676651,历史1/2次成功; 当前距低点4.79%; 最新日涨幅2.74%; 状态bottom_area; 底部未确认
70,57.0135687625542,55.69480412737947,001236,弘业期货,bottom_area,2025-01-07,9.08,2025-01-06,8.75,3.7714285714285722,3.999999999999996,28.160919540229884,False,1.6797,1.9608,1,2,1,50.0,11.955168119551693,11.955168119551693,6.228571428571429,3.7714285714285722,历史1/2次成功; 当前距低点3.77%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
71,56.901737318015705,55.91500198880155,000925,众合科技,bottom_area,2025-01-07,7.14,2025-01-07,6.86,4.081632653061215,4.227405247813412,28.24267782426778,False,3.3285,4.121,1,2,1,50.0,16.94152923538231,16.94152923538231,5.918367346938785,4.081632653061215,历史1/2次成功; 当前距低点4.08%; 最新日涨幅3.33%; 状态bottom_area; 底部未确认
72,55.697559901187056,54.91030359884017,605338,巴比食品,bottom_area,2025-01-07,16.67,2025-01-06,15.99,4.252657911194506,4.878048780487801,29.80684811237928,False,1.0303,0.9252,1,2,1,50.0,13.636363636363638,13.636363636363638,5.747342088805494,4.252657911194506,历史1/2次成功; 当前距低点4.25%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
73,54.38956625525566,54.17710701207107,600307,酒钢宏兴,bottom_area,2025-01-07,1.53,2025-01-06,1.46,4.79452054794521,4.79452054794521,27.722772277227726,False,2.0,0.6526,1,2,1,50.0,16.33663366336634,16.33663366336634,5.20547945205479,4.79452054794521,历史1/2次成功; 当前距低点4.79%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
74,49.474774635145046,49.441368305209096,000560,我爱我家,bottom_area,2025-01-07,2.96,2025-01-06,2.82,4.964539007092203,6.382978723404261,28.78787878787879,False,2.069,3.9575,1,4,1,25.0,13.793103448275875,13.793103448275875,5.035460992907797,4.964539007092203,历史1/4次成功; 当前距低点4.96%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
