rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
66,63.298095655472416,56.98613716903835,301512,智信精密,bottom_area,2024-01-24,49.8,2024-01-24,47.78,4.2277103390539885,6.843867727082453,28.225927595012763,False,0.1811,9.6165,1,2,1,50.0,24.490950226244347,24.490950226244347,15.772289660946011,4.2277103390539885,历史1/2次成功; 当前距低点4.23%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
67,63.09394875199224,55.98453244781454,300661,圣邦股份,bottom_area,2024-01-24,65.99,2024-01-24,63.8,3.432601880877739,5.4858934169279,28.715083798882684,False,-1.0051,0.7165,1,2,1,50.0,31.832606108687024,31.832606108687024,16.567398119122263,3.432601880877739,历史1/2次成功; 当前距低点3.43%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
68,63.02255865636881,56.1763893388159,603353,和顺石油,bottom_area,2024-01-24,21.4,2024-01-24,20.64,3.6821705426356495,5.135658914728676,28.2336578581363,False,-0.4188,1.0905,2,5,2,40.0,24.256656860350496,27.079174983366617,16.317829457364354,3.6821705426356495,历史2/5次成功; 当前距低点3.68%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
69,62.84040881569362,56.4471154526031,002313,日海智能,bottom_area,2024-01-24,8.37,2024-01-24,8.04,4.1044776119403,6.218905472636817,31.04631217838766,False,0.722,2.2842,1,2,1,50.0,20.08238928939237,20.08238928939237,15.895522388059701,4.1044776119403,历史1/2次成功; 当前距低点4.10%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
70,62.834160270049935,56.5493599257885,000837,秦川机床,bottom_area,2024-01-24,8.17,2024-01-24,7.84,4.209183673469389,4.46428571428571,28.073394495412845,False,1.6169,2.0249,1,2,1,50.0,21.915584415584412,21.915584415584412,15.790816326530614,4.209183673469389,历史1/2次成功; 当前距低点4.21%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
71,62.81585681565345,55.90827118644069,300657,弘信电子,bottom_area,2024-01-24,15.54,2024-01-24,15.0,3.5999999999999943,6.000000000000003,32.58426966292135,False,-1.2706,2.1969,1,2,1,50.0,33.47457627118643,33.47457627118643,16.400000000000006,3.5999999999999943,历史1/2次成功; 当前距低点3.60%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
72,62.24025920518184,56.1566248467806,300682,朗新科技,bottom_area,2024-01-24,12.48,2024-01-24,11.96,4.347826086956518,6.187290969899652,27.734138972809664,False,0.8892,1.2205,1,2,1,50.0,21.503593145384194,21.503593145384194,15.652173913043482,4.347826086956518,历史1/2次成功; 当前距低点4.35%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
73,62.159242355970356,56.57295857988163,002347,泰尔股份,bottom_area,2024-01-24,4.78,2024-01-24,4.56,4.8245614035087865,4.8245614035087865,32.544378698224854,False,1.7021,8.3135,1,2,1,50.0,29.585798816568047,29.585798816568047,15.175438596491214,4.8245614035087865,历史1/2次成功; 当前距低点4.82%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
74,61.34733246826679,55.95916103991008,600071,凤凰光学,bottom_area,2024-01-24,16.97,2024-01-24,16.17,4.947433518862073,5.318491032776743,31.191489361702118,False,0.5928,2.0122,1,2,1,50.0,27.791986359761296,27.791986359761296,15.05256648113793,4.947433518862073,历史1/2次成功; 当前距低点4.95%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
75,61.308984283172585,54.333122289414185,603226,菲林格尔,bottom_area,2024-01-24,5.53,2024-01-24,5.35,3.3644859813084222,5.607476635514033,29.419525065963064,False,0.7286,1.4803,1,4,1,25.0,20.479302832244016,20.479302832244016,16.635514018691577,3.3644859813084222,历史1/4次成功; 当前距低点3.36%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
76,60.92078820578376,55.43395769885616,603015,弘讯科技,bottom_area,2024-01-24,7.84,2024-01-24,7.48,4.812834224598923,5.882352941176464,28.283796740172573,False,0.5128,2.3111,1,2,1,50.0,23.318385650224208,23.318385650224208,15.187165775401079,4.812834224598923,历史1/2次成功; 当前距低点4.81%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
77,60.431821022184934,53.23802976600902,688095,福昕软件,bottom_area,2024-01-24,53.58,2024-01-24,52.0,3.038461538461535,7.307692307692302,27.33370598099497,False,-2.137,2.7255,1,3,1,33.33333333333333,31.679509356817103,31.679509356817103,16.961538461538467,3.038461538461535,历史1/3次成功; 当前距低点3.04%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
78,60.247113377528464,54.72528301886792,000868,安凯客车,bottom_area,2024-01-24,4.44,2024-01-23,4.24,4.7169811320754755,5.660377358490571,29.568106312292354,False,0.9091,1.5557,1,5,1,20.0,69.53846153846153,69.53846153846153,15.283018867924525,4.7169811320754755,历史1/5次成功; 当前距低点4.72%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
79,60.17956698760625,53.95409454061251,000665,湖北广电,bottom_area,2024-01-24,4.16,2024-01-24,4.0,4.0000000000000036,4.0000000000000036,29.32862190812721,False,1.7115,1.1923,1,4,1,25.0,26.231691078561926,26.231691078561926,15.999999999999998,4.0000000000000036,历史1/4次成功; 当前距低点4.00%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
80,59.763106901643866,53.41397660767283,688110,东芯股份,bottom_area,2024-01-24,25.76,2024-01-24,24.81,3.829101168883527,6.972994760177349,28.23257159386752,False,-0.9612,2.0433,1,2,1,50.0,22.87272727272727,22.87272727272727,16.170898831116475,3.829101168883527,历史1/2次成功; 当前距低点3.83%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
81,59.441398267476465,52.819563384444365,688131,皓元医药,bottom_area,2024-01-24,39.5,2024-01-24,38.16,3.5115303983228605,5.398322851153046,28.672897196261687,False,-0.2525,1.696,1,3,1,33.33333333333333,35.228598705844924,35.228598705844924,16.488469601677142,3.5115303983228605,历史1/3次成功; 当前距低点3.51%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
82,58.987801239375436,52.38072610932496,603305,旭升集团,bottom_area,2024-01-24,15.19,2024-01-24,14.68,3.4741144414168925,5.994550408719351,27.110228401191662,False,-0.8486,0.9026,1,3,1,33.33333333333333,32.41061130334487,32.41061130334487,16.52588555858311,3.4741144414168925,历史1/3次成功; 当前距低点3.47%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
83,58.97837869510586,53.32343762331,002589,瑞康医药,bottom_area,2024-01-24,2.81,2024-01-23,2.69,4.460966542750933,4.832713754646837,28.457446808510632,False,2.1818,1.6589,1,4,1,25.0,28.49162011173183,28.49162011173183,15.539033457249069,4.460966542750933,历史1/4次成功; 当前距低点4.46%; 最新日涨幅2.18%; 状态bottom_area; 底部未确认
84,58.83619694487876,52.817364796511804,300508,维宏股份,bottom_area,2024-01-24,22.5,2024-01-24,21.62,4.070305272895462,5.920444033302486,32.542901716068634,False,-0.0444,2.8336,1,3,1,33.33333333333333,42.06627680311891,42.06627680311891,15.929694727104538,4.070305272895462,历史1/3次成功; 当前距低点4.07%; 最新日涨幅-0.04%; 状态bottom_area; 底部未确认
85,58.7771591923016,53.647373813093424,002617,露笑科技,bottom_area,2024-01-24,5.48,2024-01-23,5.22,4.980842911877407,5.747126436781606,28.395061728395067,False,0.7353,1.0562,1,4,1,25.0,36.60589060308556,36.60589060308556,15.019157088122592,4.980842911877407,历史1/4次成功; 当前距低点4.98%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
86,58.755957880508774,53.20585003711955,300474,景嘉微,bottom_area,2024-01-24,56.33,2024-01-23,53.88,4.547141796584995,6.607275426874527,27.842507030936115,False,-0.7751,1.8562,1,3,1,33.33333333333333,59.857142857142854,59.857142857142854,15.452858203415007,4.547141796584995,历史1/3次成功; 当前距低点4.55%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
87,58.68679169524335,53.05648222848467,300400,劲拓股份,bottom_area,2024-01-24,12.42,2024-01-24,11.89,4.4575273338940224,6.476030277544151,27.851941747572813,False,0.4042,1.5691,1,4,1,25.0,27.014218009478668,27.014218009478668,15.542472666105978,4.4575273338940224,历史1/4次成功; 当前距低点4.46%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
88,58.49556813747771,53.09160155103324,300655,晶瑞电材,bottom_area,2024-01-24,7.84,2024-01-24,7.49,4.672897196261677,6.275033377837112,29.13907284768212,False,-0.3812,1.5123,1,2,1,50.0,31.482834185536895,31.482834185536895,15.327102803738324,4.672897196261677,历史1/2次成功; 当前距低点4.67%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
89,58.42741806251256,52.76240224276325,000670,盈方微,bottom_area,2024-01-24,5.7,2024-01-24,5.46,4.3956043956043995,5.677655677655671,31.4070351758794,False,0.1757,1.9275,1,3,1,33.33333333333333,23.28519855595668,23.28519855595668,15.604395604395602,4.3956043956043995,历史1/3次成功; 当前距低点4.40%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
90,58.19338116421175,52.95951067709734,300762,上海瀚讯,bottom_area,2024-01-24,11.09,2024-01-24,10.58,4.820415879017012,7.939508506616255,31.119791666666664,False,-1.7715,4.0161,1,2,1,50.0,32.580961727183514,32.580961727183514,15.17958412098299,4.820415879017012,历史1/2次成功; 当前距低点4.82%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
91,58.04589207617668,51.9399418585335,688143,长盈通,bottom_area,2024-01-24,23.75,2024-01-24,22.86,3.893263342082242,8.880139982502193,31.103074141048825,False,-4.1952,2.4535,1,2,1,50.0,25.949367088607595,25.949367088607595,16.106736657917757,3.893263342082242,历史1/2次成功; 当前距低点3.89%; 最新日涨幅-4.20%; 状态bottom_area; 底部未确认
92,57.89797560613477,52.36960980192518,688115,思林杰,bottom_area,2024-01-24,25.16,2024-01-24,24.08,4.485049833887051,6.270764119601335,31.53255615581462,False,0.0398,2.8678,1,4,1,25.0,23.658728081654015,23.658728081654015,15.51495016611295,4.485049833887051,历史1/4次成功; 当前距低点4.49%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
93,57.830324276090174,52.47212083555238,603033,三维股份,bottom_area,2024-01-24,13.71,2024-01-24,13.1,4.65648854961833,6.259541984732826,30.76109936575054,False,0.1461,0.375,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,15.343511450381673,4.65648854961833,历史1/3次成功; 当前距低点4.66%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
94,57.67150774042162,50.92158196520462,603160,汇顶科技,bottom_area,2024-01-24,57.41,2024-01-24,55.65,3.162623539982027,4.9056603773584975,30.4375,False,-1.2895,0.851,1,3,1,33.33333333333333,20.747474747474755,20.747474747474755,16.837376460017975,3.162623539982027,历史1/3次成功; 当前距低点3.16%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
95,57.198624895391134,51.50067758780427,002600,领益智造,bottom_area,2024-01-24,5.17,2024-01-22,4.96,4.233870967741934,9.677419354838717,27.272727272727277,False,-0.3854,0.9607,1,4,1,25.0,38.381201044386415,38.381201044386415,15.766129032258066,4.233870967741934,历史1/4次成功; 当前距低点4.23%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
96,56.20420426914664,51.151363244949955,002331,皖通科技,bottom_area,2024-01-24,7.39,2024-01-24,7.05,4.822695035460991,5.6737588652482325,29.710867397806577,False,1.511,2.4657,1,4,1,25.0,21.247892074199,21.247892074199,15.17730496453901,4.822695035460991,历史1/4次成功; 当前距低点4.82%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
97,55.988006287908505,50.345804103855706,300572,安车检测,bottom_area,2024-01-24,12.76,2024-01-24,12.25,4.163265306122447,5.959183673469391,32.98687089715536,False,-0.3125,2.5843,1,4,1,25.0,31.306715063520883,31.306715063520883,15.836734693877553,4.163265306122447,历史1/4次成功; 当前距低点4.16%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
98,55.55165884416305,49.631521118268154,688173,希荻微,bottom_area,2024-01-24,12.81,2024-01-24,12.34,3.8087520259319336,6.807131280388978,30.28248587570621,False,-1.0811,1.8025,1,4,1,25.0,23.120837297811605,23.120837297811605,16.19124797406807,3.8087520259319336,历史1/4次成功; 当前距低点3.81%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
99,52.489170502879624,47.599259571597216,002036,联创电子,bottom_area,2024-01-24,7.69,2024-01-24,7.35,4.625850340136065,6.802721088435375,28.432327166504383,False,-0.2594,2.68,1,4,1,25.0,22.210743801652896,22.210743801652896,15.374149659863937,4.625850340136065,历史1/4次成功; 当前距低点4.63%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
100,52.10799890404896,47.38602325352252,688225,亚信安全,bottom_area,2024-01-24,14.25,2024-01-24,13.6,4.779411764705885,9.55882352941177,28.421052631578945,False,-1.8595,1.7023,1,3,1,33.33333333333333,21.557788944723633,21.557788944723633,15.220588235294116,4.779411764705885,历史1/3次成功; 当前距低点4.78%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
