rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
45,78.85245198720348,74.58259823807377,605080,浙江自然,confirmed_rebound,2024-01-22,19.2,2024-01-22,18.99,1.10584518167457,11.63770405476567,32.89752650176679,False,-8.3532,9.8799,2,2,2,100.0,15.397447592966563,20.335021425788852,6.894154818325431,1.10584518167457,历史2/2次成功; 当前距低点1.11%; 最新日涨幅-8.35%; 状态confirmed_rebound; 底部未确认
46,78.80034322374101,75.29466247567731,002397,梦洁股份,confirmed_rebound,2024-01-22,3.11,2024-01-22,3.06,1.6339869281045694,10.784313725490199,30.925507900677196,False,-8.2596,3.757,1,1,1,100.0,42.36641221374045,42.36641221374045,6.366013071895431,1.6339869281045694,历史1/1次成功; 当前距低点1.63%; 最新日涨幅-8.26%; 状态confirmed_rebound; 底部未确认
47,78.50411627580715,74.31138945996092,605398,新炬网络,bottom_area,2024-01-22,24.7,2024-01-22,24.42,1.1466011466011365,7.698607698607694,27.147971360381863,False,-5.6171,1.0128,1,1,1,100.0,20.890538033395174,20.890538033395174,6.853398853398864,1.1466011466011365,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
48,78.48264814117239,74.13677437737667,000547,航天发展,confirmed_rebound,2024-01-22,6.81,2024-01-22,6.74,1.0385756676557774,8.160237388724033,32.19315895372233,False,-6.3274,1.1669,2,2,2,100.0,12.175951073289482,14.656084656084673,6.961424332344222,1.0385756676557774,历史2/2次成功; 当前距低点1.04%; 最新日涨幅-6.33%; 状态confirmed_rebound; 底部未确认
49,78.44005281203982,74.71957599882056,688068,热景生物,confirmed_rebound,2024-01-22,33.74,2024-01-22,33.25,1.473684210526322,8.541353383458656,32.82828282828283,False,-5.7279,1.6436,2,2,2,100.0,20.642881714089135,31.484593837534998,6.526315789473679,1.473684210526322,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-5.73%; 状态confirmed_rebound; 底部未确认
50,78.42127146244053,74.29567626290061,002681,奋达科技,confirmed_rebound,2024-01-22,4.25,2024-01-22,4.2,1.1904761904761862,8.095238095238091,27.835051546391753,False,-6.3877,1.2281,1,1,1,100.0,31.558935361216733,31.558935361216733,6.809523809523814,1.1904761904761862,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-6.39%; 状态confirmed_rebound; 底部未确认
51,78.37276525032773,74.27855948357744,002366,融发核电,bottom_area,2024-01-22,4.18,2024-01-22,4.13,1.2106537530266301,7.263922518159801,28.670120898100176,False,-4.7836,1.3158,4,5,4,80.0,14.832527099344986,25.0,6.78934624697337,1.2106537530266301,历史4/5次成功; 当前距低点1.21%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
52,78.1809354074614,74.51046895640687,000860,顺鑫农业,bottom_area,2024-01-22,18.27,2024-01-22,18.0,1.4999999999999978,6.6666666666666625,30.340557275541798,False,-5.3858,1.3199,2,2,2,100.0,9.62617718498317,10.865257595772784,6.500000000000003,1.4999999999999978,历史2/2次成功; 当前距低点1.50%; 最新日涨幅-5.39%; 状态bottom_area; 底部未确认
53,78.1147500944587,73.90748904600083,300567,精测电子,bottom_area,2024-01-22,62.2,2024-01-22,61.51,1.1217688180783691,6.649325312957237,30.864336293132517,False,-3.8788,1.397,1,1,1,100.0,18.414634146341452,18.414634146341452,6.87823118192163,1.1217688180783691,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-3.88%; 状态bottom_area; 底部未确认
54,78.10490213495895,73.64912978308247,300572,安车检测,confirmed_rebound,2024-01-22,12.8,2024-01-22,12.68,0.9463722397476418,9.936908517350156,30.634573304157552,False,-6.9091,2.4876,4,4,4,100.0,14.929346718855282,31.306715063520883,7.0536277602523585,0.9463722397476418,历史4/4次成功; 当前距低点0.95%; 最新日涨幅-6.91%; 状态confirmed_rebound; 底部未确认
