rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
111,56.27760126344603,50.51276189478472,300410,正业科技,bottom_area,2024-02-02,5.38,2024-02-02,5.17,4.061895551257252,15.473887814313342,29.945799457994582,False,-6.4348,2.7219,1,2,1,50.0,20.34346103038308,20.34346103038308,15.938104448742749,4.061895551257252,历史1/2次成功; 当前距低点4.06%; 最新日涨幅-6.43%; 状态bottom_area; 底部未确认
112,55.97390043691252,49.95520146520149,002247,聚力文化,bottom_area,2024-02-02,1.66,2024-02-02,1.6,3.7499999999999893,15.0,28.251121076233176,False,-5.6818,3.5998,1,3,1,33.33333333333333,32.967032967032964,32.967032967032964,16.25000000000001,3.7499999999999893,历史1/3次成功; 当前距低点3.75%; 最新日涨幅-5.68%; 状态bottom_area; 底部未确认
113,55.85430796834357,49.387934251259985,605303,园林股份,bottom_area,2024-02-02,8.6,2024-02-02,8.33,3.241296518607438,15.006002400960384,30.351170568561876,False,-7.1274,6.2839,1,3,1,33.33333333333333,23.681489141675293,23.681489141675293,16.758703481392562,3.241296518607438,历史1/3次成功; 当前距低点3.24%; 最新日涨幅-7.13%; 状态bottom_area; 底部未确认
114,55.740271221395254,49.48130008848437,002765,蓝黛科技,bottom_area,2024-02-02,4.19,2024-02-02,4.05,3.4567901234568046,15.061728395061738,28.571428571428577,False,-6.8889,5.0182,1,4,1,25.0,28.213879408418663,28.213879408418663,16.543209876543198,3.4567901234568046,历史1/4次成功; 当前距低点3.46%; 最新日涨幅-6.89%; 状态bottom_area; 底部未确认
115,55.39211668136041,48.993027389650905,601798,蓝科高新,bottom_area,2024-02-02,5.39,2024-02-02,5.22,3.256704980842911,12.260536398467444,30.026809651474533,False,-5.6042,2.4502,1,3,1,33.33333333333333,21.74721189591078,21.74721189591078,16.743295019157088,3.256704980842911,历史1/3次成功; 当前距低点3.26%; 最新日涨幅-5.60%; 状态bottom_area; 底部未确认
116,55.380615654084274,50.009678268604084,300340,科恒股份,bottom_area,2024-02-02,7.84,2024-02-02,7.51,4.394141145139815,14.38082556591212,28.679962013295345,False,-6.1078,3.889,1,4,1,25.0,42.54473161033797,42.54473161033797,15.605858854860186,4.394141145139815,历史1/4次成功; 当前距低点4.39%; 最新日涨幅-6.11%; 状态bottom_area; 底部未确认
117,55.152832512226475,49.798854993926945,688171,纬德信息,bottom_area,2024-02-02,14.51,2024-02-02,13.9,4.388489208633089,14.67625899280575,29.009193054136865,False,-6.9275,3.4667,1,2,1,50.0,20.508658008658003,20.508658008658003,15.61151079136691,4.388489208633089,历史1/2次成功; 当前距低点4.39%; 最新日涨幅-6.93%; 状态bottom_area; 底部未确认
118,55.13611271348964,49.82642425957368,300508,维宏股份,bottom_area,2024-02-02,18.13,2024-02-02,17.36,4.435483870967739,14.170506912442402,28.026533996683256,False,-6.1108,4.245,1,4,1,25.0,42.06627680311891,42.06627680311891,15.564516129032263,4.435483870967739,历史1/4次成功; 当前距低点4.44%; 最新日涨幅-6.11%; 状态bottom_area; 底部未确认
119,55.101392189870786,48.81537939115671,001209,洪兴股份,bottom_area,2024-02-02,13.59,2024-02-02,13.15,3.3460076045627343,13.992395437262356,32.390745501285345,False,-5.164,8.9914,1,3,1,33.33333333333333,21.88679245283018,21.88679245283018,16.653992395437268,3.3460076045627343,历史1/3次成功; 当前距低点3.35%; 最新日涨幅-5.16%; 状态bottom_area; 底部未确认
120,54.9158627504928,49.82285935024547,301360,荣旗科技,bottom_area,2024-02-02,46.8,2024-02-02,44.72,4.651162790697671,14.847942754919503,28.78980891719745,False,-6.1184,9.9723,1,2,1,50.0,23.857583403420236,23.857583403420236,15.34883720930233,4.651162790697671,历史1/2次成功; 当前距低点4.65%; 最新日涨幅-6.12%; 状态bottom_area; 底部未确认
