rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
172,64.96043726924975,54.569620619666246,605162,新中港,bottom_area,2026-06-12,9.18,13.5,2026-06-12,9.14,0.4376367614879556,5.251641137855565,32.29629629629629,32.0,False,-3.57142857142857,4.6408653538698745,2,5,2,40.0,25.900174386337582,26.46502835538753,19.562363238512045,0.4376367614879556,历史2/5次成功; 当前距低点0.44%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
173,64.89844417593268,57.050188512936785,300653,正海生物,bottom_area,2026-06-12,14.8,20.17,2026-06-10,14.38,2.9207232267037546,4.033379694019472,28.705999008428364,26.623698562221122,False,1.1619958988380086,0.8032777777777778,1,4,1,25.0,29.647513278609367,29.647513278609367,17.079276773296247,2.9207232267037546,历史1/4次成功; 当前距低点2.92%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
174,64.87328511971253,54.46181392948757,002273,水晶光电,bottom_area,2026-06-12,32.39,44.3,2026-06-12,32.26,0.4029758214507209,6.5096094234346,27.178329571106097,26.88487584650112,False,-2.3809523809523836,4.230938425673448,1,2,1,50.0,26.34730538922157,26.34730538922157,19.59702417854928,0.4029758214507209,历史1/2次成功; 当前距低点0.40%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
175,64.42247367709162,57.70814229249011,002274,华昌化工,bottom_area,2026-06-12,5.26,7.06,2026-06-12,5.06,3.9525691699604777,5.3359683794466495,28.328611898016998,25.495750708215297,False,0.9596928982725572,1.7185601227809513,1,2,1,50.0,24.999999999999993,24.999999999999993,16.047430830039524,3.9525691699604777,历史1/2次成功; 当前距低点3.95%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
176,64.32710939641686,54.0151300275256,600936,北投科技,bottom_area,2026-06-12,4.84,6.66,2026-06-12,4.82,0.41493775933609073,5.39419087136929,27.627627627627625,27.327327327327332,False,-2.0242914979757165,4.687730070069216,1,2,1,50.0,24.09240924092409,24.09240924092409,19.585062240663913,0.41493775933609073,历史1/2次成功; 当前距低点0.41%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
177,64.30002003921257,58.21291603384684,002588,史丹利,bottom_area,2026-06-12,8.76,12.1,2026-06-09,8.38,4.534606205250585,7.756563245823371,30.743801652892554,27.603305785123965,False,2.3364485981308247,1.9540685770212582,1,2,1,50.0,34.848484848484844,34.848484848484844,15.465393794749415,4.534606205250585,历史1/2次成功; 当前距低点4.53%; 最新日涨幅2.34%; 状态bottom_area; 底部未确认
178,64.08140502255355,56.289139777267636,605388,均瑶健康,bottom_area,2026-06-12,5.36,7.31,2026-06-11,5.21,2.879078694817665,4.222648752399227,28.727770177838575,26.67578659370724,False,1.5151515151515138,1.337904125513339,1,4,1,25.0,25.045372050816695,25.045372050816695,17.120921305182335,2.879078694817665,历史1/4次成功; 当前距低点2.88%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
179,64.05635765752025,53.8136436409426,002543,万和电气,bottom_area,2026-06-12,6.83,9.55,2026-06-12,6.8,0.44117647058823894,2.499999999999999,28.795811518324616,28.481675392670162,False,-2.8449502133712667,0.9176743759853919,1,3,1,33.33333333333333,42.775229357798146,42.775229357798146,19.55882352941176,0.44117647058823894,历史1/3次成功; 当前距低点0.44%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
180,63.98115053703467,57.62334963679984,300584,海辰药业,bottom_area,2026-06-12,31.16,44.31,2026-06-11,29.89,4.248912679826027,5.018400802944129,32.543443917851505,29.67727375310314,False,2.940204823257342,2.888323980792702,2,7,2,28.57142857142857,41.271961465147655,54.23197492163009,15.751087320173973,4.248912679826027,历史2/7次成功; 当前距低点4.25%; 最新日涨幅2.94%; 状态bottom_area; 底部未确认
181,63.92215207200785,57.11603145695365,003007,直真科技,bottom_area,2026-06-12,39.19,54.34,2026-06-11,37.75,3.814569536423835,5.192052980132453,30.52999631947001,27.880014722119995,False,1.5548069448043433,2.3200900365607042,1,2,1,50.0,20.124999999999993,20.124999999999993,16.185430463576168,3.814569536423835,历史1/2次成功; 当前距低点3.81%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
