rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
29,75.16842932785933,73.20143296815314,300534,陇神戎发,confirmed_rebound,2022-04-28,7.83,2022-04-27,7.63,2.6212319790301466,8.125819134993447,30.383211678832122,True,-4.9757,5.4686,2,2,2,100.0,17.353988603988597,22.115384615384613,5.378768020969854,2.6212319790301466,历史2/2次成功; 当前距低点2.62%; 最新日涨幅-4.98%; 状态confirmed_rebound; 底部已确认
30,75.12264537812533,71.19222368437082,002745,木林森,confirmed_rebound,2022-04-28,8.39,2022-04-28,8.29,1.2062726176115974,8.564535585042231,30.2775441547519,False,-8.9034,4.1887,1,1,1,100.0,15.06734006734006,15.06734006734006,6.793727382388402,1.2062726176115974,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-8.90%; 状态confirmed_rebound; 底部未确认
31,74.99314416581588,73.97282927920615,688258,卓易信息,bottom_area,2022-04-28,22.62,2022-04-27,21.9,3.2876712328767237,5.6164383561643865,28.196721311475414,False,-1.3949,0.8225,2,2,2,100.0,18.433976828844497,19.85157699443413,4.712328767123276,3.2876712328767237,历史2/2次成功; 当前距低点3.29%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
32,74.9796755220805,71.65878923766817,600095,湘财股份,bottom_area,2022-04-28,6.18,2022-04-27,6.08,1.644736842105257,7.2368421052631495,27.705112960760996,False,-4.3344,1.7223,1,1,1,100.0,12.73542600896861,12.73542600896861,6.355263157894743,1.644736842105257,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-4.33%; 状态bottom_area; 底部未确认
33,74.96192005538693,71.318933668227,302132,中航成飞,confirmed_rebound,2022-04-28,9.35,2022-04-28,9.22,1.4099783080260195,13.882863340563983,32.255694342395294,False,-14.6119,3.6869,1,1,1,100.0,18.24561403508772,18.24561403508772,6.590021691973981,1.4099783080260195,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-14.61%; 状态confirmed_rebound; 底部未确认
34,74.88385546551395,72.13795896304947,603116,红蜻蜓,bottom_area,2022-04-28,4.96,2022-04-28,4.86,2.0576131687242727,5.144032921810699,30.96590909090909,False,-0.8,2.0563,1,1,1,100.0,10.157618213660246,10.157618213660246,5.942386831275727,2.0576131687242727,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
35,74.8441191801613,72.62646447421845,300733,西菱动力,bottom_area,2022-04-28,16.82,2022-04-27,16.42,2.4360535931790412,7.429963459196094,27.022222222222215,True,-3.1664,0.6958,1,1,1,100.0,18.444444444444446,18.444444444444446,5.563946406820959,2.4360535931790412,历史1/1次成功; 当前距低点2.44%; 最新日涨幅-3.17%; 状态bottom_area; 底部已确认
36,74.8132804631228,71.7158024343838,300677,英科医疗,bottom_area,2022-04-28,35.6,2022-04-28,34.97,1.8015441807263444,6.662853874749781,27.598343685300204,False,-5.9445,4.2863,1,1,1,100.0,14.964103045375621,14.964103045375621,6.198455819273656,1.8015441807263444,历史1/1次成功; 当前距低点1.80%; 最新日涨幅-5.94%; 状态bottom_area; 底部未确认
37,74.73667240216969,71.22356885825917,300556,丝路视觉,bottom_area,2022-04-28,17.63,2022-04-27,17.37,1.4968336211859412,6.793321819228552,27.473903966597067,False,-4.857,5.2611,1,1,1,100.0,8.582524271844663,8.582524271844663,6.503166378814059,1.4968336211859412,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-4.86%; 状态bottom_area; 底部未确认
38,74.66637895437894,73.0431968031968,002375,亚厦股份,bottom_area,2022-04-28,4.32,2022-04-28,4.2,2.8571428571428594,6.666666666666672,29.530201342281874,False,-2.7027,1.285,1,1,1,100.0,24.825174825174827,24.825174825174827,5.142857142857141,2.8571428571428594,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
39,74.6419453454072,70.03465419901204,002479,富春环保,bottom_area,2022-04-28,4.39,2022-04-28,4.36,0.6880733944953982,4.587155963302736,28.990228013029306,False,-4.3573,0.8402,1,1,1,100.0,32.11538461538461,32.11538461538461,7.311926605504603,0.6880733944953982,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
40,74.40415961538463,68.8927403846154,600250,南京商旅,bottom_area,2022-04-28,4.42,2022-04-28,4.42,0.0,7.013574660633496,31.472868217054266,False,-7.1429,6.2051,2,2,2,100.0,13.133012820512816,14.8076923076923,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-7.14%; 状态bottom_area; 底部未确认
