rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_date,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,history_success_dates,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
64,65.71448702656427,59.205113344002804,300377,赢时胜,bottom_area,2024-12-26,27.85,2024-12-12,36.6,2024-12-24,26.71,4.268064395357546,9.247472856608008,27.021857923497265,23.90710382513661,True,-1.2061014544164639,9.151407827605386,3,8,3,37.5,43.94516217966667,76.77419354838709,2016-01-14; 2017-07-24; 2024-11-11,15.731935604642455,4.268064395357546,历史3/8次成功; 当前距低点4.27%; 最新日涨幅-1.21%; 状态bottom_area; 底部已确认
65,65.50655470897084,56.71512969668332,002583,海能达,bottom_area,2024-12-26,14.67,2024-12-19,19.98,2024-12-25,14.37,2.0876826722338255,6.750173973556024,28.078078078078082,26.576576576576578,False,-0.47489823609226933,7.882712213076354,1,4,1,25.0,40.1077752117013,40.1077752117013,2015-08-25,17.912317327766175,2.0876826722338255,历史1/4次成功; 当前距低点2.09%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
66,65.45278689160918,57.8047710319918,000592,平潭发展,bottom_area,2024-12-26,2.6,2024-12-17,3.7,2024-12-25,2.52,3.174603174603177,6.349206349206354,31.891891891891895,29.72972972972973,False,1.5625,3.8353291029023397,6,20,6,30.0,25.983151989715232,35.83061889250815,1997-05-26; 1998-08-12; 2013-06-25; 2015-09-02; 2016-05-18; 2020-10-30,16.825396825396822,3.174603174603177,历史6/20次成功; 当前距低点3.17%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
67,65.18832009154475,56.349225841843776,600408,安泰集团,bottom_area,2024-12-26,2.04,2024-12-12,2.86,2024-12-25,2.0,2.0000000000000018,6.499999999999995,30.069930069930066,28.671328671328666,False,0.0,2.309644417957886,3,14,3,21.428571428571427,22.33070729101875,23.141993957703917,2008-03-20; 2012-12-04; 2022-11-01,18.0,2.0000000000000018,历史3/14次成功; 当前距低点2.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
68,65.03791283086731,54.481535836177464,002693,双成药业,bottom_area,2024-12-26,17.63,2024-12-02,25.26,2024-12-26,17.58,0.28441410693970826,3.412969283276459,30.403800475059395,30.205859065716556,False,-2.164261931187572,4.071204145486668,3,13,3,23.076923076923077,59.74209192291882,102.85714285714285,2022-09-23; 2024-10-14; 2024-11-15,19.715585893060293,0.28441410693970826,历史3/13次成功; 当前距低点0.28%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
69,64.78522992583103,55.17959247320532,000668,荣丰控股,bottom_area,2024-12-26,6.79,2024-12-13,9.88,2024-12-25,6.71,1.1922503725782425,7.153502235469455,32.085020242914986,31.2753036437247,False,-1.0204081632653073,3.89303041755885,3,15,3,20.0,31.709265175718855,43.902439024390226,1996-12-25; 2004-07-01; 2007-06-06,18.807749627421757,1.1922503725782425,历史3/15次成功; 当前距低点1.19%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
70,64.69914521753894,57.54332742334631,000692,惠天热电,bottom_area,2024-12-26,3.49,2024-12-19,4.85,2024-12-25,3.37,3.5608308605341277,8.011869436201781,30.515463917525764,28.04123711340205,False,1.1594202898550732,2.939176021450787,6,20,6,30.0,29.311945082602836,59.042553191489375,2005-07-19; 2007-06-07; 2015-06-30; 2015-08-26; 2022-08-02; 2024-04-22,16.43916913946587,3.5608308605341277,历史6/20次成功; 当前距低点3.56%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
71,64.49791542953066,57.133172541743946,300175,朗源股份,bottom_area,2024-12-26,5.57,2024-12-12,7.65,2024-12-25,5.39,3.3395176252319225,6.679035250463829,29.542483660130724,27.18954248366013,False,0.723327305605781,2.2283135089209853,2,11,2,18.181818181818183,51.82528123744476,81.51315789473685,2011-05-30; 2020-09-30,16.66048237476808,3.3395176252319225,历史2/11次成功; 当前距低点3.34%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
72,64.36915924215022,56.80265726827387,605081,退市太和,bottom_area,2024-12-26,10.54,2024-12-12,14.02,2024-12-25,10.22,3.1311154598825683,5.675146771037182,27.104136947218255,24.82168330955778,False,0.6685768863419206,2.355468713283651,2,7,2,28.57142857142857,23.15760646516345,23.406040268456387,2021-03-10; 2024-08-06,16.86888454011743,3.1311154598825683,历史2/7次成功; 当前距低点3.13%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
73,64.03463506323132,56.2619058953585,600880,博瑞传播,bottom_area,2024-12-26,4.98,2024-12-18,7.22,2024-12-25,4.84,2.892561983471086,5.371900826446277,32.96398891966759,31.02493074792243,False,0.809716599190291,4.9433490767888895,3,14,3,21.428571428571427,32.802327591173594,50.000000000000014,1998-08-18; 2022-04-28; 2024-02-06,17.107438016528913,2.892561983471086,历史3/14次成功; 当前距低点2.89%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
