rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
131,63.55802700846948,60.99215033903425,002622,皓宸医疗,confirmed_rebound,2024-06-06,1.45,2024-06-06,1.41,2.8368794326241162,13.475177304964554,32.21153846153847,False,-7.6433,3.4439,2,3,2,66.66666666666666,19.10520848790621,20.819112627986343,7.163120567375884,2.8368794326241162,历史2/3次成功; 当前距低点2.84%; 最新日涨幅-7.64%; 状态confirmed_rebound; 底部未确认
132,63.50849516192853,62.52565048869487,002316,亚联发展,confirmed_rebound,2024-06-06,2.99,2024-06-06,2.87,4.181184668989551,11.846689895470378,30.67632850241545,False,-5.6782,6.136,5,7,5,71.42857142857143,16.844286281057823,24.890829694323134,5.81881533101045,4.181184668989551,历史5/7次成功; 当前距低点4.18%; 最新日涨幅-5.68%; 状态confirmed_rebound; 底部未确认
133,61.25707708995506,58.16623529797083,000710,贝瑞基因,confirmed_rebound,2024-06-06,7.17,2024-06-06,7.01,2.2824536376604874,11.126961483594869,30.93596059113301,False,-7.1244,4.6251,2,4,2,50.0,16.560374149659864,17.3469387755102,7.717546362339513,2.2824536376604874,历史2/4次成功; 当前距低点2.28%; 最新日涨幅-7.12%; 状态confirmed_rebound; 底部未确认
134,61.04438487714968,60.61525036131733,002589,瑞康医药,confirmed_rebound,2024-06-06,2.26,2024-06-06,2.16,4.629629629629613,12.037037037037027,29.18032786885245,False,-5.8333,2.5425,4,6,4,66.66666666666666,22.387845431215993,37.073170731707336,5.370370370370388,4.629629629629613,历史4/6次成功; 当前距低点4.63%; 最新日涨幅-5.83%; 状态confirmed_rebound; 底部未确认
135,59.47618990904393,56.240766063588076,000521,长虹美菱,bottom_area,2024-06-06,8.9,2024-06-06,8.72,2.0642201834862353,3.784403669724771,31.0126582278481,False,0.0,3.9828,1,3,1,33.33333333333333,13.407821229050265,13.407821229050265,7.935779816513766,2.0642201834862353,历史1/3次成功; 当前距低点2.06%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
136,58.52520864012104,55.179925647727565,600319,亚星化学,confirmed_rebound,2024-06-06,3.2,2024-06-06,3.14,1.9108280254777086,11.146496815286627,27.14617169373549,False,-7.781,2.872,1,2,1,50.0,29.282868525896426,29.282868525896426,8.08917197452229,1.9108280254777086,历史1/2次成功; 当前距低点1.91%; 最新日涨幅-7.78%; 状态confirmed_rebound; 底部未确认
137,58.18458648150741,55.857203022247106,300497,富祥股份,bottom_area,2024-06-06,9.36,2024-06-06,9.1,2.857142857142855,5.824175824175837,31.268882175226594,False,-0.9524,2.6897,1,2,1,50.0,24.094025465230157,24.094025465230157,7.142857142857145,2.857142857142855,历史1/2次成功; 当前距低点2.86%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
138,57.95012500204163,54.78420368364031,002196,方正电机,bottom_area,2024-06-06,3.98,2024-06-06,3.9,2.051282051282053,8.2051282051282,29.602888086642604,False,-5.0119,4.0439,1,2,1,50.0,18.661971830985923,18.661971830985923,7.948717948717948,2.051282051282053,历史1/2次成功; 当前距低点2.05%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
139,57.09323711265127,53.19245693725275,002524,光正眼科,confirmed_rebound,2024-06-06,3.15,2024-06-06,3.11,1.2861736334405156,12.218649517684899,31.34657836644592,False,-8.6957,4.2194,1,2,1,50.0,10.940499040307108,10.940499040307108,8.713826366559484,1.2861736334405156,历史1/2次成功; 当前距低点1.29%; 最新日涨幅-8.70%; 状态confirmed_rebound; 底部未确认
140,56.84557132942963,53.21114942528736,688189,南新制药,confirmed_rebound,2024-06-06,5.3,2024-06-06,5.22,1.5325670498084305,10.919540229885063,30.400000000000006,False,-7.6655,3.4085,1,2,1,50.0,14.06130268199233,14.06130268199233,8.46743295019157,1.5325670498084305,历史1/2次成功; 当前距低点1.53%; 最新日涨幅-7.67%; 状态confirmed_rebound; 底部未确认
141,55.56217997446472,52.575256653044946,300399,天利科技,confirmed_rebound,2024-06-06,7.78,2024-06-06,7.62,2.0997375328084007,10.892388451443558,27.497621313035204,False,-6.2651,2.2996,1,2,1,50.0,17.594936708860743,17.594936708860743,7.900262467191601,2.0997375328084007,历史1/2次成功; 当前距低点2.10%; 最新日涨幅-6.27%; 状态confirmed_rebound; 底部未确认
142,54.7292245887746,52.48743393232982,001366,播恩集团,bottom_area,2024-06-06,11.73,2024-06-06,11.41,2.804557405784402,7.624890446976329,30.384380719951192,False,-3.9312,9.4689,1,2,1,50.0,15.547445255474459,15.547445255474459,7.195442594215598,2.804557405784402,历史1/2次成功; 当前距低点2.80%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
143,54.5543702509958,50.96924536514255,002853,皮阿诺,bottom_area,2024-06-06,7.08,2024-06-06,6.98,1.4326647564469863,9.742120343839538,28.848114169215084,False,-6.2252,3.5285,1,3,1,33.33333333333333,10.012836970474972,10.012836970474972,8.567335243553014,1.4326647564469863,历史1/3次成功; 当前距低点1.43%; 最新日涨幅-6.23%; 状态bottom_area; 底部未确认
144,54.00955956059226,49.88013827700421,605138,盛泰集团,bottom_area,2024-06-06,4.88,2024-06-06,4.84,0.8264462809917362,8.057851239669434,27.10843373493976,False,-5.4264,1.2001,1,2,1,50.0,17.120622568093385,17.120622568093385,9.173553719008265,0.8264462809917362,历史1/2次成功; 当前距低点0.83%; 最新日涨幅-5.43%; 状态bottom_area; 底部未确认
145,53.53480370530994,49.60160593862724,000779,甘咨询,bottom_area,2024-06-06,7.1,2024-06-06,7.03,0.9957325746799344,7.254623044096725,27.30093071354705,False,-5.0802,1.7237,1,2,1,50.0,17.69825918762089,17.69825918762089,9.004267425320066,0.9957325746799344,历史1/2次成功; 当前距低点1.00%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
146,53.345911422371785,51.1988623558367,000573,粤宏远A,confirmed_rebound,2024-06-06,2.17,2024-06-06,2.11,2.8436018957346,12.3222748815166,31.045751633986935,False,-6.867,3.5359,1,2,1,50.0,19.31330472103003,19.31330472103003,7.1563981042654,2.8436018957346,历史1/2次成功; 当前距低点2.84%; 最新日涨幅-6.87%; 状态confirmed_rebound; 底部未确认
147,52.27786510851085,48.915671322799795,000546,金圆股份,confirmed_rebound,2024-06-06,4.03,2024-06-06,3.97,1.5113350125944598,10.327455919395458,27.155963302752294,False,-6.9284,3.2406,1,3,1,33.33333333333333,10.151515151515152,10.151515151515152,8.48866498740554,1.5113350125944598,历史1/3次成功; 当前距低点1.51%; 最新日涨幅-6.93%; 状态confirmed_rebound; 底部未确认
148,52.203374996114086,50.02124034997427,002291,遥望科技,confirmed_rebound,2024-06-06,4.47,2024-06-06,4.35,2.7586206896551753,11.034482758620701,28.805237315875626,False,-5.8947,4.5824,1,2,1,50.0,11.940298507462684,11.940298507462684,7.241379310344826,2.7586206896551753,历史1/2次成功; 当前距低点2.76%; 最新日涨幅-5.89%; 状态confirmed_rebound; 底部未确认
149,47.31123547400612,43.010214067278284,605178,时空科技,confirmed_rebound,2024-06-06,10.49,2024-06-06,10.49,0.0,11.344137273593894,27.953296703296704,False,-9.9571,3.157,1,3,1,33.33333333333333,11.97247706422018,11.97247706422018,10.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态confirmed_rebound; 底部未确认
