rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.72257628834602,86.75572375753356,603212,赛伍技术,bottom_area,2023-08-28,16.01,2023-08-25,15.81,1.2650221378874198,7.5268817204301035,30.198675496688736,True,0.4391,1.6737,2,2,2,100.0,30.698786193101522,32.01038575667657,18.734977862112583,1.2650221378874198,历史2/2次成功; 当前距低点1.27%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
12,86.46519978677372,76.63582254704416,601777,千里科技,bottom_area,2023-08-28,3.68,2023-08-25,3.56,3.3707865168539355,6.17977528089887,27.93522267206478,False,2.7933,1.1675,1,1,1,100.0,27.96352583586626,27.96352583586626,16.629213483146067,3.3707865168539355,历史1/1次成功; 当前距低点3.37%; 最新日涨幅2.79%; 状态bottom_area; 底部未确认
13,85.42982967045313,71.24581288981291,002819,东方中科,bottom_area,2023-08-28,24.06,2023-08-28,24.05,0.041580041580033304,6.694386694386692,31.285714285714285,False,-1.5951,1.0214,1,1,1,100.0,20.487179487179493,20.487179487179493,19.958419958419967,0.041580041580033304,历史1/1次成功; 当前距低点0.04%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
14,84.5644038725566,70.94386967113279,300461,田中精机,bottom_area,2023-08-28,16.48,2023-08-28,16.42,0.36540803897684965,7.186358099878194,27.022222222222215,False,-0.4831,2.4028,1,1,1,100.0,22.833333333333336,22.833333333333336,19.63459196102315,0.36540803897684965,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
15,84.28448553213809,71.31865006919138,002436,兴森科技,bottom_area,2023-08-28,10.88,2023-08-28,10.79,0.834105653382777,8.433734939759038,27.340067340067343,False,-0.9107,2.8197,1,1,1,100.0,30.59360730593607,30.59360730593607,19.165894346617225,0.834105653382777,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
16,83.4775395075521,70.82048548046332,688277,天智航,bottom_area,2023-08-28,13.44,2023-08-23,13.31,0.9767092411720435,8.489857250187821,29.088971763452314,True,-0.4444,1.6218,1,1,1,100.0,20.469798657718112,20.469798657718112,19.023290758827958,0.9767092411720435,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-0.44%; 状态bottom_area; 底部已确认
17,78.99255747742417,68.36603302097276,300474,景嘉微,bottom_area,2023-08-28,68.62,2023-08-25,67.23,2.067529376766325,9.83192027368734,29.350567465321557,True,1.1796,2.406,1,2,1,50.0,59.857142857142854,59.857142857142854,17.932470623233677,2.067529376766325,历史1/2次成功; 当前距低点2.07%; 最新日涨幅1.18%; 状态bottom_area; 底部已确认
18,78.76365792673164,67.54013954275328,300505,川金诺,bottom_area,2023-08-28,15.61,2023-08-25,15.37,1.5614834092387782,7.937540663630453,28.378378378378383,True,1.2322,2.3561,1,2,1,50.0,39.35656836461126,39.35656836461126,18.43851659076122,1.5614834092387782,历史1/2次成功; 当前距低点1.56%; 最新日涨幅1.23%; 状态bottom_area; 底部已确认
19,78.31062834705082,70.7659826186998,688248,南网科技,bottom_area,2023-08-28,30.39,2023-08-25,29.1,4.432989690721646,8.247422680412365,32.29409027454629,True,4.0753,3.7283,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,15.567010309278356,4.432989690721646,历史2/3次成功; 当前距低点4.43%; 最新日涨幅4.08%; 状态bottom_area; 底部已确认
20,78.02823869291966,67.11615616067401,002272,川润股份,bottom_area,2023-08-28,5.88,2023-08-25,5.78,1.7301038062283676,5.536332179930785,29.42612942612942,False,1.0309,2.3856,1,2,1,50.0,48.337595907928375,48.337595907928375,18.269896193771633,1.7301038062283676,历史1/2次成功; 当前距低点1.73%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
21,76.85307670970464,65.87071696027756,300539,横河精密,bottom_area,2023-08-28,11.24,2023-08-25,11.07,1.5356820234869009,5.781391147244811,28.810289389067528,False,1.3526,1.6428,1,2,1,50.0,39.25845147219192,39.25845147219192,18.4643179765131,1.5356820234869009,历史1/2次成功; 当前距低点1.54%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
