rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
58,74.03422751392692,73.21135607375908,000568,泸州老窖,bottom_area,2024-07-02,143.99,2024-07-01,139.23,3.418803418803433,5.257487610428803,29.48594580906559,False,0.6923,0.7552,1,1,1,100.0,10.141010046402663,10.141010046402663,4.581196581196567,3.418803418803433,历史1/1次成功; 当前距低点3.42%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
59,73.75133398203133,69.05817629896424,002068,黑猫股份,bottom_area,2024-07-02,6.91,2024-07-02,6.87,0.5822416302765653,3.7845705967976677,29.89795918367347,False,-2.8129,1.9479,3,4,3,75.0,19.51982374190758,32.77777777777777,7.417758369723434,0.5822416302765653,历史3/4次成功; 当前距低点0.58%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
60,73.64318857546681,71.66289664795435,688161,威高骨科,bottom_area,2024-07-02,19.86,2024-07-01,19.36,2.5826446280991737,5.216942148760339,29.446064139941697,False,-0.5508,0.2195,3,4,3,75.0,18.20605591408855,33.591836734693864,5.417355371900827,2.5826446280991737,历史3/4次成功; 当前距低点2.58%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
61,73.55420263936483,68.75164846375064,603197,保隆科技,bottom_area,2024-07-02,30.75,2024-07-02,30.6,0.49019607843136787,3.8888888888888813,28.55475134251692,False,-2.6899,1.5609,3,4,3,75.0,16.74352431491484,20.16154085119603,7.509803921568632,0.49019607843136787,历史3/4次成功; 当前距低点0.49%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
62,72.97887752954216,73.77518107126373,002172,澳洋健康,bottom_area,2024-07-02,2.52,2024-06-24,2.41,4.56431535269709,5.809128630705381,27.627627627627625,False,0.8,1.1763,4,5,4,80.0,20.54741976028543,29.824561403508774,3.4356846473029106,4.56431535269709,历史4/5次成功; 当前距低点4.56%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
63,72.8448382394324,73.66919499342987,000516,国际医学,bottom_area,2024-07-02,4.79,2024-06-25,4.58,4.5851528384279465,6.55021834061135,28.100470957613815,False,1.2685,0.8496,1,1,1,100.0,26.89969604863221,26.89969604863221,3.4148471615720535,4.5851528384279465,历史1/1次成功; 当前距低点4.59%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
64,72.2492578455896,66.89746096813852,605098,行动教育,confirmed_rebound,2024-07-02,38.88,2024-07-02,38.88,0.0,10.725308641975294,28.97332846181951,False,-10.0,4.0355,2,2,2,100.0,12.62075789321786,15.082956259426847,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态confirmed_rebound; 底部未确认
65,71.7430385153598,71.33770358951783,603190,亚通精工,bottom_area,2024-07-02,22.95,2024-06-24,22.13,3.7053773158608236,5.7840036150022645,27.108036890645586,False,-0.0871,2.7834,2,2,2,100.0,9.386902525164045,9.45010183299389,4.294622684139177,3.7053773158608236,历史2/2次成功; 当前距低点3.71%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
66,71.21990186768048,67.05545208373744,300741,华宝股份,bottom_area,2024-07-02,15.11,2024-07-01,14.98,0.8678237650200201,3.1375166889185504,27.562862669245646,False,-1.3708,0.1731,1,1,1,100.0,8.0865068171133,8.0865068171133,7.13217623497998,0.8678237650200201,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
67,71.02187703531116,66.70501273312853,688017,绿的谐波,bottom_area,2024-07-02,77.57,2024-07-02,77.0,0.7402597402597314,7.012987012987021,31.755738721971106,False,-3.6876,1.7599,3,4,3,75.0,19.02045667161674,22.08643815201191,7.259740259740269,0.7402597402597314,历史3/4次成功; 当前距低点0.74%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
