rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
65,66.62519280718126,63.18431219145393,002238,天威视讯,bottom_area,2024-12-25,8.3,2024-12-25,8.12,2.216748768472925,6.527093596059127,27.10951526032317,False,-3.2634,1.8234,2,3,2,66.66666666666666,13.074369445728676,15.169902912621358,7.783251231527076,2.216748768472925,历史2/3次成功; 当前距低点2.22%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
66,66.38477255145308,63.668537995337985,002652,扬子新材,bottom_area,2024-12-25,2.93,2024-12-25,2.85,2.8070175438596516,6.666666666666665,28.571428571428577,False,-3.6184,4.0694,2,3,2,66.66666666666666,22.913286713286713,23.426573426573423,7.192982456140348,2.8070175438596516,历史2/3次成功; 当前距低点2.81%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
67,65.95527393168926,62.447014680003676,300749,顶固集创,bottom_area,2024-12-25,6.23,2024-12-25,6.1,2.1311475409836196,6.065573770491806,31.690929451287797,False,-2.9595,4.1593,2,4,2,50.0,17.290489642184564,20.833333333333336,7.868852459016382,2.1311475409836196,历史2/4次成功; 当前距低点2.13%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
68,65.92328186472388,61.80820010694082,605303,园林股份,bottom_area,2024-12-25,7.54,2024-12-25,7.42,1.617250673854449,6.199460916442049,27.11198428290766,False,-3.3333,1.709,2,4,2,50.0,17.771675501768577,23.681489141675293,8.382749326145552,1.617250673854449,历史2/4次成功; 当前距低点1.62%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
69,65.57281455351743,61.521404958677685,002337,赛象科技,bottom_area,2024-12-25,4.92,2024-12-25,4.84,1.6528925619834725,5.1652892561983474,27.327327327327332,False,-3.5294,3.044,1,2,1,50.0,60.465116279069754,60.465116279069754,8.347107438016527,1.6528925619834725,历史1/2次成功; 当前距低点1.65%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
70,65.24705429631383,60.02020269620181,300380,安硕信息,bottom_area,2024-12-25,48.78,2024-12-25,48.48,0.6188118811881277,7.611386138613872,27.229060342239574,False,-5.9209,7.5547,2,3,2,66.66666666666666,16.314124293785305,17.599999999999994,9.381188118811872,0.6188118811881277,历史2/3次成功; 当前距低点0.62%; 最新日涨幅-5.92%; 状态bottom_area; 底部未确认
71,59.110846961152895,55.38937343358397,000592,平潭发展,bottom_area,2024-12-25,2.56,2024-12-25,2.52,1.5873015873015885,6.349206349206354,31.891891891891895,False,-4.4776,5.2167,1,2,1,50.0,16.228070175438603,16.228070175438603,8.412698412698411,1.5873015873015885,历史1/2次成功; 当前距低点1.59%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
72,58.67437188170393,57.11470119521911,002021,中捷资源,bottom_area,2024-12-25,2.6,2024-12-25,2.51,3.58565737051794,8.764940239043833,29.691876750700285,False,-4.7619,5.8669,1,2,1,50.0,50.76923076923077,50.76923076923077,6.41434262948206,3.58565737051794,历史1/2次成功; 当前距低点3.59%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
73,53.01038956429446,51.21853373995546,000890,法尔胜,bottom_area,2024-12-25,3.23,2024-12-25,3.13,3.1948881789137404,7.667731629392978,30.13392857142858,False,-3.5821,3.4873,1,3,1,33.33333333333333,32.954545454545446,32.954545454545446,6.80511182108626,3.1948881789137404,历史1/3次成功; 当前距低点3.19%; 最新日涨幅-3.58%; 状态bottom_area; 底部未确认
74,49.678030555571915,49.38114989488125,688299,长阳科技,confirmed_rebound,2024-12-25,14.97,2024-12-20,14.3,4.685314685314684,10.839160839160831,29.13776015857284,True,-2.2846,2.6931,1,2,1,50.0,12.707889125799577,12.707889125799577,5.314685314685316,4.685314685314684,历史1/2次成功; 当前距低点4.69%; 最新日涨幅-2.28%; 状态confirmed_rebound; 底部已确认
