rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
74,78.59210300792158,68.26332610090356,000715,中兴商业,bottom_area,2026-06-09,4.97,6.68,2026-06-09,4.86,2.263374485596696,3.9094650205761217,27.245508982035922,25.59880239520958,False,-0.7984031936127733,1.6124917012258173,3,5,3,60.0,28.51516090357001,32.101167315175104,17.736625514403304,2.263374485596696,历史3/5次成功; 当前距低点2.26%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
75,78.21847399409002,68.5532173633187,300437,清水源,bottom_area,2026-06-09,11.93,17.3,2026-06-08,11.61,2.7562446167097354,6.632213608957807,32.890173410404635,31.04046242774567,False,0.8453085376162184,3.797166624082133,6,11,6,54.54545454545454,25.46041348171349,30.330330330330323,17.243755383290267,2.7562446167097354,历史6/11次成功; 当前距低点2.76%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
76,78.00492883407017,67.59798347168515,000572,海马汽车,bottom_area,2026-06-09,4.3,5.92,2026-06-09,4.21,2.1377672209026097,3.3254156769596124,28.885135135135137,27.36486486486487,False,0.2331002331002363,1.6845758780334181,3,8,3,37.5,49.67522975990913,95.5116696588869,17.862232779097393,2.1377672209026097,历史3/8次成功; 当前距低点2.14%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
77,77.74041083759731,67.83803597735687,603079,圣达生物,bottom_area,2026-06-09,13.03,18.25,2026-06-08,12.71,2.517702596380791,6.530291109362693,30.35616438356164,28.602739726027398,False,1.243201243201253,1.012645588344088,2,4,2,50.0,28.539773640349868,34.84698914116485,17.48229740361921,2.517702596380791,历史2/4次成功; 当前距低点2.52%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
78,77.25473506510039,68.246117719023,002757,南兴股份,bottom_area,2026-06-09,21.03,29.35,2026-06-08,20.38,3.189401373895987,8.684985279685966,30.562180579216363,28.347529812606474,False,1.0571840461316873,3.894407111247019,2,4,2,50.0,38.96748844895619,50.75376884422111,16.810598626104014,3.189401373895987,历史2/4次成功; 当前距低点3.19%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
79,77.2167758483386,68.46163998031642,688251,井松智能,bottom_area,2026-06-09,24.1,32.99,2026-06-08,23.31,3.389103389103401,5.7057057057057134,29.342224916641413,26.947559866626253,False,0.7946465913843737,2.088919969290617,2,4,2,50.0,42.57417047028053,45.35104364326376,16.6108966108966,3.389103389103401,历史2/4次成功; 当前距低点3.39%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
80,77.13263710421813,65.85064304669238,600983,惠而浦,bottom_area,2026-06-09,8.44,11.47,2026-06-08,8.33,1.320528211284507,3.1212484993997576,27.375762859633827,26.41673931996513,False,0.356718192627814,0.23461750206591583,1,2,1,50.0,36.51315789473685,36.51315789473685,18.679471788715492,1.320528211284507,历史1/2次成功; 当前距低点1.32%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
81,77.05813134150868,69.5123466312571,300542,新晨科技,bottom_area,2026-06-09,12.51,16.52,2026-06-08,11.99,4.336947456213508,6.255212677231025,27.421307506053267,24.273607748184016,False,1.7073170731707332,1.5976929360049439,5,8,5,62.5,32.75853135174146,61.233480176211465,15.663052543786494,4.336947456213508,历史5/8次成功; 当前距低点4.34%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
82,77.05469199453896,66.37670096907851,000753,漳州发展,bottom_area,2026-06-09,5.06,6.93,2026-06-09,4.97,1.8108651911468785,2.8169014084507156,28.28282828282828,26.984126984126988,False,0.0,1.3338630543100054,2,5,2,40.0,33.685341961792474,43.344709897610926,18.189134808853122,1.8108651911468785,历史2/5次成功; 当前距低点1.81%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
83,76.79631258816086,67.28891774891773,000576,甘化科工,bottom_area,2026-06-09,7.12,9.95,2026-06-08,6.93,2.7417027417027473,6.493506493506496,30.351758793969847,28.442211055276378,False,0.7072135785006983,1.3085522424937455,2,5,2,40.0,57.033233678424665,90.05145797598628,17.258297258297254,2.7417027417027473,历史2/5次成功; 当前距低点2.74%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
84,76.76145343755242,67.41985544839626,300759,康龙化成,bottom_area,2026-06-09,22.2,31.45,2026-06-09,21.58,2.873030583873962,3.1047265987025106,31.383147853736094,29.411764705882355,False,0.4070556309362372,1.4462490667849153,2,4,2,50.0,30.647124621660748,32.829977628635355,17.12696941612604,2.873030583873962,历史2/4次成功; 当前距低点2.87%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
85,76.6165915561582,68.49827721908184,002564,天沃科技,bottom_area,2026-06-09,4.86,6.57,2026-06-08,4.68,3.8461538461538596,8.11965811965812,28.767123287671243,26.027397260273972,False,1.673640167364021,1.7954149080523902,2,3,2,66.66666666666666,28.92925441745143,29.903536977491967,16.15384615384614,3.8461538461538596,历史2/3次成功; 当前距低点3.85%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
86,76.45916571192521,66.06878051695638,688085,三友医疗,bottom_area,2026-06-09,13.9,19.89,2026-06-09,13.63,1.9809244314013172,2.9347028613352792,31.473102061337354,30.11563599798894,False,0.21629416005768398,0.7425455098054115,1,2,1,50.0,45.78111946532998,45.78111946532998,18.019075568598684,1.9809244314013172,历史1/2次成功; 当前距低点1.98%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
87,76.38731232153457,65.34685565967773,601002,晋亿实业,bottom_area,2026-06-09,4.96,6.81,2026-06-08,4.89,1.4314928425357931,4.294478527607361,28.193832599118945,27.16593245227606,False,0.4048582995951344,1.342157764024268,1,2,1,50.0,35.164835164835154,35.164835164835154,18.56850715746421,1.4314928425357931,历史1/2次成功; 当前距低点1.43%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
88,76.22834747953478,65.29519804023896,000707,双环科技,bottom_area,2026-06-09,4.73,6.48,2026-06-08,4.66,1.5021459227467873,5.150214592274683,28.08641975308642,27.00617283950617,False,0.424628450106157,1.1864277034237167,1,2,1,50.0,35.75317604355718,35.75317604355718,18.497854077253216,1.5021459227467873,历史1/2次成功; 当前距低点1.50%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
89,76.11295628806991,67.80705183558136,300401,花园生物,bottom_area,2026-06-09,11.07,14.71,2026-06-09,10.68,3.6516853932584326,4.307116104868922,27.396329027872202,24.7450713800136,False,1.746323529411753,1.7303946670047354,2,4,2,50.0,42.273626517261164,54.995801847187245,16.348314606741567,3.6516853932584326,历史2/4次成功; 当前距低点3.65%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
