rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
22,78.86836031839256,71.69850938035687,002167,东方锆业,confirmed_rebound,2024-04-15,6.59,2024-04-15,6.59,0.0,10.470409711684377,29.215896885069824,False,-9.9727,16.5213,3,3,3,100.0,21.766179464284228,41.1650485436893,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态confirmed_rebound; 底部未确认
23,78.82430679998258,74.6008612096331,688220,翱捷科技,bottom_area,2024-04-15,37.27,2024-04-15,36.5,2.109589041095899,4.767123287671239,32.656826568265686,False,-0.983,1.2986,3,4,3,75.0,28.20281840500936,45.103092783505154,7.890410958904101,2.109589041095899,历史3/4次成功; 当前距低点2.11%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
24,78.1571600661047,76.07381088825215,002097,山河智能,bottom_area,2024-04-15,7.23,2024-04-15,6.98,3.5816618911174785,7.593123209169045,29.352226720647774,False,-1.8996,5.1713,1,1,1,100.0,50.210970464135016,50.210970464135016,6.418338108882522,3.5816618911174785,历史1/1次成功; 当前距低点3.58%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
25,78.05055441560758,72.15816294377932,300417,南华仪器,confirmed_rebound,2024-04-15,6.87,2024-04-15,6.81,0.8810572687224744,17.327459618208525,27.24358974358974,False,-14.6584,7.5688,3,3,3,100.0,22.779427507884694,25.514403292181065,9.118942731277526,0.8810572687224744,历史3/3次成功; 当前距低点0.88%; 最新日涨幅-14.66%; 状态confirmed_rebound; 底部未确认
26,77.825,70.75,002388,新亚制程,confirmed_rebound,2024-04-15,3.98,2024-04-15,3.98,0.0,10.050251256281404,28.80143112701252,False,-9.9548,5.918,1,1,1,100.0,50.505050505050505,50.505050505050505,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态confirmed_rebound; 底部未确认
27,77.5933123159346,73.43754430488308,002173,创新医疗,confirmed_rebound,2024-04-15,7.74,2024-04-15,7.58,2.110817941952509,11.081794195250657,27.740705433746427,False,-8.076,5.8737,2,2,2,100.0,21.560264583520393,24.903474903474905,7.889182058047492,2.110817941952509,历史2/2次成功; 当前距低点2.11%; 最新日涨幅-8.08%; 状态confirmed_rebound; 底部未确认
28,76.78162839077233,74.03982382050765,600203,福日电子,confirmed_rebound,2024-04-15,6.67,2024-04-15,6.47,3.0911901081916566,11.282843894899543,30.802139037433157,False,-5.3901,11.251,3,3,3,100.0,20.149125092390385,24.045801526717554,6.908809891808344,3.0911901081916566,历史3/3次成功; 当前距低点3.09%; 最新日涨幅-5.39%; 状态confirmed_rebound; 底部未确认
29,76.62375805164034,73.18838488363306,605398,新炬网络,bottom_area,2024-04-15,20.58,2024-04-15,20.06,2.592223330009968,9.47158524426721,31.277834874957183,False,-5.6829,1.5517,2,2,2,100.0,15.906742344385982,20.890538033395174,7.4077766699900325,2.592223330009968,历史2/2次成功; 当前距低点2.59%; 最新日涨幅-5.68%; 状态bottom_area; 底部未确认
30,76.5757827336405,73.31154601333854,688337,普源精电,bottom_area,2024-04-15,28.77,2024-04-15,28.01,2.7133166726169153,6.069260978222061,27.01928087545597,False,-3.2291,5.294,3,4,3,75.0,38.886602295188766,54.46153846153845,7.286683327383085,2.7133166726169153,历史3/4次成功; 当前距低点2.71%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
31,76.50414543159134,72.24797193924253,301396,宏景科技,confirmed_rebound,2024-04-15,18.91,2024-04-15,18.54,1.9956850053937487,10.733549083063657,29.425199847735062,False,-7.3039,6.4425,2,2,2,100.0,13.753407266345539,14.060963618485728,8.00431499460625,1.9956850053937487,历史2/2次成功; 当前距低点2.00%; 最新日涨幅-7.30%; 状态confirmed_rebound; 底部未确认
32,76.34279216166422,72.20623176560098,300730,科创信息,bottom_area,2024-04-15,8.85,2024-04-15,8.67,2.076124567474045,9.919261822376003,31.67848699763593,False,-6.1506,3.6298,1,1,1,100.0,20.966643975493536,20.966643975493536,7.923875432525955,2.076124567474045,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-6.15%; 状态bottom_area; 底部未确认
33,75.92466733198884,71.83612208562606,301393,昊帆生物,bottom_area,2024-04-15,39.48,2024-04-15,38.67,2.0946470131885055,8.35272821308507,27.7196261682243,False,-5.1645,5.6982,1,1,1,100.0,19.203856320945413,19.203856320945413,7.905352986811495,2.0946470131885055,历史1/1次成功; 当前距低点2.09%; 最新日涨幅-5.16%; 状态bottom_area; 底部未确认
34,75.7455292840346,71.53744432381046,000002,万科A,bottom_area,2024-04-15,7.14,2024-04-15,7.0,1.9999999999999956,4.285714285714283,31.37254901960784,False,0.5634,1.8413,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,8.000000000000004,1.9999999999999956,历史2/3次成功; 当前距低点2.00%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
